p1,p2,p3,p4,p5,p6,p7,p8,p9,,,,
0.019607843,0.018518519,0.027777778,0.023809524,0.032258065,0.055555556,0,0,0.017241379,,,,
0.019607843,0.018518519,0.055555556,0.023809524,0.064516129,0.055555556,0,0,0.034482759,,,,
0.019607843,0.018518519,0.083333333,0.047619048,0.096774194,0.111111111,0,0,0.051724138,,,,
0.039215686,0.037037037,0.111111111,0.071428571,0.096774194,0.166666667,0,0,0.051724138,,,,
0.058823529,0.055555556,0.111111111,0.095238095,0.129032258,0.166666667,0,0,0.068965517,,,,
0.078431373,0.074074074,0.138888889,0.095238095,0.161290323,0.166666667,0.027777778,0.034482759,0.068965517,,,,
0.098039216,0.092592593,0.166666667,0.095238095,0.161290323,0.166666667,0.055555556,0.068965517,0.086206897,,,,
0.117647059,0.111111111,0.194444444,0.119047619,0.193548387,0.166666667,0.083333333,0.103448276,0.103448276,,,,
0.117647059,0.111111111,0.194444444,0.142857143,0.193548387,0.166666667,0.083333333,0.103448276,0.103448276,,,,
0.117647059,0.12962963,0.194444444,0.166666667,0.225806452,0.222222222,0.083333333,0.103448276,0.103448276,,,,
0.117647059,0.12962963,0.222222222,0.166666667,0.258064516,0.222222222,0.111111111,0.103448276,0.120689655,,,,
0.117647059,0.148148148,0.25,0.19047619,0.290322581,0.222222222,0.138888889,0.103448276,0.137931034,,,,
0.117647059,0.166666667,0.25,0.214285714,0.290322581,0.222222222,0.138888889,0.137931034,0.155172414,,,,
0.117647059,0.185185185,0.277777778,0.214285714,0.290322581,0.222222222,0.138888889,0.137931034,0.155172414,,,,
0.117647059,0.185185185,0.277777778,0.238095238,0.322580645,0.222222222,0.138888889,0.137931034,0.155172414,,,,
0.117647059,0.203703704,0.305555556,0.238095238,0.322580645,0.222222222,0.138888889,0.137931034,0.172413793,,,,
0.117647059,0.203703704,0.333333333,0.238095238,0.35483871,0.222222222,0.138888889,0.137931034,0.172413793,,,,
0.117647059,0.203703704,0.333333333,0.261904762,0.35483871,0.222222222,0.138888889,0.137931034,0.189655172,,,,
0.117647059,0.203703704,0.333333333,0.261904762,0.35483871,0.222222222,0.166666667,0.137931034,0.206896552,,,,
0.117647059,0.222222222,0.333333333,0.261904762,0.35483871,0.222222222,0.194444444,0.137931034,0.224137931,,,,
0.117647059,0.240740741,0.333333333,0.285714286,0.35483871,0.277777778,0.222222222,0.137931034,0.24137931,,,,
0.137254902,0.259259259,0.333333333,0.30952381,0.35483871,0.277777778,0.25,0.137931034,0.24137931,,,,
0.156862745,0.259259259,0.361111111,0.30952381,0.35483871,0.277777778,0.277777778,0.137931034,0.25862069,,,,
0.176470588,0.259259259,0.361111111,0.333333333,0.387096774,0.277777778,0.305555556,0.137931034,0.25862069,,,,
0.196078431,0.277777778,0.388888889,0.333333333,0.387096774,0.277777778,0.333333333,0.137931034,0.275862069,,,,
0.215686275,0.296296296,0.388888889,0.333333333,0.387096774,0.277777778,0.333333333,0.137931034,0.275862069,,,,
0.235294118,0.296296296,0.388888889,0.333333333,0.419354839,0.277777778,0.333333333,0.137931034,0.275862069,,,,
0.254901961,0.296296296,0.416666667,0.333333333,0.419354839,0.333333333,0.361111111,0.137931034,0.293103448,,,,
0.274509804,0.296296296,0.416666667,0.333333333,0.419354839,0.333333333,0.361111111,0.172413793,0.293103448,,,,
