project,bugsDetected,totalBugs,percentBugsDetected,reportsSubmit,totalReports,percentReportsSubmit,percentSavedEffort,F1,E1,optimalReportsSubmit,differenceWithOptimal
101-120-今日时尚测试_1463737561.csv,14.0,17.0,0.8235294117647058,100.0,120.0,0.8333333333333334,0.16666666666666663,0.27722772277227714,0.27722772277227714,73.0,27.0,
72-213-花友测试_1463737504.csv,26.0,26.0,1.0,192.0,213.0,0.9014084507042254,0.09859154929577463,0.17948717948717946,0.17948717948717946,104.0,88.0,
451-109-bug掌上110V1.0.0测试_1470654321.csv,13.0,15.0,0.8666666666666667,96.0,109.0,0.8807339449541285,0.11926605504587151,0.20967741935483863,0.20967741935483863,93.0,3.0,
509-176-bug红猩猩V1.2测试_1470654287.csv,23.0,24.0,0.9583333333333334,161.0,176.0,0.9147727272727273,0.08522727272727271,0.15653357531760434,0.15653357531760434,125.0,36.0,
143-127-荔枝FM测试_1463737709.csv,17.0,18.0,0.9444444444444444,125.0,127.0,0.984251968503937,0.015748031496062964,0.030979498861047783,0.030979498861047783,103.0,22.0,
174-330-易试驾测试_1463737832.csv,38.0,39.0,0.9743589743589743,322.0,330.0,0.9757575757575757,0.024242424242424288,0.04730781201369445,0.04730781201369445,278.0,44.0,
234-175-bugJiuJiu测试_1470654480.csv,14.0,23.0,0.6086956521739131,100.0,175.0,0.5714285714285714,0.4285714285714286,0.502994011976048,0.502994011976048,121.0,-21.0,
322-129-bug有薪快访测试_1470654415.csv,9.0,10.0,0.9,92.0,129.0,0.7131782945736435,0.28682170542635654,0.43500979751796204,0.43500979751796204,36.0,56.0,
499-130-bug陶世界V1.0.1测试_1470654291.csv,18.0,18.0,1.0,120.0,130.0,0.9230769230769231,0.07692307692307687,0.14285714285714277,0.14285714285714277,62.0,58.0,
449-101-bug湘梦购商家V1.1.1测试_1470654326.csv,12.0,14.0,0.8571428571428571,100.0,101.0,0.9900990099009901,0.00990099009900991,0.01957585644371943,0.01957585644371943,44.0,56.0,
128-115-蛋蛋赚测试_1463737676.csv,11.0,14.0,0.7857142857142857,96.0,115.0,0.8347826086956521,0.16521739130434787,0.2730241672109733,0.2730241672109733,102.0,-6.0,
442-124-bug上海三农热线V1.0测试_1470654332.csv,13.0,16.0,0.8125,115.0,124.0,0.9274193548387096,0.07258064516129037,0.13325740318906615,0.13325740318906615,76.0,39.0,
311-185-bug社区慧生活测试_1470654424.csv,25.0,25.0,1.0,175.0,185.0,0.9459459459459459,0.05405405405405406,0.10256410256410257,0.10256410256410257,95.0,80.0,
217-288-bug大帮汇测试_1470654530.csv,33.0,36.0,0.9166666666666666,264.0,288.0,0.9166666666666666,0.08333333333333337,0.15277777777777785,0.15277777777777785,233.0,31.0,
124-326-衣批测试_1463737628.csv,39.0,40.0,0.975,299.0,326.0,0.9171779141104295,0.08282208588957052,0.15267507612005216,0.15267507612005216,238.0,61.0,
284-184-bug海捣网测试_1470654451.csv,25.0,26.0,0.9615384615384616,161.0,184.0,0.875,0.125,0.22123893805309733,0.22123893805309733,123.0,38.0,
218-103-bug恶龙公主—逆塔防测试_1470654523.csv,13.0,14.0,0.9285714285714286,100.0,103.0,0.970873786407767,0.029126213592232997,0.05648081100651699,0.05648081100651699,78.0,22.0,
382-101-bug出游宝V0.9.2测试_1470654358.csv,9.0,12.0,0.75,100.0,101.0,0.9900990099009901,0.00990099009900991,0.019543973941368094,0.019543973941368094,85.0,15.0,
204-101-文件管理测试_1463737945.csv,14.0,14.0,1.0,100.0,101.0,0.9900990099009901,0.00990099009900991,0.01960784313725492,0.01960784313725492,47.0,53.0,
6-144-百度天眼测试反馈_1463737257.csv,13.0,13.0,1.0,138.0,144.0,0.9583333333333334,0.04166666666666663,0.07999999999999995,0.07999999999999995,120.0,18.0,
205-111-bug文件管理测试_1470654534.csv,13.0,15.0,0.8666666666666667,92.0,111.0,0.8288288288288288,0.1711711711711712,0.28587962962962965,0.28587962962962965,56.0,36.0,
377-132-bug世纪开元V1.0测试_1470654361.csv,16.0,17.0,0.9411764705882353,125.0,132.0,0.946969696969697,0.05303030303030298,0.10040340654415052,0.10040340654415052,97.0,28.0,
315-119-萌宠达人测试_1463738095.csv,16.0,17.0,0.9411764705882353,115.0,119.0,0.9663865546218487,0.03361344537815125,0.06490872210953345,0.06490872210953345,102.0,13.0,
122-138-购物狂测试_1463737645.csv,15.0,18.0,0.8333333333333334,125.0,138.0,0.9057971014492754,0.09420289855072461,0.16927083333333331,0.16927083333333331,100.0,25.0,
222-304-喜马拉雅FM测试_1463737999.csv,34.0,34.0,1.0,299.0,304.0,0.9835526315789473,0.016447368421052655,0.03236245954692561,0.03236245954692561,217.0,82.0,
254-372-叮叮导游测试_1463738040.csv,45.0,46.0,0.9782608695652174,350.0,372.0,0.9408602150537635,0.05913978494623651,0.11153672825597108,0.11153672825597108,253.0,97.0,
443-131-bug铠甲助手V1.0测试_1470654323.csv,14.0,18.0,0.7777777777777778,115.0,131.0,0.8778625954198473,0.12213740458015265,0.21112158341187556,0.21112158341187556,80.0,35.0,
319-197-百叶小成测试_1463738097.csv,27.0,28.0,0.9642857142857143,175.0,197.0,0.8883248730964467,0.1116751269035533,0.20016849199663017,0.20016849199663017,138.0,37.0,
276-261-淘二手测试_1463738066.csv,32.0,32.0,1.0,253.0,261.0,0.9693486590038314,0.03065134099616862,0.05947955390334579,0.05947955390334579,227.0,26.0,
