min,first-quarter,median,third-quarter,max
0.03125,0.03125,0.03125,0.03125,0.03125
0.076923077,0.076923077,0.076923077,0.076923077,0.076923077
0.137931034,0.137931034,0.137931034,0.137931034,0.896551724
0.137931034,0.137931034,0.137931034,0.137931034,0.896551724
0.3,0.3,0.3,0.3,0.8
0.304347826,0.304347826,0.304347826,0.304347826,1
0.333333333,0.333333333,0.333333333,0.333333333,0.444444444
0.333333333,0.333333333,0.333333333,0.333333333,0.333333333
0.333333333,0.333333333,0.333333333,0.958333333,0.958333333
0.347826087,0.347826087,0.347826087,0.347826087,0.347826087
0.347826087,0.347826087,0.347826087,0.347826087,0.347826087
0.4,0.4,0.4,0.4,0.4
0.411764706,0.411764706,0.411764706,0.411764706,0.411764706
0.191489362,0.191489362,0.425531915,0.914893617,0.914893617
0.44,0.44,0.44,1,1
0.451612903,0.451612903,0.451612903,0.451612903,0.516129032
0.515151515,0.515151515,0.515151515,0.818181818,0.818181818
0.52173913,0.52173913,0.52173913,0.782608696,1
0.529411765,0.529411765,0.529411765,1,1
0.066666667,0.066666667,0.533333333,0.533333333,0.533333333
0.189189189,0.189189189,0.594594595,1,1
0.611111111,0.611111111,0.611111111,0.611111111,1
0.622641509,0.622641509,0.622641509,0.622641509,0.886792453
0.622641509,0.622641509,0.622641509,0.622641509,0.886792453
0.647058824,0.647058824,0.647058824,0.647058824,0.647058824
0.653846154,0.653846154,0.653846154,0.884615385,0.884615385
0.666666667,0.666666667,0.666666667,0.666666667,0.666666667
0.666666667,0.666666667,0.666666667,0.666666667,0.666666667
0.666666667,0.666666667,0.666666667,0.666666667,0.666666667
0.676470588,0.676470588,0.676470588,0.970588235,0.970588235
0.695652174,0.695652174,0.695652174,0.956521739,1
0.696969697,0.696969697,0.696969697,0.696969697,0.696969697
0.7,0.7,0.7,0.7,0.95
0.416666667,0.416666667,0.708333333,1,1
0.714285714,0.714285714,0.714285714,0.714285714,0.892857143
0.714285714,0.714285714,0.714285714,0.714285714,0.892857143
0.717948718,0.717948718,0.717948718,0.717948718,0.717948718
0.719298246,0.719298246,0.719298246,0.719298246,0.719298246
0.733333333,0.733333333,0.733333333,0.8,0.8
0.733333333,0.733333333,0.733333333,0.8,0.8
0.735294118,0.735294118,0.735294118,0.970588235,0.970588235
0.740740741,0.740740741,0.740740741,0.740740741,0.740740741
0.571428571,0.742857143,0.742857143,0.771428571,0.771428571
0.75,0.75,0.75,0.75,0.75
0.761904762,0.761904762,0.761904762,1,1
