min,first-quarter,median,third-quarter,max
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0.538461538
0,0,0,0,0.302521008
0,0,0,0,0.401709402
0,0,0,0,0.510638298
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0.776397516
0,0,0,0,0.79020979
0,0,0,0,0
0,0,0,0.509615385,0.899038462
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0.712328767
0,0,0,0,0
0,0,0,0,0.858237548
0,0,0,0,0.819923372
0,0,0,0,0
0,0,0,0,0
0,0,0,0.16751269,0.16751269
0,0,0,0.16751269,0.16751269
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0.10460251
0,0,0,0,0.10460251
0,0,0,0,0.519607843
0,0,0,0,0.519607843
0,0,0,0,0
0,0,0,0,0.823308271
0,0,0,0,0.330434783
0,0,0,0,0
0,0,0,0.660493827,0.660493827
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0.393939394,0.393939394
0,0,0,0,0.523076923
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.1875,0.1875,0.1875,0.1875,0.1875
0,0.1875,0.1875,0.1875,0.1875
0.244094488,0.244094488,0.244094488,0.244094488,0.244094488
0,0.276162791,0.276162791,0.276162791,0.761627907
0,0.325203252,0.325203252,0.325203252,0.325203252
0,0.337931034,0.337931034,0.444827586,0.575862069
0.406015038,0.406015038,0.406015038,0.406015038,0.406015038
0.393939394,0.409090909,0.409090909,0.46969697,0.46969697
0.411027569,0.411027569,0.411027569,0.553884712,0.882205514
0.419354839,0.419354839,0.419354839,0.477419355,0.658064516
0,0.423076923,0.423076923,0.423076923,0.423076923
0.433526012,0.433526012,0.433526012,0.433526012,0.433526012
0.454545455,0.454545455,0.454545455,0.454545455,0.454545455
0,0.469879518,0.469879518,0.545180723,0.578313253
0.474683544,0.474683544,0.474683544,0.575949367,0.575949367
0.308571429,0.48,0.48,0.48,0.617142857
0.308571429,0.48,0.48,0.48,0.617142857
0.482051282,0.482051282,0.482051282,0.482051282,0.58974359
0.491139241,0.491139241,0.491139241,0.491139241,0.496202532
0.410447761,0.514925373,0.514925373,0.514925373,0.582089552
0,0.516666667,0.516666667,0.516666667,0.516666667
0,0.521367521,0.521367521,0.521367521,0.521367521
0.529968454,0.529968454,0.529968454,0.529968454,0.864353312
0.53968254,0.53968254,0.53968254,0.555555556,0.563492063
0.540322581,0.540322581,0.540322581,0.620967742,0.620967742
0,0.541284404,0.541284404,0.541284404,0.541284404
0.553672316,0.553672316,0.553672316,0.593220339,0.593220339
0.562770563,0.562770563,0.562770563,0.562770563,0.653679654
0.554112554,0.562770563,0.562770563,0.562770563,0.562770563
0.565217391,0.565217391,0.565217391,0.565217391,0.565217391
0,0.567567568,0.567567568,0.567567568,0.657657658
0.496551724,0.579310345,0.579310345,0.579310345,0.64137931
0.582474227,0.582474227,0.582474227,0.582474227,0.582474227
0.582474227,0.582474227,0.582474227,0.582474227,0.582474227
0,0.58490566,0.58490566,0.58490566,0.58490566
0.586206897,0.586206897,0.586206897,0.586206897,0.586206897
0.586206897,0.586206897,0.586206897,0.586206897,0.586206897
0.579439252,0.588785047,0.588785047,0.588785047,0.588785047
0.591304348,0.591304348,0.591304348,0.591304348,0.591304348
0,0.596638655,0.596638655,0.596638655,0.596638655
0.378151261,0.596638655,0.596638655,0.596638655,0.596638655
0,0.603603604,0.603603604,0.621621622,0.621621622
0.605882353,0.605882353,0.605882353,0.605882353,0.605882353
0.529411765,0.605882353,0.605882353,0.605882353,0.605882353
0.606837607,0.606837607,0.606837607,0.658119658,0.658119658
0.613445378,0.613445378,0.613445378,0.613445378,0.613445378
0.615131579,0.615131579,0.615131579,0.615131579,0.634868421
0,0.617647059,0.617647059,0.617647059,0.757352941
0.619512195,0.619512195,0.619512195,0.619512195,0.76097561
0.619512195,0.619512195,0.619512195,0.619512195,0.731707317
0.58,0.62,0.62,0.62,0.62
0.620253165,0.620253165,0.620253165,0.620253165,0.734177215
0,0.623762376,0.623762376,0.623762376,0.623762376
0.644444444,0.644444444,0.644444444,0.644444444,0.644444444
0.64516129,0.64516129,0.64516129,0.64516129,0.64516129
0,0.648648649,0.648648649,0.648648649,0.648648649
0.649122807,0.649122807,0.649122807,0.649122807,0.649122807
0.654135338,0.654135338,0.654135338,0.654135338,0.654135338
0.360902256,0.654135338,0.654135338,0.654135338,0.669172932
0.410138249,0.65437788,0.65437788,0.65437788,0.65437788
0.410138249,0.65437788,0.65437788,0.65437788,0.65437788
0.47715736,0.654822335,0.654822335,0.654822335,0.654822335
0.479674797,0.658536585,0.658536585,0.658536585,0.658536585
0.611111111,0.666666667,0.666666667,0.689814815,0.856481481
0.670658683,0.670658683,0.670658683,0.670658683,0.670658683
0.612676056,0.672535211,0.672535211,0.672535211,0.778169014
