min,first-quarter,median,third-quarter,max
0.093023256,0.093023256,0.093023256,0.093023256,0.093023256
0.117647059,0.117647059,0.117647059,0.117647059,0.117647059
0.083333333,0.083333333,0.125,0.125,0.125
0.222222222,0.222222222,0.222222222,0.222222222,0.222222222
0.222222222,0.222222222,0.222222222,0.222222222,0.222222222
0.235294118,0.235294118,0.235294118,0.235294118,0.235294118
0.25,0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.25,0.25
0.166666667,0.166666667,0.25,0.333333333,0.333333333
0.254901961,0.254901961,0.254901961,0.254901961,0.254901961
0.296296296,0.296296296,0.296296296,0.740740741,0.740740741
0.3,0.3,0.3,0.3,0.3
0.304347826,0.304347826,0.304347826,0.304347826,0.304347826
0.30952381,0.30952381,0.30952381,0.30952381,0.30952381
0.30952381,0.30952381,0.30952381,0.30952381,0.30952381
0.333333333,0.333333333,0.333333333,0.333333333,0.333333333
0.333333333,0.333333333,0.333333333,0.333333333,0.333333333
0.347826087,0.347826087,0.347826087,0.347826087,0.347826087
0.347826087,0.347826087,0.347826087,0.347826087,0.347826087
0.347826087,0.347826087,0.347826087,0.347826087,0.347826087
0.347826087,0.347826087,0.347826087,0.347826087,0.347826087
0.411764706,0.411764706,0.411764706,0.411764706,0.411764706
0.451612903,0.451612903,0.451612903,0.451612903,0.451612903
0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5
0.518518519,0.518518519,0.518518519,0.666666667,0.666666667
0.518518519,0.518518519,0.518518519,0.666666667,0.666666667
0.52173913,0.52173913,0.52173913,0.52173913,0.52173913
0.52173913,0.52173913,0.52173913,0.52173913,0.52173913
0.52173913,0.52173913,0.52173913,0.52173913,0.52173913
0.525,0.525,0.525,0.525,0.525
0.535714286,0.535714286,0.535714286,1,1
0.535714286,0.535714286,0.535714286,1,1
0.54,0.54,0.54,0.54,0.54
0.555555556,0.555555556,0.555555556,0.555555556,0.555555556
0.592592593,0.592592593,0.592592593,0.592592593,0.592592593
0.592592593,0.592592593,0.592592593,0.592592593,0.592592593
0.611111111,0.611111111,0.611111111,0.611111111,0.611111111
0.622641509,0.622641509,0.622641509,0.622641509,0.622641509
0.622641509,0.622641509,0.622641509,0.622641509,0.622641509
0.647058824,0.647058824,0.647058824,0.647058824,0.647058824
0.648648649,0.648648649,0.648648649,1,1
0.653846154,0.653846154,0.653846154,1,1
0.666666667,0.666666667,0.666666667,0.666666667,0.666666667
0.68,0.68,0.68,0.72,0.72
0.421052632,0.421052632,0.684210526,0.684210526,0.684210526
0.6875,0.6875,0.6875,0.6875,0.6875
0.6875,0.6875,0.6875,0.6875,0.6875
0.695652174,0.695652174,0.695652174,0.739130435,0.739130435
0.696969697,0.696969697,0.696969697,0.696969697,0.696969697
0.7,0.7,0.7,0.7,0.7
0.7,0.7,0.7,0.7,0.7
0.708333333,0.708333333,0.708333333,0.958333333,0.958333333
0.717948718,0.717948718,0.717948718,0.717948718,0.717948718
0.68,0.68,0.72,0.72,0.72
0.724137931,0.724137931,0.724137931,0.724137931,0.724137931
0.724137931,0.724137931,0.724137931,0.724137931,0.724137931
0.72972973,0.72972973,0.72972973,0.72972973,0.72972973
0.733333333,0.733333333,0.733333333,0.733333333,0.733333333
0.733333333,0.733333333,0.733333333,0.733333333,0.733333333
0.742857143,0.742857143,0.742857143,0.742857143,0.742857143
0.43902439,0.756097561,0.756097561,0.756097561,0.756097561
0.555555556,0.555555556,0.759259259,0.962962963,0.962962963
0.772727273,0.772727273,0.772727273,0.772727273,0.772727273
0.777777778,0.777777778,0.777777778,0.777777778,0.777777778
0.777777778,0.777777778,0.777777778,0.777777778,0.777777778
0.8125,0.8125,0.8125,0.8125,0.8125
0.821428571,0.821428571,0.821428571,0.821428571,0.821428571
0.821428571,0.821428571,0.821428571,0.821428571,0.821428571
0.719298246,0.719298246,0.824561404,0.824561404,0.824561404
0.826086957,0.826086957,0.826086957,0.826086957,0.826086957
0.833333333,0.833333333,0.833333333,0.833333333,0.833333333
