project,bugsDetected,totalBugs,percentBugsDetected,reportsSubmit,totalReports,percentReportsSubmit,percentSavedEffort,F1,E1,optimalReportsSubmit,differenceWithOptimal
1-284-百度手机卫士功能体验_1463737109.csv,36.0,36.0,1.0,203.0,284.0,0.7147887323943662,0.28521126760563376,0.4438356164383561,0.4438356164383561,178.0,25.0,
101-120-今日时尚测试_1463737561.csv,17.0,17.0,1.0,110.0,120.0,0.9166666666666666,0.08333333333333337,0.15384615384615388,0.15384615384615388,73.0,37.0,
102-223-迪信通测试_1463737571.csv,23.0,27.0,0.8518518518518519,84.0,223.0,0.37668161434977576,0.6233183856502242,0.7198829092546725,0.7198829092546725,122.0,-38.0,
106-103-基金速览2.3测试_1463737575.csv,12.0,14.0,0.8571428571428571,38.0,103.0,0.36893203883495146,0.6310679611650485,0.7269338303821061,0.7269338303821061,67.0,-29.0,
107-174-硬件编码测试_1463737567.csv,23.0,24.0,0.9583333333333334,87.0,174.0,0.5,0.5,0.6571428571428571,0.6571428571428571,99.0,-12.0,
108-272-优优送药测试_1463737584.csv,34.0,34.0,1.0,264.0,272.0,0.9705882352941176,0.02941176470588236,0.05714285714285716,0.05714285714285716,213.0,51.0,
11-117-广告云推送调研测试_1463737325.csv,9.0,9.0,1.0,117.0,117.0,1.0,0.0,0.0,0.0,94.0,23.0,
111-241-迪信通测试二_1463737590.csv,30.0,30.0,1.0,221.0,241.0,0.91701244813278,0.08298755186721996,0.15325670498084296,0.15325670498084296,158.0,63.0,
112-119-思维简图测试_1463737602.csv,16.0,16.0,1.0,117.0,119.0,0.9831932773109243,0.01680672268907568,0.033057851239669526,0.033057851239669526,75.0,42.0,
113-177-Hark测试_1463737599.csv,24.0,24.0,1.0,177.0,177.0,1.0,0.0,0.0,0.0,132.0,45.0,
114-119-京东微联测试_1463737617.csv,11.0,17.0,0.6470588235294118,41.0,119.0,0.3445378151260504,0.6554621848739496,0.6512333965844402,0.6512333965844402,94.0,-53.0,
115-157-天天红包测试_1463737606.csv,17.0,17.0,1.0,157.0,157.0,1.0,0.0,0.0,0.0,122.0,35.0,
119-337-急救快通测试_1463737643.csv,42.0,42.0,1.0,325.0,337.0,0.9643916913946587,0.035608308605341255,0.06876790830945562,0.06876790830945562,288.0,37.0,
122-138-购物狂测试_1463737645.csv,16.0,18.0,0.8888888888888888,63.0,138.0,0.45652173913043476,0.5434782608695652,0.6745362563237773,0.6745362563237773,100.0,-37.0,
123-115-移动发布系统Beta测试_1463737586.csv,5.0,5.0,1.0,115.0,115.0,1.0,0.0,0.0,0.0,84.0,31.0,
124-326-衣批测试_1463737628.csv,21.0,40.0,0.525,44.0,326.0,0.13496932515337423,0.8650306748466258,0.6534260178748759,0.6534260178748759,238.0,-194.0,
125-117-话费支付Demo测试_1463737673.csv,15.0,16.0,0.9375,61.0,117.0,0.5213675213675214,0.4786324786324786,0.6337231233496793,0.6337231233496793,70.0,-9.0,
127-271-365淘房测试_1463737634.csv,32.0,32.0,1.0,271.0,271.0,1.0,0.0,0.0,0.0,235.0,36.0,
128-115-蛋蛋赚测试_1463737676.csv,14.0,14.0,1.0,115.0,115.0,1.0,0.0,0.0,0.0,102.0,13.0,
130-136-终极手电筒测试_1463737660.csv,18.0,19.0,0.9473684210526315,82.0,136.0,0.6029411764705882,0.3970588235294118,0.5595854922279793,0.5595854922279793,107.0,-25.0,
133-141-幻径测试_1463737686.csv,19.0,20.0,0.95,66.0,141.0,0.46808510638297873,0.5319148936170213,0.6819813352476668,0.6819813352476668,69.0,-3.0,
134-221-买车达人测试_1463737670.csv,21.0,24.0,0.875,103.0,221.0,0.4660633484162896,0.5339366515837104,0.6631874749096749,0.6631874749096749,191.0,-88.0,
135-243-星联app测试_1463737684.csv,30.0,30.0,1.0,242.0,243.0,0.9958847736625515,0.004115226337448541,0.008196721311475374,0.008196721311475374,151.0,91.0,
136-215-简明天气测试_1463737693.csv,24.0,24.0,1.0,213.0,215.0,0.9906976744186047,0.009302325581395321,0.01843317972350225,0.01843317972350225,154.0,59.0,
141-173-聚创测试_1463737689.csv,12.0,23.0,0.5217391304347826,35.0,173.0,0.2023121387283237,0.7976878612716762,0.6308571428571429,0.6308571428571429,140.0,-105.0,
142-130-hjdn测试_1463737703.csv,18.0,18.0,1.0,98.0,130.0,0.7538461538461538,0.24615384615384617,0.39506172839506176,0.39506172839506176,75.0,23.0,
143-127-荔枝FM测试_1463737709.csv,10.0,18.0,0.5555555555555556,31.0,127.0,0.2440944881889764,0.7559055118110236,0.6404269513008672,0.6404269513008672,103.0,-72.0,
