project,bugsDetected,totalBugs,percentBugsDetected,reportsSubmit,totalReports,percentReportsSubmit,percentSavedEffort,F1,E1,optimalReportsSubmit,differenceWithOptimal
1-284-百度手机卫士功能体验_1463737109.csv,29.0,36.0,0.8055555555555556,88.0,284.0,0.30985915492957744,0.6901408450704225,0.7433952393408317,0.7433952393408317,178.0,-90.0,
101-120-今日时尚测试_1463737561.csv,13.0,17.0,0.7647058823529411,48.0,120.0,0.4,0.6,0.6724137931034482,0.6724137931034482,73.0,-25.0,
102-223-迪信通测试_1463737571.csv,22.0,27.0,0.8148148148148148,64.0,223.0,0.28699551569506726,0.7130044843049328,0.7605174475486466,0.7605174475486466,122.0,-58.0,
106-103-基金速览2.3测试_1463737575.csv,12.0,14.0,0.8571428571428571,40.0,103.0,0.3883495145631068,0.6116504854368932,0.7138810198300283,0.7138810198300283,67.0,-27.0,
107-174-硬件编码测试_1463737567.csv,21.0,24.0,0.875,56.0,174.0,0.3218390804597701,0.6781609195402298,0.7641073080481036,0.7641073080481036,99.0,-43.0,
108-272-优优送药测试_1463737584.csv,23.0,34.0,0.6764705882352942,96.0,272.0,0.35294117647058826,0.6470588235294117,0.661437908496732,0.661437908496732,213.0,-117.0,
11-117-广告云推送调研测试_1463737325.csv,3.0,9.0,0.3333333333333333,24.0,117.0,0.20512820512820512,0.7948717948717949,0.4696969696969697,0.4696969696969697,94.0,-70.0,
111-241-迪信通测试二_1463737590.csv,20.0,30.0,0.6666666666666666,72.0,241.0,0.2987551867219917,0.7012448132780082,0.6835187057633972,0.6835187057633972,158.0,-86.0,
112-119-思维简图测试_1463737602.csv,8.0,16.0,0.5,32.0,119.0,0.2689075630252101,0.73109243697479,0.5938566552901025,0.5938566552901025,75.0,-43.0,
113-177-Hark测试_1463737599.csv,15.0,24.0,0.625,48.0,177.0,0.2711864406779661,0.728813559322034,0.6729264475743348,0.6729264475743348,132.0,-84.0,
114-119-京东微联测试_1463737617.csv,11.0,17.0,0.6470588235294118,40.0,119.0,0.33613445378151263,0.6638655462184874,0.6553544494720965,0.6553544494720965,94.0,-54.0,
115-157-天天红包测试_1463737606.csv,7.0,17.0,0.4117647058823529,32.0,157.0,0.20382165605095542,0.7961783439490446,0.542803970223325,0.542803970223325,122.0,-90.0,
