project,bugsDetected,totalBugs,percentBugsDetected,reportsSubmit,totalReports,percentReportsSubmit,percentSavedEffort,F1,E1,optimalReportsSubmit,differenceWithOptimal
1-284-百度手机卫士功能体验_1463737109.csv,35.0,36.0,0.9722222222222222,273.0,284.0,0.9612676056338029,0.03873239436619713,0.0744969040247677,0.0744969040247677,178.0,95.0,
101-120-今日时尚测试_1463737561.csv,17.0,17.0,1.0,91.0,120.0,0.7583333333333333,0.2416666666666667,0.389261744966443,0.389261744966443,73.0,18.0,
102-223-迪信通测试_1463737571.csv,27.0,27.0,1.0,195.0,223.0,0.874439461883408,0.12556053811659196,0.22310756972111562,0.22310756972111562,122.0,73.0,
106-103-基金速览2.3测试_1463737575.csv,14.0,14.0,1.0,91.0,103.0,0.883495145631068,0.11650485436893199,0.20869565217391295,0.20869565217391295,67.0,24.0,
107-174-硬件编码测试_1463737567.csv,24.0,24.0,1.0,169.0,174.0,0.9712643678160919,0.028735632183908066,0.055865921787709535,0.055865921787709535,99.0,70.0,
108-272-优优送药测试_1463737584.csv,34.0,34.0,1.0,260.0,272.0,0.9558823529411765,0.044117647058823484,0.08450704225352106,0.08450704225352106,213.0,47.0,
11-117-广告云推送调研测试_1463737325.csv,8.0,9.0,0.8888888888888888,104.0,117.0,0.8888888888888888,0.11111111111111116,0.19753086419753094,0.19753086419753094,94.0,10.0,
111-241-迪信通测试二_1463737590.csv,30.0,30.0,1.0,234.0,241.0,0.970954356846473,0.02904564315352698,0.056451612903225826,0.056451612903225826,158.0,76.0,
112-119-思维简图测试_1463737602.csv,15.0,16.0,0.9375,117.0,119.0,0.9831932773109243,0.01680672268907568,0.033021463951568616,0.033021463951568616,75.0,42.0,
113-177-Hark测试_1463737599.csv,23.0,24.0,0.9583333333333334,169.0,177.0,0.9548022598870056,0.04519774011299438,0.08632418484635238,0.08632418484635238,132.0,37.0,
114-119-京东微联测试_1463737617.csv,17.0,17.0,1.0,117.0,119.0,0.9831932773109243,0.01680672268907568,0.033057851239669526,0.033057851239669526,94.0,23.0,
115-157-天天红包测试_1463737606.csv,17.0,17.0,1.0,156.0,157.0,0.9936305732484076,0.006369426751592355,0.012658227848101264,0.012658227848101264,122.0,34.0,
119-337-急救快通测试_1463737643.csv,42.0,42.0,1.0,325.0,337.0,0.9643916913946587,0.035608308605341255,0.06876790830945562,0.06876790830945562,288.0,37.0,
122-138-购物狂测试_1463737645.csv,17.0,18.0,0.9444444444444444,130.0,138.0,0.9420289855072463,0.05797101449275366,0.10923694779116473,0.10923694779116473,100.0,30.0,
123-115-移动发布系统Beta测试_1463737586.csv,4.0,5.0,0.8,104.0,115.0,0.9043478260869565,0.09565217391304348,0.17087378640776701,0.17087378640776701,84.0,20.0,
124-326-衣批测试_1463737628.csv,40.0,40.0,1.0,325.0,326.0,0.9969325153374233,0.0030674846625766694,0.006116207951070301,0.006116207951070301,238.0,87.0,
125-117-话费支付Demo测试_1463737673.csv,16.0,16.0,1.0,104.0,117.0,0.8888888888888888,0.11111111111111116,0.20000000000000007,0.20000000000000007,70.0,34.0,
127-271-365淘房测试_1463737634.csv,32.0,32.0,1.0,260.0,271.0,0.959409594095941,0.040590405904059046,0.07801418439716312,0.07801418439716312,235.0,25.0,
128-115-蛋蛋赚测试_1463737676.csv,13.0,14.0,0.9285714285714286,91.0,115.0,0.7913043478260869,0.20869565217391306,0.34079737848170405,0.34079737848170405,102.0,-11.0,
130-136-终极手电筒测试_1463737660.csv,19.0,19.0,1.0,130.0,136.0,0.9558823529411765,0.044117647058823484,0.08450704225352106,0.08450704225352106,107.0,23.0,
133-141-幻径测试_1463737686.csv,20.0,20.0,1.0,130.0,141.0,0.9219858156028369,0.07801418439716312,0.14473684210526316,0.14473684210526316,69.0,61.0,
