project,bugsDetected,totalBugs,percentBugsDetected,reportsSubmit,totalReports,percentReportsSubmit,percentSavedEffort,F1,E1,optimalReportsSubmit,differenceWithOptimal
1-284-百度手机卫士功能体验_1463737109.csv,32.0,36.0,0.8888888888888888,130.0,284.0,0.45774647887323944,0.5422535211267605,0.7155712050078247,0.2956436979830548,178.0,-48.0,
101-120-今日时尚测试_1463737561.csv,16.0,17.0,0.9411764705882353,70.0,120.0,0.5833333333333334,0.41666666666666663,0.678921568627451,0.3791348600508907,73.0,-3.0,
102-223-迪信通测试_1463737571.csv,25.0,27.0,0.9259259259259259,120.0,223.0,0.5381165919282511,0.4618834080717489,0.6939046669988373,0.3441298420399931,122.0,-2.0,
106-103-基金速览2.3测试_1463737575.csv,13.0,14.0,0.9285714285714286,60.0,103.0,0.5825242718446602,0.41747572815533984,0.6730235783633842,0.3816708071155276,67.0,-7.0,
107-174-硬件编码测试_1463737567.csv,17.0,24.0,0.7083333333333334,60.0,174.0,0.3448275862068966,0.6551724137931034,0.6817528735632183,0.3144636581886504,99.0,-39.0,
108-272-优优送药测试_1463737584.csv,34.0,34.0,1.0,250.0,272.0,0.9191176470588235,0.08088235294117652,0.5404411764705883,0.8232349841938882,213.0,37.0,
11-117-广告云推送调研测试_1463737325.csv,3.0,9.0,0.3333333333333333,40.0,117.0,0.3418803418803419,0.6581196581196581,0.49572649572649574,0.5821546125789521,94.0,-54.0,
111-241-迪信通测试二_1463737590.csv,27.0,30.0,0.9,140.0,241.0,0.5809128630705395,0.41908713692946054,0.6595435684647303,0.38787878787878793,158.0,-18.0,
112-119-思维简图测试_1463737602.csv,15.0,16.0,0.9375,90.0,119.0,0.7563025210084033,0.24369747899159666,0.5905987394957983,0.5673335616103312,75.0,15.0,
113-177-Hark测试_1463737599.csv,10.0,24.0,0.4166666666666667,40.0,177.0,0.22598870056497175,0.7740112994350282,0.5953389830508474,0.48609625010761415,132.0,-92.0,
114-119-京东微联测试_1463737617.csv,6.0,17.0,0.35294117647058826,40.0,119.0,0.33613445378151263,0.6638655462184874,0.5084033613445378,0.5632194326112571,94.0,-54.0,
115-157-天天红包测试_1463737606.csv,15.0,17.0,0.8823529411764706,90.0,157.0,0.5732484076433121,0.4267515923566879,0.6545522667665793,0.3862073108461238,122.0,-32.0,
119-337-急救快通测试_1463737643.csv,32.0,42.0,0.7619047619047619,130.0,337.0,0.3857566765578635,0.6142433234421365,0.6880740426734492,0.3064279142578581,288.0,-158.0,
122-138-购物狂测试_1463737645.csv,16.0,18.0,0.8888888888888888,80.0,138.0,0.5797101449275363,0.42028985507246375,0.6545893719806763,0.3898948094499052,100.0,-20.0,
123-115-移动发布系统Beta测试_1463737586.csv,4.0,5.0,0.8,110.0,115.0,0.9565217391304348,0.04347826086956519,0.4217391304347826,0.9016129032258066,84.0,26.0,
124-326-衣批测试_1463737628.csv,40.0,40.0,1.0,270.0,326.0,0.8282208588957055,0.17177914110429449,0.5858895705521472,0.6639779657682471,238.0,32.0,
125-117-话费支付Demo测试_1463737673.csv,16.0,16.0,1.0,90.0,117.0,0.7692307692307693,0.23076923076923073,0.6153846153846154,0.5773672055427252,70.0,20.0,
127-271-365淘房测试_1463737634.csv,29.0,32.0,0.90625,170.0,271.0,0.6273062730627307,0.3726937269372693,0.6394718634686347,0.428856844198231,235.0,-65.0,
128-115-蛋蛋赚测试_1463737676.csv,13.0,14.0,0.9285714285714286,90.0,115.0,0.782608695652174,0.21739130434782605,0.5729813664596273,0.6033016508254128,102.0,-12.0,
130-136-终极手电筒测试_1463737660.csv,8.0,19.0,0.42105263157894735,50.0,136.0,0.36764705882352944,0.6323529411764706,0.526702786377709,0.5121361480517066,107.0,-57.0,
133-141-幻径测试_1463737686.csv,20.0,20.0,1.0,80.0,141.0,0.5673758865248227,0.43262411347517726,0.7163120567375887,0.34958923265163433,69.0,11.0,
134-221-买车达人测试_1463737670.csv,20.0,24.0,0.8333333333333334,160.0,221.0,0.7239819004524887,0.27601809954751133,0.5546757164404224,0.5440062743560206,191.0,-31.0,
135-243-星联app测试_1463737684.csv,16.0,30.0,0.5333333333333333,60.0,243.0,0.24691358024691357,0.7530864197530864,0.6432098765432099,0.3942205942205942,151.0,-91.0,
136-215-简明天气测试_1463737693.csv,22.0,24.0,0.9166666666666666,140.0,215.0,0.6511627906976745,0.34883720930232553,0.6327519379844961,0.4501502321770008,154.0,-14.0,
141-173-聚创测试_1463737689.csv,18.0,23.0,0.782608695652174,90.0,173.0,0.5202312138728323,0.47976878612716767,0.6311887408896708,0.37823897826353914,140.0,-50.0,
142-130-hjdn测试_1463737703.csv,15.0,18.0,0.8333333333333334,70.0,130.0,0.5384615384615384,0.46153846153846156,0.6474358974358975,0.37350222526532006,75.0,-5.0,
143-127-荔枝FM测试_1463737709.csv,18.0,18.0,1.0,110.0,127.0,0.8661417322834646,0.13385826771653542,0.5669291338582677,0.7261684710852918,103.0,7.0,
145-155-手电筒测试_1463737698.csv,15.0,22.0,0.6818181818181818,50.0,155.0,0.3225806451612903,0.6774193548387097,0.6796187683284458,0.3199915065293556,73.0,-23.0,
146-252-鸟人测试_1463737707.csv,12.0,31.0,0.3870967741935484,50.0,252.0,0.1984126984126984,0.8015873015873016,0.594342037890425,0.5088096946504026,196.0,-146.0,
149-121-喜马拉雅FM测试_1463737711.csv,17.0,17.0,1.0,120.0,121.0,0.9917355371900827,0.008264462809917328,0.5041322314049587,0.9800718719372755,79.0,41.0,
150-275-石榴网APP测试_1463737733.csv,24.0,34.0,0.7058823529411765,120.0,275.0,0.43636363636363634,0.5636363636363637,0.6347593582887701,0.3602841677943166,234.0,-114.0,
151-332-道道云驾校测试_1463737724.csv,40.0,41.0,0.975609756097561,220.0,332.0,0.6626506024096386,0.3373493975903614,0.6564795768439612,0.4504858117238273,224.0,-4.0,
154-186-BCHMS测试_1463737680.csv,26.0,26.0,1.0,160.0,186.0,0.8602150537634409,0.13978494623655913,0.5698924731182795,0.7160759040458289,149.0,11.0,
157-161-任意球测试_1463737744.csv,17.0,23.0,0.7391304347826086,80.0,161.0,0.4968944099378882,0.5031055900621118,0.6211180124223602,0.3800639147409829,125.0,-45.0,
158-278-城市赛车手测试_1463737738.csv,26.0,33.0,0.7878787878787878,130.0,278.0,0.4676258992805755,0.5323741007194245,0.6601264442991062,0.34162076045371415,218.0,-88.0,
159-158-基金曲线速览测试_1463737717.csv,20.0,21.0,0.9523809523809523,140.0,158.0,0.8860759493670886,0.11392405063291144,0.5331525015069318,0.7628714581893572,93.0,47.0,
161-270-凤凰视频beta版_1463737748.csv,30.0,31.0,0.967741935483871,260.0,270.0,0.9629629629629629,0.03703703703703709,0.5023894862604541,0.9143499017130019,220.0,40.0,
162-412-网上订餐软件测试_1463737768.csv,49.0,51.0,0.9607843137254902,280.0,412.0,0.6796116504854369,0.3203883495145631,0.6405863316200266,0.47186005793438746,326.0,-46.0,
163-180-局领导测试_1463737771.csv,22.0,23.0,0.9565217391304348,170.0,180.0,0.9444444444444444,0.05555555555555558,0.5060386473429952,0.8749067859806114,142.0,28.0,
164-326-茄子医生测试_1463737777.csv,40.0,40.0,1.0,290.0,326.0,0.8895705521472392,0.11042944785276076,0.5552147239263804,0.7675206436586914,263.0,27.0,
167-284-杏林题库测试_1463737790.csv,30.0,35.0,0.8571428571428571,130.0,284.0,0.45774647887323944,0.5422535211267605,0.6996981891348089,0.3076356132075472,243.0,-113.0,
168-124-电台测试_1463737792.csv,11.0,16.0,0.6875,70.0,124.0,0.5645161290322581,0.4354838709677419,0.561491935483871,0.44429789583461143,102.0,-32.0,
170-149-Domino测试_1463737794.csv,18.0,21.0,0.8571428571428571,100.0,149.0,0.6711409395973155,0.32885906040268453,0.5930009587727708,0.4831402386304686,131.0,-31.0,
171-290-百问百答测试_1463737762.csv,34.0,34.0,1.0,280.0,290.0,0.9655172413793104,0.03448275862068961,0.5172413793103448,0.9198423127463864,244.0,36.0,
174-330-易试驾测试_1463737832.csv,38.0,39.0,0.9743589743589743,270.0,330.0,0.8181818181818182,0.18181818181818177,0.578088578088578,0.6503243324785036,278.0,-8.0,
175-167-赛果不倒蛋测试_1463737842.csv,22.0,22.0,1.0,140.0,167.0,0.8383233532934131,0.16167664670658688,0.5808383233532934,0.6800077715173887,120.0,20.0,
179-117-金蛋理财测试_1463737851.csv,15.0,16.0,0.9375,70.0,117.0,0.5982905982905983,0.4017094017094017,0.6696047008547008,0.3938432914710981,56.0,14.0,
181-271-网乐惠测试_1463737849.csv,31.0,33.0,0.9393939393939394,180.0,271.0,0.6642066420664207,0.33579335793357934,0.6375936486637594,0.45909100910625433,240.0,-60.0,
183-124-喜马拉雅FM测试_1463737863.csv,15.0,17.0,0.8823529411764706,70.0,124.0,0.5645161290322581,0.4354838709677419,0.6589184060721063,0.37886559058681557,78.0,-8.0,
184-158-叮叮搭车测试_1463737804.csv,19.0,22.0,0.8636363636363636,70.0,158.0,0.4430379746835443,0.5569620253164558,0.7102991944764097,0.2953725836983405,91.0,-21.0,
187-289-鸟人测试_1463737869.csv,34.0,35.0,0.9714285714285714,280.0,289.0,0.9688581314878892,0.03114186851211076,0.501285219970341,0.9273668236118137,220.0,60.0,
189-216-跑跑测试_1463737615.csv,22.0,25.0,0.88,110.0,216.0,0.5092592592592593,0.4907407407407407,0.6853703703703704,0.33589169000933705,178.0,-68.0,
190-330-掌上PC板测试_1463737880.csv,10.0,41.0,0.24390243902439024,40.0,330.0,0.12121212121212122,0.8787878787878788,0.5613451589061345,0.6535041328789125,234.0,-194.0,
192-344-滔滔雅思口语测试_1463737898.csv,42.0,43.0,0.9767441860465116,330.0,344.0,0.9593023255813954,0.04069767441860461,0.5087209302325582,0.9063185607722686,265.0,65.0,
193-114-百度图片App4.1.3.1测试_1463737882.csv,3.0,3.0,1.0,110.0,114.0,0.9649122807017544,0.03508771929824561,0.5175438596491229,0.9185036740146961,40.0,70.0,
194-317-竹兜育儿测试_1463737902.csv,37.0,37.0,1.0,220.0,317.0,0.694006309148265,0.305993690851735,0.6529968454258674,0.481737759481475,170.0,50.0,
