 ,  ,number
Mth,%bugs,0.19444444444444445
Mth,%effort,0.9154929577464789
Mth,F1,0.5549687010954617
Mth,%bugs,0.7058823529411765
Mth,%effort,0.65
Mth,F1,0.6779411764705883
Mth,%bugs,0.9259259259259259
Mth,%effort,0.4618834080717489
Mth,F1,0.6939046669988373
Mth,%bugs,0.9285714285714286
Mth,%effort,0.47572815533980584
Mth,F1,0.7021497919556172
Mth,%bugs,0.875
Mth,%effort,0.48275862068965514
Mth,F1,0.6788793103448276
Mth,%bugs,1.0
Mth,%effort,0.007352941176470562
Mth,F1,0.5036764705882353
Mth,%bugs,0.4444444444444444
Mth,%effort,0.7435897435897436
Mth,F1,0.594017094017094
Mth,%bugs,0.2
Mth,%effort,0.8755186721991701
Mth,F1,0.537759336099585
Mth,%bugs,0.375
Mth,%effort,0.7478991596638656
Mth,F1,0.5614495798319328
Mth,%bugs,1.0
Mth,%effort,0.016949152542372836
Mth,F1,0.5084745762711864
Mth,%bugs,0.7058823529411765
Mth,%effort,0.4957983193277311
Mth,F1,0.6008403361344539
Mth,%bugs,0.35294117647058826
Mth,%effort,0.8089171974522293
Mth,F1,0.5809291869614088
Mth,%bugs,1.0
Mth,%effort,0.0029673590504450953
Mth,F1,0.5014836795252225
Mth,%bugs,0.8888888888888888
Mth,%effort,0.34782608695652173
Mth,F1,0.6183574879227053
Mth,%bugs,0.4
Mth,%effort,0.5826086956521739
Mth,F1,0.49130434782608695
Mth,%bugs,1.0
Mth,%effort,0.17177914110429449
Mth,F1,0.5858895705521472
Mth,%bugs,1.0
Mth,%effort,0.3846153846153846
Mth,F1,0.6923076923076923
Mth,%bugs,0.1875
Mth,%effort,0.8892988929889298
Mth,F1,0.5383994464944649
Mth,%bugs,0.9285714285714286
Mth,%effort,0.3739130434782608
Mth,F1,0.6512422360248447
Mth,%bugs,0.9473684210526315
Mth,%effort,0.38235294117647056
Mth,F1,0.664860681114551
Mth,%bugs,0.9
Mth,%effort,0.574468085106383
Mth,F1,0.7372340425531916
Mth,%bugs,0.9166666666666666
Mth,%effort,0.2941176470588235
Mth,F1,0.6053921568627451
Mth,%bugs,1.0
Mth,%effort,0.16049382716049387
Mth,F1,0.5802469135802469
Mth,%bugs,0.9166666666666666
Mth,%effort,0.4418604651162791
Mth,F1,0.6792635658914729
Mth,%bugs,0.6956521739130435
Mth,%effort,0.653179190751445
Mth,F1,0.6744156823322442
Mth,%bugs,0.9444444444444444
Mth,%effort,0.4461538461538461
Mth,F1,0.6952991452991453
Mth,%bugs,0.2777777777777778
Mth,%effort,0.8110236220472441
Mth,F1,0.5444006999125109
Mth,%bugs,0.8181818181818182
Mth,%effort,0.5354838709677419
Mth,F1,0.67683284457478
Mth,%bugs,1.0
Mth,%effort,0.1428571428571429
Mth,F1,0.5714285714285714
Mth,%bugs,1.0
Mth,%effort,0.008264462809917328
Mth,F1,0.5041322314049587
Mth,%bugs,0.7058823529411765
Mth,%effort,0.6072727272727273
Mth,F1,0.6565775401069519
Mth,%bugs,0.12195121951219512
Mth,%effort,0.927710843373494
Mth,F1,0.5248310314428446
Mth,%bugs,1.0
Mth,%effort,0.032258064516129004
Mth,F1,0.5161290322580645
Mth,%bugs,0.8260869565217391
Mth,%effort,0.4782608695652174
Mth,F1,0.6521739130434783
Mth,%bugs,0.7878787878787878
Mth,%effort,0.5683453237410072
Mth,F1,0.6781120558098975
Mth,%bugs,0.6190476190476191
Mth,%effort,0.620253164556962
Mth,F1,0.6196503918022905
Mth,%bugs,0.967741935483871
Mth,%effort,0.022222222222222254
Mth,F1,0.4949820788530466
Mth,%bugs,0.9607843137254902
Mth,%effort,0.30097087378640774
Mth,F1,0.630877593755949
Mth,%bugs,0.17391304347826086
Mth,%effort,0.8333333333333334
Mth,F1,0.5036231884057971
Mth,%bugs,1.0
Mth,%effort,0.1165644171779141
Mth,F1,0.558282208588957
Mth,%bugs,0.9428571428571428
Mth,%effort,0.3661971830985915
Mth,F1,0.6545271629778672
Mth,%bugs,0.75
Mth,%effort,0.4193548387096774
