project,bugsDetected,totalBugs,percentBugsDetected,reportsSubmit,totalReports,percentReportsSubmit,percentSavedEffort,F1,E1,optimalReportsSubmit,differenceWithOptimal
1-284-百度手机卫士功能体验_1463737109.csv,29.0,36.0,0.8055555555555556,87.0,284.0,0.30633802816901406,0.693661971830986,0.7496087636932708,0.7454331941544886,178.0,-91.0,
101-120-今日时尚测试_1463737561.csv,16.0,17.0,0.9411764705882353,72.0,120.0,0.6,0.4,0.6705882352941177,0.5614035087719298,73.0,-1.0,
102-223-迪信通测试_1463737571.csv,22.0,27.0,0.8148148148148148,66.0,223.0,0.29596412556053814,0.7040358744394619,0.7594253446271384,0.7553854565336249,122.0,-56.0,
106-103-基金速览2.3测试_1463737575.csv,12.0,14.0,0.8571428571428571,39.0,103.0,0.3786407766990291,0.6213592233009708,0.7392510402219139,0.7204502814258911,67.0,-28.0,
107-174-硬件编码测试_1463737567.csv,21.0,24.0,0.875,57.0,174.0,0.3275862068965517,0.6724137931034483,0.7737068965517242,0.7604456824512534,99.0,-42.0,
108-272-优优送药测试_1463737584.csv,20.0,34.0,0.5882352941176471,66.0,272.0,0.2426470588235294,0.7573529411764706,0.6727941176470589,0.662166505946641,213.0,-147.0,
11-117-广告云推送调研测试_1463737325.csv,3.0,9.0,0.3333333333333333,21.0,117.0,0.1794871794871795,0.8205128205128205,0.5769230769230769,0.4740740740740741,94.0,-73.0,
111-241-迪信通测试二_1463737590.csv,27.0,30.0,0.9,129.0,241.0,0.5352697095435685,0.46473029045643155,0.6823651452282158,0.6129522651261782,158.0,-29.0,
112-119-思维简图测试_1463737602.csv,14.0,16.0,0.875,63.0,119.0,0.5294117647058824,0.47058823529411764,0.6727941176470589,0.6120218579234972,75.0,-12.0,
113-177-Hark测试_1463737599.csv,16.0,24.0,0.6666666666666666,63.0,177.0,0.3559322033898305,0.6440677966101696,0.655367231638418,0.6551724137931035,132.0,-69.0,
114-119-京东微联测试_1463737617.csv,11.0,17.0,0.6470588235294118,39.0,119.0,0.3277310924369748,0.6722689075630253,0.6596638655462186,0.659423004870738,94.0,-55.0,
115-157-天天红包测试_1463737606.csv,12.0,17.0,0.7058823529411765,63.0,157.0,0.4012738853503185,0.5987261146496815,0.652304233795429,0.6479035037334865,122.0,-59.0,
119-337-急救快通测试_1463737643.csv,33.0,42.0,0.7857142857142857,129.0,337.0,0.3827893175074184,0.6172106824925816,0.7014624841034336,0.6913431031877928,288.0,-159.0,
122-138-购物狂测试_1463737645.csv,16.0,18.0,0.8888888888888888,57.0,138.0,0.41304347826086957,0.5869565217391304,0.7379227053140096,0.7070376432078559,100.0,-43.0,
123-115-移动发布系统Beta测试_1463737586.csv,2.0,5.0,0.4,24.0,115.0,0.20869565217391303,0.7913043478260869,0.5956521739130435,0.5313868613138686,84.0,-60.0,
124-326-衣批测试_1463737628.csv,21.0,40.0,0.525,42.0,326.0,0.12883435582822086,0.8711656441717791,0.6980828220858896,0.6551686257277821,238.0,-196.0,
125-117-话费支付Demo测试_1463737673.csv,15.0,16.0,0.9375,54.0,117.0,0.46153846153846156,0.5384615384615384,0.7379807692307692,0.6840390879478828,70.0,-16.0,
127-271-365淘房测试_1463737634.csv,27.0,32.0,0.84375,138.0,271.0,0.5092250922509225,0.4907749077490775,0.6672624538745388,0.6205823900457963,235.0,-97.0,
128-115-蛋蛋赚测试_1463737676.csv,7.0,14.0,0.5,36.0,115.0,0.3130434782608696,0.6869565217391305,0.5934782608695652,0.5787545787545788,102.0,-66.0,
