project,bugsDetected,totalBugs,percentBugsDetected,reportsSubmit,totalReports,percentReportsSubmit,percentSavedEffort,F1,E1,optimalReportsSubmit,differenceWithOptimal
1-284-百度手机卫士功能体验_1463737109.csv,10.0,36.0,0.2777777777777778,30.0,284.0,0.1056338028169014,0.8943661971830986,0.5860719874804382,0.6128280990744257,178.0,-148.0,
101-120-今日时尚测试_1463737561.csv,12.0,17.0,0.7058823529411765,45.0,120.0,0.375,0.625,0.6654411764705883,0.3296703296703296,73.0,-28.0,
102-223-迪信通测试_1463737571.csv,23.0,27.0,0.8518518518518519,110.0,223.0,0.49327354260089684,0.5067264573991032,0.6792891546254776,0.33404043501455505,122.0,-12.0,
106-103-基金速览2.3测试_1463737575.csv,11.0,14.0,0.7857142857142857,35.0,103.0,0.33980582524271846,0.6601941747572815,0.7229542302357836,0.27108327875137794,67.0,-32.0,
107-174-硬件编码测试_1463737567.csv,13.0,24.0,0.5416666666666666,40.0,174.0,0.22988505747126436,0.7701149425287357,0.6558908045977012,0.38336641017606166,99.0,-59.0,
108-272-优优送药测试_1463737584.csv,23.0,34.0,0.6764705882352942,105.0,272.0,0.3860294117647059,0.6139705882352942,0.6452205882352942,0.35062138311789093,213.0,-108.0,
11-117-广告云推送调研测试_1463737325.csv,4.0,9.0,0.4444444444444444,30.0,117.0,0.2564102564102564,0.7435897435897436,0.594017094017094,0.4678098676293623,94.0,-64.0,
111-241-迪信通测试二_1463737590.csv,26.0,30.0,0.8666666666666667,140.0,241.0,0.5809128630705395,0.41908713692946054,0.6428769017980636,0.3971851127083883,158.0,-18.0,
112-119-思维简图测试_1463737602.csv,16.0,16.0,1.0,85.0,119.0,0.7142857142857143,0.2857142857142857,0.6428571428571428,0.5060728744939271,75.0,10.0,
113-177-Hark测试_1463737599.csv,14.0,24.0,0.5833333333333334,50.0,177.0,0.2824858757062147,0.7175141242937852,0.6504237288135593,0.3682475331725673,132.0,-82.0,
114-119-京东微联测试_1463737617.csv,3.0,17.0,0.17647058823529413,20.0,119.0,0.16806722689075632,0.8319327731092436,0.5042016806722689,0.7393724914764144,94.0,-74.0,
115-157-天天红包测试_1463737606.csv,15.0,17.0,0.8823529411764706,90.0,157.0,0.5732484076433121,0.4267515923566879,0.6545522667665793,0.3862073108461238,122.0,-32.0,
119-337-急救快通测试_1463737643.csv,38.0,42.0,0.9047619047619048,175.0,337.0,0.5192878338278932,0.48071216617210677,0.6927370354670057,0.3354804687361749,288.0,-113.0,
122-138-购物狂测试_1463737645.csv,3.0,18.0,0.16666666666666666,20.0,138.0,0.14492753623188406,0.855072463768116,0.5108695652173914,0.7512613172990532,100.0,-80.0,
123-115-移动发布系统Beta测试_1463737586.csv,4.0,5.0,0.8,110.0,115.0,0.9565217391304348,0.04347826086956519,0.4217391304347826,0.9016129032258066,84.0,26.0,
124-326-衣批测试_1463737628.csv,38.0,40.0,0.95,220.0,326.0,0.6748466257668712,0.32515337423312884,0.6375766871165645,0.46855560842669897,238.0,-18.0,
125-117-话费支付Demo测试_1463737673.csv,16.0,16.0,1.0,75.0,117.0,0.6410256410256411,0.3589743589743589,0.6794871794871795,0.42258282623394194,70.0,5.0,
127-271-365淘房测试_1463737634.csv,28.0,32.0,0.875,170.0,271.0,0.6273062730627307,0.3726937269372693,0.6238468634686347,0.4363441506672069,235.0,-65.0,
128-115-蛋蛋赚测试_1463737676.csv,13.0,14.0,0.9285714285714286,75.0,115.0,0.6521739130434783,0.34782608695652173,0.6381987577639752,0.448683410098201,102.0,-27.0,
130-136-终极手电筒测试_1463737660.csv,18.0,19.0,0.9473684210526315,85.0,136.0,0.625,0.375,0.6611842105263157,0.4171974522292994,107.0,-22.0,
133-141-幻径测试_1463737686.csv,20.0,20.0,1.0,75.0,141.0,0.5319148936170213,0.46808510638297873,0.7340425531914894,0.3177427554651754,69.0,6.0,
134-221-买车达人测试_1463737670.csv,22.0,24.0,0.9166666666666666,120.0,221.0,0.5429864253393665,0.4570135746606335,0.6868401206636501,0.3508960127194536,191.0,-71.0,
135-243-星联app测试_1463737684.csv,7.0,30.0,0.23333333333333334,25.0,243.0,0.102880658436214,0.897119341563786,0.5652263374485597,0.6651161117406867,151.0,-126.0,
136-215-简明天气测试_1463737693.csv,13.0,24.0,0.5416666666666666,50.0,215.0,0.23255813953488372,0.7674418604651163,0.6545542635658914,0.3840704215407066,154.0,-104.0,
141-173-聚创测试_1463737689.csv,19.0,23.0,0.8260869565217391,85.0,173.0,0.4913294797687861,0.5086705202312138,0.6673787383764764,0.34215261966343946,140.0,-55.0,
142-130-hjdn测试_1463737703.csv,17.0,18.0,0.9444444444444444,70.0,130.0,0.5384615384615384,0.46153846153846156,0.7029914529914529,0.3389992563476044,75.0,-5.0,
143-127-荔枝FM测试_1463737709.csv,6.0,18.0,0.3333333333333333,30.0,127.0,0.23622047244094488,0.7637795275590551,0.5485564304461942,0.5665519009596367,103.0,-73.0,
145-155-手电筒测试_1463737698.csv,7.0,22.0,0.3181818181818182,20.0,155.0,0.12903225806451613,0.8709677419354839,0.594574780058651,0.5699578499757544,73.0,-53.0,
146-252-鸟人测试_1463737707.csv,7.0,31.0,0.22580645161290322,20.0,252.0,0.07936507936507936,0.9206349206349207,0.573220686123912,0.6730690533708237,196.0,-176.0,
149-121-喜马拉雅FM测试_1463737711.csv,16.0,17.0,0.9411764705882353,85.0,121.0,0.7024793388429752,0.2975206611570248,0.6193485658726301,0.5011358473421172,79.0,6.0,
150-275-石榴网APP测试_1463737733.csv,12.0,34.0,0.35294117647058826,45.0,275.0,0.16363636363636364,0.8363636363636364,0.5946524064171124,0.5374979396736443,234.0,-189.0,
151-332-道道云驾校测试_1463737724.csv,5.0,41.0,0.12195121951219512,25.0,332.0,0.07530120481927711,0.9246987951807228,0.523325007346459,0.8106976499700788,224.0,-199.0,
154-186-BCHMS测试_1463737680.csv,26.0,26.0,1.0,160.0,186.0,0.8602150537634409,0.13978494623655913,0.5698924731182795,0.7160759040458289,149.0,11.0,
157-161-任意球测试_1463737744.csv,19.0,23.0,0.8260869565217391,80.0,161.0,0.4968944099378882,0.5031055900621118,0.6645962732919255,0.3459869168123837,125.0,-45.0,
158-278-城市赛车手测试_1463737738.csv,26.0,33.0,0.7878787878787878,120.0,278.0,0.4316546762589928,0.5683453237410072,0.6781120558098975,0.3198010879360702,218.0,-98.0,
159-158-基金曲线速览测试_1463737717.csv,20.0,21.0,0.9523809523809523,125.0,158.0,0.7911392405063291,0.2088607594936709,0.5806208559373116,0.6126909608650479,93.0,32.0,
161-270-凤凰视频beta版_1463737748.csv,31.0,31.0,1.0,265.0,270.0,0.9814814814814815,0.01851851851851849,0.5092592592592593,0.955988455988456,220.0,45.0,
162-412-网上订餐软件测试_1463737768.csv,45.0,51.0,0.8823529411764706,210.0,412.0,0.5097087378640777,0.49029126213592233,0.6863221016561964,0.3354403072011045,326.0,-116.0,
163-180-局领导测试_1463737771.csv,22.0,23.0,0.9565217391304348,145.0,180.0,0.8055555555555556,0.19444444444444442,0.5754830917874396,0.6329895296140022,142.0,3.0,
164-326-茄子医生测试_1463737777.csv,36.0,40.0,0.9,175.0,326.0,0.5368098159509203,0.46319018404907975,0.6815950920245399,0.3508809020436927,263.0,-88.0,
167-284-杏林题库测试_1463737790.csv,33.0,35.0,0.9428571428571428,180.0,284.0,0.6338028169014085,0.3661971830985915,0.6545271629778672,0.4269666611923142,243.0,-63.0,
168-124-电台测试_1463737792.csv,11.0,16.0,0.6875,75.0,124.0,0.6048387096774194,0.3951612903225806,0.5413306451612903,0.4724504203838007,102.0,-27.0,
