project,bugsDetected,totalBugs,percentBugsDetected,reportsSubmit,totalReports,percentReportsSubmit,percentSavedEffort,F1,E1,optimalReportsSubmit,differenceWithOptimal
1-284-百度手机卫士功能体验_1463737109.csv,35.0,36.0,0.9722222222222222,280.0,284.0,0.9859154929577465,0.014084507042253502,0.49315336463223786,0.9663360716481922,178.0,102.0,
101-120-今日时尚测试_1463737561.csv,17.0,17.0,1.0,104.0,120.0,0.8666666666666667,0.1333333333333333,0.5666666666666667,0.7270693512304252,73.0,31.0,
102-223-迪信通测试_1463737571.csv,27.0,27.0,1.0,200.0,223.0,0.8968609865470852,0.10313901345291476,0.5515695067264574,0.7808839606434484,122.0,78.0,
106-103-基金速览2.3测试_1463737575.csv,14.0,14.0,1.0,96.0,103.0,0.9320388349514563,0.06796116504854366,0.5339805825242718,0.8489564909798373,67.0,29.0,
107-174-硬件编码测试_1463737567.csv,24.0,24.0,1.0,168.0,174.0,0.9655172413793104,0.03448275862068961,0.5172413793103448,0.9198423127463864,99.0,69.0,
108-272-优优送药测试_1463737584.csv,34.0,34.0,1.0,264.0,272.0,0.9705882352941176,0.02941176470588236,0.5147058823529411,0.9311512415349887,213.0,51.0,
11-117-广告云推送调研测试_1463737325.csv,8.0,9.0,0.8888888888888888,112.0,117.0,0.9572649572649573,0.042735042735042694,0.46581196581196577,0.9024780175859314,94.0,18.0,
111-241-迪信通测试二_1463737590.csv,30.0,30.0,1.0,240.0,241.0,0.995850622406639,0.004149377593360981,0.5020746887966805,0.9899356541824782,158.0,82.0,
112-119-思维简图测试_1463737602.csv,15.0,16.0,0.9375,112.0,119.0,0.9411764705882353,0.05882352941176472,0.49816176470588236,0.8683642641346568,75.0,37.0,
113-177-Hark测试_1463737599.csv,24.0,24.0,1.0,176.0,177.0,0.9943502824858758,0.005649717514124242,0.5028248587570621,0.9863259358888143,132.0,44.0,
114-119-京东微联测试_1463737617.csv,16.0,17.0,0.9411764705882353,112.0,119.0,0.9411764705882353,0.05882352941176472,0.5,0.8683216405828387,94.0,18.0,
115-157-天天红包测试_1463737606.csv,17.0,17.0,1.0,152.0,157.0,0.9681528662420382,0.031847133757961776,0.5159235668789809,0.925700365408039,122.0,30.0,
119-337-急救快通测试_1463737643.csv,42.0,42.0,1.0,336.0,337.0,0.9970326409495549,0.0029673590504450953,0.5014836795252225,0.9927904503013828,288.0,48.0,
122-138-购物狂测试_1463737645.csv,17.0,18.0,0.9444444444444444,136.0,138.0,0.9855072463768116,0.01449275362318836,0.4794685990338164,0.9654021953091116,100.0,36.0,
123-115-移动发布系统Beta测试_1463737586.csv,4.0,5.0,0.8,112.0,115.0,0.9739130434782609,0.02608695652173909,0.41304347826086957,0.939202657807309,84.0,28.0,
124-326-衣批测试_1463737628.csv,40.0,40.0,1.0,320.0,326.0,0.9815950920245399,0.018404907975460127,0.50920245398773,0.9562514941429596,238.0,82.0,
125-117-话费支付Demo测试_1463737673.csv,16.0,16.0,1.0,112.0,117.0,0.9572649572649573,0.042735042735042694,0.5213675213675213,0.9017713365539454,70.0,42.0,
127-271-365淘房测试_1463737634.csv,31.0,32.0,0.96875,264.0,271.0,0.974169741697417,0.02583025830258301,0.4972901291512915,0.9393045958301428,235.0,29.0,
128-115-蛋蛋赚测试_1463737676.csv,14.0,14.0,1.0,112.0,115.0,0.9739130434782609,0.02608695652173909,0.5130434782608695,0.9386523633925579,102.0,10.0,
130-136-终极手电筒测试_1463737660.csv,19.0,19.0,1.0,128.0,136.0,0.9411764705882353,0.05882352941176472,0.5294117647058824,0.8676789587852495,107.0,21.0,
133-141-幻径测试_1463737686.csv,20.0,20.0,1.0,136.0,141.0,0.9645390070921985,0.03546099290780147,0.5177304964539007,0.9176788124156544,69.0,67.0,
134-221-买车达人测试_1463737670.csv,24.0,24.0,1.0,216.0,221.0,0.9773755656108597,0.022624434389140302,0.5113122171945701,0.9465381244522348,191.0,25.0,
135-243-星联app测试_1463737684.csv,30.0,30.0,1.0,240.0,243.0,0.9876543209876543,0.012345679012345734,0.5061728395061729,0.9704027171276078,151.0,89.0,
136-215-简明天气测试_1463737693.csv,24.0,24.0,1.0,208.0,215.0,0.9674418604651163,0.032558139534883734,0.5162790697674419,0.9241158699129198,154.0,54.0,
141-173-聚创测试_1463737689.csv,23.0,23.0,1.0,168.0,173.0,0.9710982658959537,0.028901734104046284,0.5144508670520231,0.932297447280799,140.0,28.0,
