project,bugsDetected,totalBugs,percentBugsDetected,reportsSubmit,totalReports,percentReportsSubmit,percentSavedEffort,F1,E1,optimalReportsSubmit,differenceWithOptimal
1-284-百度手机卫士功能体验_1463737109.csv,31.0,36.0,0.8611111111111112,136.0,284.0,0.4788732394366197,0.5211267605633803,0.6911189358372457,0.3205570175864514,178.0,-42.0,
101-120-今日时尚测试_1463737561.csv,17.0,17.0,1.0,116.0,120.0,0.9666666666666667,0.033333333333333326,0.5166666666666666,0.9223918575063613,73.0,43.0,
102-223-迪信通测试_1463737571.csv,25.0,27.0,0.9259259259259259,144.0,223.0,0.6457399103139013,0.3542600896860987,0.6400930078060123,0.4426659511572286,122.0,22.0,
106-103-基金速览2.3测试_1463737575.csv,13.0,14.0,0.9285714285714286,64.0,103.0,0.6213592233009708,0.3786407766990292,0.6536061026352289,0.4179104477611939,67.0,-3.0,
107-174-硬件编码测试_1463737567.csv,19.0,24.0,0.7916666666666666,84.0,174.0,0.4827586206896552,0.5172413793103448,0.6544540229885056,0.34972881989900884,99.0,-15.0,
108-272-优优送药测试_1463737584.csv,34.0,34.0,1.0,268.0,272.0,0.9852941176470589,0.014705882352941124,0.5073529411764706,0.9648617511520738,213.0,55.0,
11-117-广告云推送调研测试_1463737325.csv,4.0,9.0,0.4444444444444444,40.0,117.0,0.3418803418803419,0.6581196581196581,0.5512820512820513,0.4873390089500109,94.0,-54.0,
111-241-迪信通测试二_1463737590.csv,26.0,30.0,0.8666666666666667,148.0,241.0,0.6141078838174274,0.3858921161825726,0.6262793914246196,0.4262787350733206,158.0,-10.0,
112-119-思维简图测试_1463737602.csv,15.0,16.0,0.9375,108.0,119.0,0.907563025210084,0.09243697478991597,0.514968487394958,0.8024960263731089,75.0,33.0,
113-177-Hark测试_1463737599.csv,24.0,24.0,1.0,176.0,177.0,0.9943502824858758,0.005649717514124242,0.5028248587570621,0.9863259358888143,132.0,44.0,
114-119-京东微联测试_1463737617.csv,12.0,17.0,0.7058823529411765,72.0,119.0,0.6050420168067226,0.39495798319327735,0.5504201680672269,0.46630677587490676,94.0,-22.0,
115-157-天天红包测试_1463737606.csv,16.0,17.0,0.9411764705882353,120.0,157.0,0.7643312101910829,0.23566878980891715,0.5884226301985762,0.577360610458312,122.0,-2.0,
119-337-急救快通测试_1463737643.csv,38.0,42.0,0.9047619047619048,200.0,337.0,0.5934718100890207,0.4065281899109793,0.655645047336442,0.39774395308878907,288.0,-88.0,
122-138-购物狂测试_1463737645.csv,18.0,18.0,1.0,136.0,138.0,0.9855072463768116,0.01449275362318836,0.5072463768115942,0.9653605905735378,100.0,36.0,
123-115-移动发布系统Beta测试_1463737586.csv,1.0,5.0,0.2,36.0,115.0,0.3130434782608696,0.6869565217391305,0.4434782608695652,0.7181047089792336,84.0,-48.0,
124-326-衣批测试_1463737628.csv,40.0,40.0,1.0,276.0,326.0,0.8466257668711656,0.15337423312883436,0.5766871165644172,0.693467336683417,238.0,38.0,
125-117-话费支付Demo测试_1463737673.csv,16.0,16.0,1.0,76.0,117.0,0.6495726495726496,0.3504273504273504,0.6752136752136753,0.4317200636219042,70.0,6.0,
127-271-365淘房测试_1463737634.csv,28.0,32.0,0.875,176.0,271.0,0.6494464944649446,0.3505535055350554,0.6127767527675276,0.4575783913886474,235.0,-59.0,
128-115-蛋蛋赚测试_1463737676.csv,13.0,14.0,0.9285714285714286,92.0,115.0,0.8,0.19999999999999996,0.5642857142857143,0.6275246594645374,102.0,-10.0,
130-136-终极手电筒测试_1463737660.csv,17.0,19.0,0.8947368421052632,92.0,136.0,0.6764705882352942,0.32352941176470584,0.6091331269349844,0.48088650222990814,107.0,-15.0,
133-141-幻径测试_1463737686.csv,20.0,20.0,1.0,100.0,141.0,0.7092198581560284,0.2907801418439716,0.6453900709219857,0.49990001999600076,69.0,31.0,
134-221-买车达人测试_1463737670.csv,21.0,24.0,0.875,168.0,221.0,0.7601809954751131,0.23981900452488691,0.5574095022624435,0.5804334526038673,191.0,-23.0,
135-243-星联app测试_1463737684.csv,14.0,30.0,0.4666666666666667,60.0,243.0,0.24691358024691357,0.7530864197530864,0.6098765432098765,0.44716120131592907,151.0,-91.0,
136-215-简明天气测试_1463737693.csv,24.0,24.0,1.0,164.0,215.0,0.7627906976744186,0.23720930232558135,0.6186046511627907,0.5685757869920954,154.0,10.0,
141-173-聚创测试_1463737689.csv,22.0,23.0,0.9565217391304348,136.0,173.0,0.7861271676300579,0.21387283236994215,0.5851972857501885,0.605250186825243,140.0,-4.0,
142-130-hjdn测试_1463737703.csv,17.0,18.0,0.9444444444444444,128.0,130.0,0.9846153846153847,0.01538461538461533,0.4799145299145299,0.9633218972164257,75.0,53.0,
143-127-荔枝FM测试_1463737709.csv,17.0,18.0,0.9444444444444444,116.0,127.0,0.9133858267716536,0.08661417322834641,0.5155293088363955,0.813315221838535,103.0,13.0,
145-155-手电筒测试_1463737698.csv,20.0,22.0,0.9090909090909091,112.0,155.0,0.7225806451612903,0.2774193548387097,0.5932551319648094,0.5297429093907992,73.0,39.0,
146-252-鸟人测试_1463737707.csv,29.0,31.0,0.9354838709677419,184.0,252.0,0.7301587301587301,0.2698412698412699,0.6026625704045059,0.5348121335870186,196.0,-12.0,
149-121-喜马拉雅FM测试_1463737711.csv,15.0,17.0,0.8823529411764706,92.0,121.0,0.7603305785123967,0.23966942148760328,0.5610111813320369,0.5796302457107552,79.0,13.0,
150-275-石榴网APP测试_1463737733.csv,24.0,34.0,0.7058823529411765,120.0,275.0,0.43636363636363634,0.5636363636363637,0.6347593582887701,0.3602841677943166,234.0,-114.0,
151-332-道道云驾校测试_1463737724.csv,41.0,41.0,1.0,256.0,332.0,0.7710843373493976,0.22891566265060237,0.6144578313253012,0.5799202609641175,224.0,32.0,
154-186-BCHMS测试_1463737680.csv,26.0,26.0,1.0,168.0,186.0,0.9032258064516129,0.09677419354838712,0.5483870967741935,0.7927519818799547,149.0,19.0,
157-161-任意球测试_1463737744.csv,17.0,23.0,0.7391304347826086,84.0,161.0,0.5217391304347826,0.4782608695652174,0.6086956521739131,0.3959116665784038,125.0,-41.0,
158-278-城市赛车手测试_1463737738.csv,26.0,33.0,0.7878787878787878,140.0,278.0,0.5035971223021583,0.49640287769784175,0.6421408327883148,0.3649446965564467,218.0,-78.0,
159-158-基金曲线速览测试_1463737717.csv,20.0,21.0,0.9523809523809523,136.0,158.0,0.8607594936708861,0.1392405063291139,0.5458107293550332,0.7193408064246278,93.0,43.0,
161-270-凤凰视频beta版_1463737748.csv,30.0,31.0,0.967741935483871,268.0,270.0,0.9925925925925926,0.007407407407407418,0.4875746714456392,0.9821229705175546,220.0,48.0,
162-412-网上订餐软件测试_1463737768.csv,49.0,51.0,0.9607843137254902,296.0,412.0,0.7184466019417476,0.2815533980582524,0.6211688558918713,0.5168794832208407,326.0,-30.0,
163-180-局领导测试_1463737771.csv,3.0,23.0,0.13043478260869565,36.0,180.0,0.2,0.8,0.46521739130434786,0.8014646053702197,142.0,-106.0,
164-326-茄子医生测试_1463737777.csv,40.0,40.0,1.0,292.0,326.0,0.8957055214723927,0.10429447852760731,0.5521472392638036,0.778749733304886,263.0,29.0,
167-284-杏林题库测试_1463737790.csv,34.0,35.0,0.9714285714285714,216.0,284.0,0.7605633802816901,0.23943661971830987,0.6054325955734406,0.5688149688149688,243.0,-27.0,
168-124-电台测试_1463737792.csv,10.0,16.0,0.625,88.0,124.0,0.7096774193548387,0.29032258064516125,0.4576612903225806,0.5755373434359055,102.0,-14.0,
170-149-Domino测试_1463737794.csv,18.0,21.0,0.8571428571428571,104.0,149.0,0.697986577181208,0.30201342281879195,0.5795781399808245,0.5111308993766697,131.0,-27.0,
171-290-百问百答测试_1463737762.csv,34.0,34.0,1.0,288.0,290.0,0.993103448275862,0.006896551724137945,0.503448275862069,0.9833378858235454,244.0,44.0,
174-330-易试驾测试_1463737832.csv,38.0,39.0,0.9743589743589743,272.0,330.0,0.8242424242424242,0.17575757575757578,0.5750582750582751,0.659576838544357,278.0,-6.0,
175-167-赛果不倒蛋测试_1463737842.csv,22.0,22.0,1.0,132.0,167.0,0.7904191616766467,0.20958083832335328,0.6047904191616766,0.6071757129714812,120.0,12.0,
179-117-金蛋理财测试_1463737851.csv,15.0,16.0,0.9375,72.0,117.0,0.6153846153846154,0.3846153846153846,0.6610576923076923,0.4100580270793037,56.0,16.0,
181-271-网乐惠测试_1463737849.csv,32.0,33.0,0.9696969696969697,196.0,271.0,0.7232472324723247,0.2767527675276753,0.6232248686123225,0.5214122262177181,240.0,-44.0,
183-124-喜马拉雅FM测试_1463737863.csv,17.0,17.0,1.0,100.0,124.0,0.8064516129032258,0.19354838709677424,0.5967741935483871,0.6306760847628657,78.0,22.0,
184-158-叮叮搭车测试_1463737804.csv,19.0,22.0,0.8636363636363636,88.0,158.0,0.5569620253164557,0.44303797468354433,0.653337169159954,0.3782665338340103,91.0,-3.0,
187-289-鸟人测试_1463737869.csv,35.0,35.0,1.0,288.0,289.0,0.9965397923875432,0.0034602076124568004,0.5017301038062284,0.9915989533122158,220.0,68.0,
189-216-跑跑测试_1463737615.csv,24.0,25.0,0.96,176.0,216.0,0.8148148148148148,0.18518518518518523,0.5725925925925925,0.6463768115942028,178.0,-2.0,
190-330-掌上PC板测试_1463737880.csv,41.0,41.0,1.0,248.0,330.0,0.7515151515151515,0.24848484848484853,0.6242424242424243,0.5534725941796107,234.0,14.0,
192-344-滔滔雅思口语测试_1463737898.csv,41.0,43.0,0.9534883720930233,332.0,344.0,0.9651162790697675,0.03488372093023251,0.4941860465116279,0.9191434791042525,265.0,67.0,
193-114-百度图片App4.1.3.1测试_1463737882.csv,1.0,3.0,0.3333333333333333,36.0,114.0,0.3157894736842105,0.6842105263157895,0.5087719298245614,0.5779670037253859,40.0,-4.0,
194-317-竹兜育儿测试_1463737902.csv,36.0,37.0,0.972972972972973,224.0,317.0,0.7066246056782335,0.2933753943217665,0.6331741836473698,0.5008798169980644,170.0,54.0,
196-262-小Q科普测试_1463737916.csv,31.0,31.0,1.0,232.0,262.0,0.8854961832061069,0.1145038167938931,0.5572519083969465,0.7601572739187419,144.0,88.0,
197-306-影视论坛Ai测试_1463737921.csv,37.0,38.0,0.9736842105263158,180.0,306.0,0.5882352941176471,0.4117647058823529,0.6927244582043344,0.37555827832891986,171.0,9.0,
199-295-98仙游测试_1463737840.csv,36.0,36.0,1.0,260.0,295.0,0.8813559322033898,0.11864406779661019,0.5593220338983051,0.7527504342790967,252.0,8.0,
2-471-百度浏览器T7尝鲜体验_1463737142.csv,57.0,58.0,0.9827586206896551,440.0,471.0,0.9341825902335457,0.06581740976645434,0.5242880152280547,0.8535309680759557,397.0,43.0,
200-429-加加运动测试_1463737892.csv,48.0,48.0,1.0,428.0,429.0,0.9976689976689976,0.002331002331002363,0.5011655011655012,0.9943313818418362,370.0,58.0,
202-432-无线襄阳测试_1463737927.csv,54.0,54.0,1.0,360.0,432.0,0.8333333333333334,0.16666666666666663,0.5833333333333333,0.6720430107526882,270.0,90.0,
203-463-自由理财师测试_1463737936.csv,52.0,57.0,0.9122807017543859,280.0,463.0,0.6047516198704104,0.3952483801295896,0.6537645409419878,0.40611162493759057,376.0,-96.0,
204-101-文件管理测试_1463737945.csv,14.0,14.0,1.0,68.0,101.0,0.6732673267326733,0.3267326732673267,0.6633663366336633,0.45785079450579047,47.0,21.0,
205-111-bug文件管理测试_1470654534.csv,13.0,15.0,0.8666666666666667,80.0,111.0,0.7207207207207207,0.2792792792792793,0.572972972972973,0.5345451102906371,56.0,24.0,
212-404-经常直播内测版测试_1463737964.csv,49.0,50.0,0.98,252.0,404.0,0.6237623762376238,0.37623762376237624,0.678118811881188,0.4088119713728041,267.0,-15.0,
213-416-bug经常直播内测版测试_1470654528.csv,51.0,51.0,1.0,296.0,416.0,0.7115384615384616,0.28846153846153844,0.6442307692307692,0.5027173913043478,204.0,92.0,
214-339-bug秀色测试_1470654525.csv,42.0,42.0,1.0,292.0,339.0,0.8613569321533924,0.13864306784660763,0.5693215339233038,0.718009245598505,226.0,66.0,
215-339-秀色测试_1463737968.csv,42.0,42.0,1.0,292.0,339.0,0.8613569321533924,0.13864306784660763,0.5693215339233038,0.718009245598505,226.0,66.0,
216-283-大帮汇测试_1463737957.csv,33.0,34.0,0.9705882352941176,280.0,283.0,0.9893992932862191,0.010600706713780883,0.49059447100394926,0.9745347822236842,228.0,52.0,
217-288-bug大帮汇测试_1470654530.csv,34.0,36.0,0.9444444444444444,284.0,288.0,0.9861111111111112,0.01388888888888884,0.47916666666666663,0.9668138760880698,233.0,51.0,
218-103-bug恶龙公主—逆塔防测试_1470654523.csv,14.0,14.0,1.0,88.0,103.0,0.8543689320388349,0.1456310679611651,0.5728155339805825,0.7062600321027287,78.0,10.0,
219-103-恶龙公主—逆塔防测试_1463737972.csv,14.0,14.0,1.0,88.0,103.0,0.8543689320388349,0.1456310679611651,0.5728155339805825,0.7062600321027287,78.0,10.0,
220-798-农科助手测试_1463737988.csv,98.0,99.0,0.98989898989899,756.0,798.0,0.9473684210526315,0.052631578947368474,0.5212652844231792,0.8807119766931395,683.0,73.0,
222-304-喜马拉雅FM测试_1463737999.csv,3.0,34.0,0.08823529411764706,36.0,304.0,0.11842105263157894,0.881578947368421,0.48490712074303405,0.8602065946093856,217.0,-181.0,
223-395-bug喜马拉雅FM测试_1470654512.csv,3.0,42.0,0.07142857142857142,36.0,395.0,0.09113924050632911,0.9088607594936708,0.4901446654611211,0.8852319834810362,305.0,-269.0,
224-426-智慧教育测试_1463737994.csv,53.0,53.0,1.0,404.0,426.0,0.9483568075117371,0.05164319248826288,0.5258215962441315,0.8827128124453767,339.0,65.0,
225-426-bug智慧教育测试_1470654514.csv,53.0,53.0,1.0,404.0,426.0,0.9483568075117371,0.05164319248826288,0.5258215962441315,0.8827128124453767,339.0,65.0,
226-325-郑州地铁二维码购票测试_1463738008.csv,37.0,39.0,0.9487179487179487,236.0,325.0,0.7261538461538461,0.27384615384615385,0.6112820512820513,0.5280028948660772,261.0,-25.0,
227-325-bug郑州地铁二维码购票测试_1470654508.csv,37.0,39.0,0.9487179487179487,236.0,325.0,0.7261538461538461,0.27384615384615385,0.6112820512820513,0.5280028948660772,261.0,-25.0,
228-244-小饭桌测试_1463737976.csv,27.0,28.0,0.9642857142857143,240.0,244.0,0.9836065573770492,0.016393442622950838,0.49033957845433257,0.9609558352890974,189.0,51.0,
229-244-bug小饭桌测试_1470654522.csv,27.0,28.0,0.9642857142857143,240.0,244.0,0.9836065573770492,0.016393442622950838,0.49033957845433257,0.9609558352890974,189.0,51.0,
230-217-bug易约爱测试_1470654510.csv,24.0,27.0,0.8888888888888888,124.0,217.0,0.5714285714285714,0.4285714285714286,0.6587301587301587,0.3827993254637436,162.0,-38.0,
231-217-易约爱测试_1463738003.csv,24.0,27.0,0.8888888888888888,124.0,217.0,0.5714285714285714,0.4285714285714286,0.6587301587301587,0.3827993254637436,162.0,-38.0,
234-175-bugJiuJiu测试_1470654480.csv,22.0,23.0,0.9565217391304348,140.0,175.0,0.8,0.19999999999999996,0.5782608695652174,0.6249301285634433,121.0,19.0,
235-175-JiuJiu测试_1463738027.csv,22.0,23.0,0.9565217391304348,140.0,175.0,0.8,0.19999999999999996,0.5782608695652174,0.6249301285634433,121.0,19.0,
236-561-我们一家测试_1463738018.csv,69.0,69.0,1.0,520.0,561.0,0.9269162210338681,0.07308377896613194,0.536541889483066,0.8386555706083478,364.0,156.0,
237-562-bug我们一家测试_1470654506.csv,69.0,69.0,1.0,560.0,562.0,0.99644128113879,0.003558718861209953,0.501779359430605,0.9913609970259171,505.0,55.0,
239-132-海捣网测试_1463738033.csv,17.0,18.0,0.9444444444444444,88.0,132.0,0.6666666666666666,0.33333333333333337,0.6388888888888888,0.46073842953718147,76.0,12.0,
240-132-bug海捣网测试_1470654473.csv,17.0,18.0,0.9444444444444444,88.0,132.0,0.6666666666666666,0.33333333333333337,0.6388888888888888,0.46073842953718147,76.0,12.0,
243-250-bugmalimalihome测试_1470654477.csv,29.0,31.0,0.9354838709677419,140.0,250.0,0.56,0.43999999999999995,0.687741935483871,0.35992237097463897,167.0,-27.0,
244-250-malimalihome测试_1463738030.csv,29.0,31.0,0.9354838709677419,140.0,250.0,0.56,0.43999999999999995,0.687741935483871,0.35992237097463897,167.0,-27.0,
249-222-玖信贷测试_1463738047.csv,27.0,27.0,1.0,176.0,222.0,0.7927927927927928,0.2072072072072072,0.6036036036036037,0.6106022758812102,148.0,28.0,
250-222-bug玖信贷测试_1470654468.csv,27.0,27.0,1.0,176.0,222.0,0.7927927927927928,0.2072072072072072,0.6036036036036037,0.6106022758812102,148.0,28.0,
251-205-aiqianbang测试_1463738035.csv,25.0,25.0,1.0,148.0,205.0,0.7219512195121951,0.2780487804878049,0.6390243902439025,0.5155357391667827,131.0,17.0,
252-205-bugaiqianbang测试_1470654472.csv,25.0,25.0,1.0,148.0,205.0,0.7219512195121951,0.2780487804878049,0.6390243902439025,0.5155357391667827,131.0,17.0,
253-372-bug叮叮导游测试_1470654471.csv,43.0,46.0,0.9347826086956522,224.0,372.0,0.6021505376344086,0.3978494623655914,0.6663160355306218,0.3981221356056237,253.0,-29.0,
254-372-叮叮导游测试_1463738040.csv,43.0,46.0,0.9347826086956522,224.0,372.0,0.6021505376344086,0.3978494623655914,0.6663160355306218,0.3981221356056237,253.0,-29.0,
257-133-bug口袋故事测试_1470654466.csv,18.0,19.0,0.9473684210526315,108.0,133.0,0.8120300751879699,0.18796992481203012,0.5676691729323309,0.6432748538011694,96.0,12.0,
258-133-口袋故事测试_1463738051.csv,18.0,19.0,0.9473684210526315,108.0,133.0,0.8120300751879699,0.18796992481203012,0.5676691729323309,0.6432748538011694,96.0,12.0,
261-195-小刀汇测试_1463738056.csv,25.0,27.0,0.9259259259259259,132.0,195.0,0.676923076923077,0.32307692307692304,0.6245014245014244,0.47531824958631663,155.0,-23.0,
262-197-bug小刀汇测试_1470654465.csv,23.0,28.0,0.8214285714285714,120.0,197.0,0.6091370558375635,0.3908629441624365,0.606145757795504,0.4340697047005885,157.0,-37.0,
263-212-bug芈糕测试_1470654464.csv,22.0,26.0,0.8461538461538461,92.0,212.0,0.4339622641509434,0.5660377358490566,0.7060957910014514,0.2965228027258431,161.0,-69.0,
264-212-芈糕测试_1463738058.csv,22.0,26.0,0.8461538461538461,92.0,212.0,0.4339622641509434,0.5660377358490566,0.7060957910014514,0.2965228027258431,161.0,-69.0,
267-194-bug车阿哥（用户端）测试_1470654466.csv,26.0,27.0,0.9629629629629629,152.0,194.0,0.7835051546391752,0.21649484536082475,0.5897289041618938,0.6009441422443746,143.0,9.0,
268-194-车阿哥（用户端）测试_1463738053.csv,26.0,27.0,0.9629629629629629,152.0,194.0,0.7835051546391752,0.21649484536082475,0.5897289041618938,0.6009441422443746,143.0,9.0,
273-146-黄瓜测试_1463738063.csv,20.0,20.0,1.0,144.0,146.0,0.9863013698630136,0.013698630136986356,0.5068493150684932,0.967221923696937,121.0,23.0,
274-149-bug黄瓜测试_1470654456.csv,21.0,21.0,1.0,148.0,149.0,0.9932885906040269,0.006711409395973145,0.5033557046979866,0.9837809093326243,124.0,24.0,
275-261-bug淘二手测试_1470654455.csv,29.0,32.0,0.90625,168.0,261.0,0.6436781609195402,0.3563218390804598,0.6312859195402298,0.44487635012704096,227.0,-59.0,
276-261-淘二手测试_1463738066.csv,29.0,32.0,0.90625,168.0,261.0,0.6436781609195402,0.3563218390804598,0.6312859195402298,0.44487635012704096,227.0,-59.0,
277-262-3Dsousou测试_1463738072.csv,29.0,32.0,0.90625,148.0,262.0,0.5648854961832062,0.43511450381679384,0.6706822519083969,0.372300624381377,169.0,-21.0,
278-262-bug3Dsousou测试_1470654452.csv,29.0,32.0,0.90625,148.0,262.0,0.5648854961832062,0.43511450381679384,0.6706822519083969,0.372300624381377,169.0,-21.0,
283-184-海捣网测试_1463738074.csv,25.0,26.0,0.9615384615384616,164.0,184.0,0.8913043478260869,0.10869565217391308,0.5351170568561874,0.7719114567753514,123.0,41.0,
284-184-bug海捣网测试_1470654451.csv,25.0,26.0,0.9615384615384616,164.0,184.0,0.8913043478260869,0.10869565217391308,0.5351170568561874,0.7719114567753514,123.0,41.0,
285-116-bug蜘蛛网app测试_1470654446.csv,14.0,15.0,0.9333333333333333,108.0,116.0,0.9310344827586207,0.06896551724137934,0.5011494252873563,0.847907390917186,68.0,40.0,
286-116-蜘蛛网app测试_1463738077.csv,14.0,15.0,0.9333333333333333,108.0,116.0,0.9310344827586207,0.06896551724137934,0.5011494252873563,0.847907390917186,68.0,40.0,
29-150-小白用车_1463737383.csv,18.0,21.0,0.8571428571428571,104.0,150.0,0.6933333333333334,0.30666666666666664,0.5819047619047619,0.5061598028863077,123.0,-19.0,
293-143-bug一度蜜测试_1470654434.csv,20.0,20.0,1.0,128.0,143.0,0.8951048951048951,0.1048951048951049,0.5524475524475525,0.7776427703523694,85.0,43.0,
294-143-一度蜜测试_1463738084.csv,20.0,20.0,1.0,128.0,143.0,0.8951048951048951,0.1048951048951049,0.5524475524475525,0.7776427703523694,85.0,43.0,
295-128-bug车典APP测试_1470654436.csv,15.0,15.0,1.0,124.0,128.0,0.96875,0.03125,0.515625,0.9270334928229665,104.0,20.0,
296-128-车典APP测试_1463738082.csv,15.0,15.0,1.0,124.0,128.0,0.96875,0.03125,0.515625,0.9270334928229665,104.0,20.0,
299-197-bug每刻兼职测试_1470654441.csv,25.0,28.0,0.8928571428571429,136.0,197.0,0.6903553299492385,0.30964467005076146,0.6012509064539522,0.4961080747292985,164.0,-28.0,
3-145-手机卫士短信功能_1463737156.csv,20.0,20.0,1.0,104.0,145.0,0.7172413793103448,0.2827586206896552,0.6413793103448275,0.5097039796118408,73.0,31.0,
300-197-每刻兼职测试_1463738080.csv,25.0,28.0,0.8928571428571429,136.0,197.0,0.6903553299492385,0.30964467005076146,0.6012509064539522,0.4961080747292985,164.0,-28.0,
307-137-UONE_1463738088.csv,14.0,18.0,0.7777777777777778,96.0,137.0,0.7007299270072993,0.2992700729927007,0.5385239253852392,0.5301269491934835,117.0,-21.0,
308-137-bugUONE_1470654431.csv,14.0,18.0,0.7777777777777778,96.0,137.0,0.7007299270072993,0.2992700729927007,0.5385239253852392,0.5301269491934835,117.0,-21.0,
309-170-私人飞行测试_1463738093.csv,5.0,23.0,0.21739130434782608,40.0,170.0,0.23529411764705882,0.7647058823529411,0.4910485933503836,0.692373341609124,106.0,-66.0,
310-170-bug私人飞行测试_1470654421.csv,5.0,23.0,0.21739130434782608,40.0,170.0,0.23529411764705882,0.7647058823529411,0.4910485933503836,0.692373341609124,106.0,-66.0,
311-185-bug社区慧生活测试_1470654424.csv,25.0,25.0,1.0,144.0,185.0,0.7783783783783784,0.22162162162162158,0.6108108108108108,0.5900672020980168,95.0,49.0,
312-185-社区慧生活测试_1463738091.csv,25.0,25.0,1.0,144.0,185.0,0.7783783783783784,0.22162162162162158,0.6108108108108108,0.5900672020980168,95.0,49.0,
315-119-萌宠达人测试_1463738095.csv,16.0,17.0,0.9411764705882353,80.0,119.0,0.6722689075630253,0.32773109243697474,0.634453781512605,0.4673979963060392,102.0,-22.0,
316-119-bug萌宠达人测试_1470654419.csv,16.0,17.0,0.9411764705882353,80.0,119.0,0.6722689075630253,0.32773109243697474,0.634453781512605,0.4673979963060392,102.0,-22.0,
317-131-华企帮测试_1463738098.csv,17.0,18.0,0.9444444444444444,88.0,131.0,0.6717557251908397,0.3282442748091603,0.6363443596268024,0.46622535582183167,39.0,49.0,
318-131-bug华企帮测试_1470654417.csv,17.0,18.0,0.9444444444444444,88.0,131.0,0.6717557251908397,0.3282442748091603,0.6363443596268024,0.46622535582183167,39.0,49.0,
319-197-百叶小成测试_1463738097.csv,26.0,28.0,0.9285714285714286,128.0,197.0,0.649746192893401,0.35025380710659904,0.6394126178390138,0.4461898158925517,138.0,-10.0,
320-197-bug百叶小成测试_1470654418.csv,26.0,28.0,0.9285714285714286,128.0,197.0,0.649746192893401,0.35025380710659904,0.6394126178390138,0.4461898158925517,138.0,-10.0,
321-129-有薪快访测试_1463738103.csv,7.0,10.0,0.7,128.0,129.0,0.9922480620155039,0.007751937984496138,0.35387596899224805,0.9813821669936778,36.0,92.0,
322-129-bug有薪快访测试_1470654415.csv,7.0,10.0,0.7,128.0,129.0,0.9922480620155039,0.007751937984496138,0.35387596899224805,0.9813821669936778,36.0,92.0,
325-231-数英测试_1463738102.csv,27.0,27.0,1.0,200.0,231.0,0.8658008658008658,0.1341991341991342,0.5670995670995671,0.7255840951966332,114.0,86.0,
326-231-bug数英测试_1470654415.csv,27.0,27.0,1.0,200.0,231.0,0.8658008658008658,0.1341991341991342,0.5670995670995671,0.7255840951966332,114.0,86.0,
327-239-动起来测试_1463738068.csv,24.0,29.0,0.8275862068965517,128.0,239.0,0.5355648535564853,0.4644351464435147,0.6460106766700332,0.3732586661729995,214.0,-86.0,
