project,bugsDetected,totalBugs,percentBugsDetected,reportsSubmit,totalReports,percentReportsSubmit,percentSavedEffort,F1,E1,optimalReportsSubmit,differenceWithOptimal
1-284-百度手机卫士功能体验_1463737109.csv,32.0,36.0,0.8888888888888888,168.0,284.0,0.5915492957746479,0.4084507042253521,0.6486697965571204,0.4002373283607391,178.0,-10.0,
101-120-今日时尚测试_1463737561.csv,17.0,17.0,1.0,102.0,120.0,0.85,0.15000000000000002,0.575,0.6990131578947367,73.0,29.0,
102-223-迪信通测试_1463737571.csv,26.0,27.0,0.9629629629629629,156.0,223.0,0.6995515695067265,0.3004484304932735,0.6317056967281183,0.49416872149813873,122.0,34.0,
106-103-基金速览2.3测试_1463737575.csv,14.0,14.0,1.0,102.0,103.0,0.9902912621359223,0.009708737864077666,0.5048543689320388,0.9766373037150518,67.0,35.0,
107-174-硬件编码测试_1463737567.csv,24.0,24.0,1.0,168.0,174.0,0.9655172413793104,0.03448275862068961,0.5172413793103448,0.9198423127463864,99.0,69.0,
108-272-优优送药测试_1463737584.csv,34.0,34.0,1.0,270.0,272.0,0.9926470588235294,0.007352941176470562,0.5036764705882353,0.9822467986030269,213.0,57.0,
11-117-广告云推送调研测试_1463737325.csv,8.0,9.0,0.8888888888888888,114.0,117.0,0.9743589743589743,0.02564102564102566,0.45726495726495725,0.9399310684391925,94.0,20.0,
111-241-迪信通测试二_1463737590.csv,26.0,30.0,0.8666666666666667,150.0,241.0,0.6224066390041494,0.3775933609958506,0.6221300138312587,0.4338602753697093,158.0,-8.0,
112-119-思维简图测试_1463737602.csv,15.0,16.0,0.9375,114.0,119.0,0.957983193277311,0.04201680672268904,0.4897584033613445,0.9036943479633723,75.0,39.0,
113-177-Hark测试_1463737599.csv,11.0,24.0,0.4583333333333333,66.0,177.0,0.3728813559322034,0.6271186440677966,0.542725988700565,0.4848421969995642,132.0,-66.0,
114-119-京东微联测试_1463737617.csv,17.0,17.0,1.0,114.0,119.0,0.957983193277311,0.04201680672268904,0.5210084033613445,0.9033280507131538,94.0,20.0,
115-157-天天红包测试_1463737606.csv,17.0,17.0,1.0,132.0,157.0,0.8407643312101911,0.15923566878980888,0.5796178343949044,0.6839378238341969,122.0,10.0,
119-337-急救快通测试_1463737643.csv,42.0,42.0,1.0,336.0,337.0,0.9970326409495549,0.0029673590504450953,0.5014836795252225,0.9927904503013828,288.0,48.0,
122-138-购物狂测试_1463737645.csv,17.0,18.0,0.9444444444444444,132.0,138.0,0.9565217391304348,0.04347826086956519,0.4939613526570048,0.9005084908375708,100.0,32.0,
123-115-移动发布系统Beta测试_1463737586.csv,2.0,5.0,0.4,60.0,115.0,0.5217391304347826,0.4782608695652174,0.4391304347826087,0.5712460063897764,84.0,-24.0,
