project,bugsDetected,totalBugs,percentBugsDetected,reportsSubmit,totalReports,percentReportsSubmit,percentSavedEffort,F1,E1,optimalReportsSubmit,differenceWithOptimal
1-284-百度手机卫士功能体验_1463737109.csv,12.0,36.0,0.3333333333333333,21.0,284.0,0.07394366197183098,0.926056338028169,0.6296948356807511,0.4902143522833178,178.0,-157.0,
101-120-今日时尚测试_1463737561.csv,8.0,17.0,0.47058823529411764,15.0,120.0,0.125,0.875,0.6727941176470589,0.6120218579234972,73.0,-58.0,
102-223-迪信通测试_1463737571.csv,11.0,27.0,0.4074074074074074,21.0,223.0,0.09417040358744394,0.905829596412556,0.6566185019099817,0.5620336410775262,122.0,-101.0,
106-103-基金速览2.3测试_1463737575.csv,10.0,14.0,0.7142857142857143,21.0,103.0,0.20388349514563106,0.7961165048543689,0.7552011095700416,0.7529843893480257,67.0,-46.0,
107-174-硬件编码测试_1463737567.csv,10.0,24.0,0.4166666666666667,16.0,174.0,0.09195402298850575,0.9080459770114943,0.6623563218390804,0.5712219812002893,99.0,-83.0,
108-272-优优送药测试_1463737584.csv,10.0,34.0,0.29411764705882354,23.0,272.0,0.08455882352941177,0.9154411764705882,0.6047794117647058,0.44519935633828,213.0,-190.0,
11-117-广告云推送调研测试_1463737325.csv,1.0,9.0,0.1111111111111111,5.0,117.0,0.042735042735042736,0.9572649572649573,0.5341880341880342,0.1991111111111111,94.0,-89.0,
111-241-迪信通测试二_1463737590.csv,6.0,30.0,0.2,11.0,241.0,0.04564315352697095,0.9543568464730291,0.5771784232365146,0.33069734004313445,158.0,-147.0,
112-119-思维简图测试_1463737602.csv,8.0,16.0,0.5,28.0,119.0,0.23529411764705882,0.7647058823529411,0.6323529411764706,0.6046511627906976,75.0,-47.0,
113-177-Hark测试_1463737599.csv,11.0,24.0,0.4583333333333333,25.0,177.0,0.14124293785310735,0.8587570621468926,0.658545197740113,0.5976764968722073,132.0,-107.0,
114-119-京东微联测试_1463737617.csv,9.0,17.0,0.5294117647058824,21.0,119.0,0.17647058823529413,0.8235294117647058,0.6764705882352942,0.6445012787723784,94.0,-73.0,
115-157-天天红包测试_1463737606.csv,6.0,17.0,0.35294117647058826,16.0,157.0,0.10191082802547771,0.8980891719745223,0.6255151742225553,0.5067385444743935,122.0,-106.0,
119-337-急救快通测试_1463737643.csv,12.0,42.0,0.2857142857142857,29.0,337.0,0.08605341246290801,0.913946587537092,0.5998304366256888,0.4353356890459364,288.0,-259.0,
122-138-购物狂测试_1463737645.csv,9.0,18.0,0.5,29.0,138.0,0.21014492753623187,0.7898550724637681,0.644927536231884,0.6123595505617977,100.0,-71.0,
123-115-移动发布系统Beta测试_1463737586.csv,1.0,5.0,0.2,5.0,115.0,0.043478260869565216,0.9565217391304348,0.5782608695652174,0.33082706766917297,84.0,-79.0,
124-326-衣批测试_1463737628.csv,21.0,40.0,0.525,37.0,326.0,0.11349693251533742,0.8865030674846626,0.7057515337423312,0.6594588721069217,238.0,-201.0,
125-117-话费支付Demo测试_1463737673.csv,12.0,16.0,0.75,30.0,117.0,0.2564102564102564,0.7435897435897436,0.7467948717948718,0.7467811158798283,70.0,-40.0,
127-271-365淘房测试_1463737634.csv,10.0,32.0,0.3125,31.0,271.0,0.11439114391143912,0.8856088560885609,0.5990544280442804,0.46198267564966317,235.0,-204.0,
128-115-蛋蛋赚测试_1463737676.csv,2.0,14.0,0.14285714285714285,9.0,115.0,0.0782608695652174,0.9217391304347826,0.5322981366459627,0.24737456242707118,102.0,-93.0,
130-136-终极手电筒测试_1463737660.csv,1.0,19.0,0.05263157894736842,5.0,136.0,0.03676470588235294,0.9632352941176471,0.5079334365325078,0.09980952380952379,107.0,-102.0,
133-141-幻径测试_1463737686.csv,7.0,20.0,0.35,14.0,141.0,0.09929078014184398,0.900709219858156,0.625354609929078,0.5041111426141196,69.0,-55.0,
134-221-买车达人测试_1463737670.csv,14.0,24.0,0.5833333333333334,35.0,221.0,0.1583710407239819,0.8416289592760181,0.7124811463046757,0.6890711828526065,191.0,-156.0,
135-243-星联app测试_1463737684.csv,8.0,30.0,0.26666666666666666,16.0,243.0,0.06584362139917696,0.934156378600823,0.6004115226337449,0.4148960475211331,151.0,-135.0,
136-215-简明天气测试_1463737693.csv,3.0,24.0,0.125,9.0,215.0,0.04186046511627907,0.958139534883721,0.5415697674418605,0.22114868491680087,154.0,-145.0,
141-173-聚创测试_1463737689.csv,12.0,23.0,0.5217391304347826,27.0,173.0,0.15606936416184972,0.8439306358381503,0.6828348831364665,0.6448288553551711,140.0,-113.0,
142-130-hjdn测试_1463737703.csv,7.0,18.0,0.3888888888888889,16.0,130.0,0.12307692307692308,0.8769230769230769,0.6329059829059829,0.5388251181634032,75.0,-59.0,
143-127-荔枝FM测试_1463737709.csv,10.0,18.0,0.5555555555555556,22.0,127.0,0.1732283464566929,0.8267716535433071,0.6911636045494314,0.6645569620253163,103.0,-81.0,
145-155-手电筒测试_1463737698.csv,14.0,22.0,0.6363636363636364,23.0,155.0,0.14838709677419354,0.8516129032258064,0.7439882697947213,0.7284193929838392,73.0,-50.0,
146-252-鸟人测试_1463737707.csv,11.0,31.0,0.3548387096774194,21.0,252.0,0.08333333333333333,0.9166666666666666,0.635752688172043,0.5116279069767442,196.0,-175.0,
149-121-喜马拉雅FM测试_1463737711.csv,4.0,17.0,0.23529411764705882,8.0,121.0,0.06611570247933884,0.9338842975206612,0.58458920758386,0.3758835758835759,79.0,-71.0,
150-275-石榴网APP测试_1463737733.csv,10.0,34.0,0.29411764705882354,18.0,275.0,0.06545454545454546,0.9345454545454546,0.6143315508021391,0.4474233983286908,234.0,-216.0,
151-332-道道云驾校测试_1463737724.csv,7.0,41.0,0.17073170731707318,18.0,332.0,0.05421686746987952,0.9457831325301205,0.5582574199235968,0.28924858534017633,224.0,-206.0,
154-186-BCHMS测试_1463737680.csv,4.0,26.0,0.15384615384615385,14.0,186.0,0.07526881720430108,0.9247311827956989,0.5392886683209264,0.2638036809815951,149.0,-135.0,
157-161-任意球测试_1463737744.csv,19.0,23.0,0.8260869565217391,51.0,161.0,0.3167701863354037,0.6832298136645962,0.7546583850931676,0.7478976561102165,125.0,-74.0,
158-278-城市赛车手测试_1463737738.csv,6.0,33.0,0.18181818181818182,10.0,278.0,0.03597122302158273,0.9640287769784173,0.5729234793982996,0.3059360730593607,218.0,-208.0,
159-158-基金曲线速览测试_1463737717.csv,14.0,21.0,0.6666666666666666,39.0,158.0,0.2468354430379747,0.7531645569620253,0.7099156118143459,0.7072808320950966,93.0,-54.0,
161-270-凤凰视频beta版_1463737748.csv,12.0,31.0,0.3870967741935484,28.0,270.0,0.1037037037037037,0.8962962962962963,0.6416965352449223,0.5406814373487245,220.0,-192.0,
162-412-网上订餐软件测试_1463737768.csv,13.0,51.0,0.2549019607843137,26.0,412.0,0.06310679611650485,0.9368932038834952,0.5958975823339044,0.4007667119239677,326.0,-300.0,
163-180-局领导测试_1463737771.csv,7.0,23.0,0.30434782608695654,15.0,180.0,0.08333333333333333,0.9166666666666666,0.6105072463768115,0.45697329376854606,142.0,-127.0,
164-326-茄子医生测试_1463737777.csv,14.0,40.0,0.35,28.0,326.0,0.08588957055214724,0.9141104294478528,0.6320552147239265,0.5061878184906575,263.0,-235.0,
167-284-杏林题库测试_1463737790.csv,19.0,35.0,0.5428571428571428,33.0,284.0,0.11619718309859155,0.8838028169014085,0.7133299798792756,0.6725900853254355,243.0,-210.0,
168-124-电台测试_1463737792.csv,6.0,16.0,0.375,18.0,124.0,0.14516129032258066,0.8548387096774194,0.6149193548387097,0.521311475409836,102.0,-84.0,
170-149-Domino测试_1463737794.csv,16.0,21.0,0.7619047619047619,43.0,149.0,0.28859060402684567,0.7114093959731543,0.7366570789389582,0.7357917570498915,131.0,-88.0,
171-290-百问百答测试_1463737762.csv,7.0,34.0,0.20588235294117646,44.0,290.0,0.15172413793103448,0.8482758620689655,0.527079107505071,0.3313450067346546,244.0,-200.0,
174-330-易试驾测试_1463737832.csv,17.0,39.0,0.4358974358974359,44.0,330.0,0.13333333333333333,0.8666666666666667,0.6512820512820513,0.5800524934383202,278.0,-234.0,
175-167-赛果不倒蛋测试_1463737842.csv,10.0,22.0,0.45454545454545453,22.0,167.0,0.1317365269461078,0.8682634730538922,0.6614044637996733,0.5967078189300411,120.0,-98.0,
179-117-金蛋理财测试_1463737851.csv,1.0,16.0,0.0625,5.0,117.0,0.042735042735042736,0.9572649572649573,0.5098824786324787,0.11733892090099528,56.0,-51.0,
181-271-网乐惠测试_1463737849.csv,2.0,33.0,0.06060606060606061,6.0,271.0,0.02214022140221402,0.977859778597786,0.5192329196019233,0.114138042424895,240.0,-234.0,
183-124-喜马拉雅FM测试_1463737863.csv,7.0,17.0,0.4117647058823529,18.0,124.0,0.14516129032258066,0.8548387096774194,0.6333017077798861,0.5558052434456929,78.0,-60.0,
184-158-叮叮搭车测试_1463737804.csv,6.0,22.0,0.2727272727272727,12.0,158.0,0.0759493670886076,0.9240506329113924,0.5983889528193326,0.42115384615384616,91.0,-79.0,
187-289-鸟人测试_1463737869.csv,20.0,35.0,0.5714285714285714,46.0,289.0,0.15916955017301038,0.8408304498269896,0.7061295106277805,0.680434021701085,220.0,-174.0,
189-216-跑跑测试_1463737615.csv,9.0,25.0,0.36,19.0,216.0,0.08796296296296297,0.912037037037037,0.6360185185185185,0.5162323482311836,178.0,-159.0,
190-330-掌上PC板测试_1463737880.csv,18.0,41.0,0.43902439024390244,32.0,330.0,0.09696969696969697,0.9030303030303031,0.6710273466371027,0.5908139662958476,234.0,-202.0,
192-344-滔滔雅思口语测试_1463737898.csv,3.0,43.0,0.06976744186046512,10.0,344.0,0.029069767441860465,0.9709302325581395,0.5203488372093023,0.1301805898401975,265.0,-255.0,
193-114-百度图片App4.1.3.1测试_1463737882.csv,1.0,3.0,0.3333333333333333,8.0,114.0,0.07017543859649122,0.9298245614035088,0.631578947368421,0.49074074074074076,40.0,-32.0,
194-317-竹兜育儿测试_1463737902.csv,5.0,37.0,0.13513513513513514,18.0,317.0,0.056782334384858045,0.943217665615142,0.5391764003751386,0.2364010120177103,170.0,-152.0,
196-262-小Q科普测试_1463737916.csv,14.0,31.0,0.45161290322580644,37.0,262.0,0.14122137404580154,0.8587786259541985,0.6551957645900025,0.5919383632434463,144.0,-107.0,
197-306-影视论坛Ai测试_1463737921.csv,22.0,38.0,0.5789473684210527,40.0,306.0,0.13071895424836602,0.869281045751634,0.7241142070863433,0.6950118764845605,171.0,-131.0,
199-295-98仙游测试_1463737840.csv,8.0,36.0,0.2222222222222222,15.0,295.0,0.05084745762711865,0.9491525423728814,0.5856873822975518,0.360128617363344,252.0,-237.0,
2-471-百度浏览器T7尝鲜体验_1463737142.csv,22.0,58.0,0.3793103448275862,44.0,471.0,0.09341825902335456,0.9065817409766455,0.6429460429021159,0.5348439990890458,397.0,-353.0,
200-429-加加运动测试_1463737892.csv,4.0,48.0,0.08333333333333333,8.0,429.0,0.018648018648018648,0.9813519813519813,0.5323426573426573,0.153621601897464,370.0,-362.0,
202-432-无线襄阳测试_1463737927.csv,16.0,54.0,0.2962962962962963,30.0,432.0,0.06944444444444445,0.9305555555555556,0.6134259259259259,0.44947589098532487,270.0,-240.0,
203-463-自由理财师测试_1463737936.csv,13.0,57.0,0.22807017543859648,20.0,463.0,0.04319654427645788,0.9568034557235421,0.5924368155810693,0.36834026223217137,376.0,-356.0,
204-101-文件管理测试_1463737945.csv,1.0,14.0,0.07142857142857142,5.0,101.0,0.04950495049504951,0.9504950495049505,0.5109618104667609,0.1328719723183391,47.0,-42.0,
205-111-bug文件管理测试_1470654534.csv,1.0,15.0,0.06666666666666667,13.0,111.0,0.11711711711711711,0.8828828828828829,0.47477477477477475,0.12397216951296648,56.0,-43.0,
212-404-经常直播内测版测试_1463737964.csv,27.0,50.0,0.54,39.0,404.0,0.09653465346534654,0.9034653465346535,0.7217326732673268,0.6759722889087043,267.0,-228.0,
213-416-bug经常直播内测版测试_1470654528.csv,6.0,51.0,0.11764705882352941,12.0,416.0,0.028846153846153848,0.9711538461538461,0.5444004524886877,0.20987012987012987,204.0,-192.0,
214-339-bug秀色测试_1470654525.csv,13.0,42.0,0.30952380952380953,21.0,339.0,0.061946902654867256,0.9380530973451328,0.6237884534344711,0.46546191521702424,226.0,-205.0,
215-339-秀色测试_1463737968.csv,13.0,42.0,0.30952380952380953,21.0,339.0,0.061946902654867256,0.9380530973451328,0.6237884534344711,0.46546191521702424,226.0,-205.0,
216-283-大帮汇测试_1463737957.csv,5.0,34.0,0.14705882352941177,11.0,283.0,0.038869257950530034,0.9611307420494699,0.5540947827894408,0.25508768639219737,228.0,-217.0,
217-288-bug大帮汇测试_1470654530.csv,5.0,36.0,0.1388888888888889,16.0,288.0,0.05555555555555555,0.9444444444444444,0.5416666666666666,0.24216524216524218,233.0,-217.0,
218-103-bug恶龙公主—逆塔防测试_1470654523.csv,9.0,14.0,0.6428571428571429,18.0,103.0,0.17475728155339806,0.8252427184466019,0.7340499306518724,0.7227208313651393,78.0,-60.0,
219-103-恶龙公主—逆塔防测试_1463737972.csv,9.0,14.0,0.6428571428571429,18.0,103.0,0.17475728155339806,0.8252427184466019,0.7340499306518724,0.7227208313651393,78.0,-60.0,
220-798-农科助手测试_1463737988.csv,33.0,99.0,0.3333333333333333,49.0,798.0,0.06140350877192982,0.9385964912280702,0.6359649122807017,0.49195402298850577,683.0,-634.0,
222-304-喜马拉雅FM测试_1463737999.csv,14.0,34.0,0.4117647058823529,28.0,304.0,0.09210526315789473,0.9078947368421053,0.6598297213622291,0.5665689149560117,217.0,-189.0,
223-395-bug喜马拉雅FM测试_1470654512.csv,14.0,42.0,0.3333333333333333,28.0,395.0,0.07088607594936709,0.9291139240506329,0.6312236286919831,0.49064171122994643,305.0,-277.0,
224-426-智慧教育测试_1463737994.csv,14.0,53.0,0.2641509433962264,24.0,426.0,0.056338028169014086,0.9436619718309859,0.6039064576136062,0.41276127612761276,339.0,-315.0,
