 ,  ,number
Trend,%bugs,0.9444444444444444
Trend,%effort,0.5211267605633803
Trend,F1,0.6716497597437265
Trend,%bugs,1.0
Trend,%effort,0.23333333333333328
Trend,F1,0.3783783783783783
Trend,%bugs,0.9259259259259259
Trend,%effort,0.4977578475336323
Trend,F1,0.6474568362109193
Trend,%bugs,0.8571428571428571
Trend,%effort,0.5728155339805825
Trend,F1,0.6867119301648885
Trend,%bugs,0.9583333333333334
Trend,%effort,0.5057471264367817
Trend,F1,0.6620870134118418
Trend,%bugs,0.6764705882352942
Trend,%effort,0.6213235294117647
Trend,F1,0.6477253791034828
Trend,%bugs,0.8888888888888888
Trend,%effort,0.23931623931623935
Trend,F1,0.37710437710437716
Trend,%bugs,0.9
Trend,%effort,0.43983402489626555
Trend,F1,0.590895013936203
Trend,%bugs,1.0
Trend,%effort,0.2100840336134454
Trend,F1,0.3472222222222222
Trend,%bugs,0.6666666666666666
Trend,%effort,0.615819209039548
Trend,F1,0.6402349486049926
Trend,%bugs,0.6470588235294118
Trend,%effort,0.6218487394957983
Trend,F1,0.634203350214258
Trend,%bugs,0.8823529411764706
Trend,%effort,0.43312101910828027
Trend,F1,0.5810310452862433
Trend,%bugs,0.7857142857142857
Trend,%effort,0.5964391691394659
Trend,F1,0.6781168532433676
Trend,%bugs,0.8888888888888888
Trend,%effort,0.5507246376811594
Trend,F1,0.6800894854586129
Trend,%bugs,0.4
Trend,%effort,0.7043478260869565
Trend,F1,0.510236220472441
Trend,%bugs,0.85
Trend,%effort,0.5674846625766872
Trend,F1,0.680588617182428
Trend,%bugs,0.9375
Trend,%effort,0.49572649572649574
Trend,F1,0.6485277674245248
Trend,%bugs,0.90625
Trend,%effort,0.3726937269372693
Trend,F1,0.5281759985573887
Trend,%bugs,0.9285714285714286
Trend,%effort,0.28695652173913044
Trend,F1,0.43842616249361266
Trend,%bugs,0.9473684210526315
Trend,%effort,0.4779411764705882
Trend,F1,0.6353516155308172
Trend,%bugs,1.0
Trend,%effort,0.375886524822695
Trend,F1,0.5463917525773195
Trend,%bugs,0.875
Trend,%effort,0.6018099547511313
Trend,F1,0.7131367292225202
Trend,%bugs,0.8333333333333334
Trend,%effort,0.4979423868312757
Trend,F1,0.6233900051519835
Trend,%bugs,0.9166666666666666
Trend,%effort,0.41860465116279066
Trend,F1,0.5747460087082729
Trend,%bugs,0.782608695652174
Trend,%effort,0.5375722543352601
Trend,F1,0.637350085665334
Trend,%bugs,0.9444444444444444
Trend,%effort,0.43846153846153846
Trend,F1,0.5988875154511742
Trend,%bugs,0.8333333333333334
Trend,%effort,0.3464566929133859
Trend,F1,0.4894327030033372
Trend,%bugs,1.0
Trend,%effort,0.40645161290322585
Trend,F1,0.5779816513761469
Trend,%bugs,0.45161290322580644
Trend,%effort,0.7976190476190477
Trend,F1,0.5766984322164156
Trend,%bugs,0.5294117647058824
Trend,%effort,0.71900826446281
Trend,F1,0.6098130841121495
Trend,%bugs,0.8235294117647058
Trend,%effort,0.4690909090909091
Trend,F1,0.597716366043356
Trend,%bugs,0.926829268292683
Trend,%effort,0.4126506024096386
Trend,F1,0.5710524872483957
Trend,%bugs,0.8846153846153846
Trend,%effort,0.3763440860215054
Trend,F1,0.5280419809773695
Trend,%bugs,0.8260869565217391
Trend,%effort,0.5900621118012422
Trend,F1,0.6884057971014493
Trend,%bugs,0.696969696969697
Trend,%effort,0.7194244604316546
Trend,F1,0.7080190857318763
Trend,%bugs,1.0
Trend,%effort,0.2911392405063291
Trend,F1,0.45098039215686275
Trend,%bugs,0.8064516129032258
Trend,%effort,0.6111111111111112
Trend,F1,0.6953223767383059
Trend,%bugs,0.8431372549019608
Trend,%effort,0.5825242718446602
Trend,F1,0.6890105488049139
Trend,%bugs,0.30434782608695654
Trend,%effort,0.8333333333333334
Trend,F1,0.4458598726114649
Trend,%bugs,0.9
Trend,%effort,0.5061349693251533
Trend,F1,0.6479057591623036
Trend,%bugs,0.9142857142857143
Trend,%effort,0.5387323943661972
Trend,F1,0.6779754898566779
Trend,%bugs,0.8125
Trend,%effort,0.49193548387096775
Trend,F1,0.6128284389489954
Trend,%bugs,0.8571428571428571
Trend,%effort,0.4832214765100671
Trend,F1,0.6180257510729613
Trend,%bugs,0.9411764705882353
Trend,%effort,0.3517241379310345
Trend,F1,0.5120803263256982
Trend,%bugs,0.717948717948718
Trend,%effort,0.706060606060606
Trend,F1,0.7119550390134773
Trend,%bugs,0.8181818181818182
Trend,%effort,0.4970059880239521
Trend,F1,0.6183774834437086
Trend,%bugs,1.0
Trend,%effort,0.3589743589743589
Trend,F1,0.5283018867924527
Trend,%bugs,0.8787878787878788
Trend,%effort,0.4981549815498155
Trend,F1,0.6358616209192789
Trend,%bugs,1.0
Trend,%effort,0.217741935483871
Trend,F1,0.35761589403973515
Trend,%bugs,1.0
Trend,%effort,0.30379746835443033
Trend,F1,0.4660194174757281
Trend,%bugs,0.7428571428571429
Trend,%effort,0.726643598615917
Trend,F1,0.7346609257265878
Trend,%bugs,0.96
Trend,%effort,0.4722222222222222
Trend,F1,0.6330488750969744
Trend,%bugs,0.926829268292683
Trend,%effort,0.4939393939393939
Trend,F1,0.6444363522863236
Trend,%bugs,0.8372093023255814
Trend,%effort,0.4593023255813954
Trend,F1,0.5931796850557931
Trend,%bugs,0.6666666666666666
Trend,%effort,0.7280701754385965
Trend,F1,0.6960167714884696
Trend,%bugs,1.0
Trend,%effort,0.4037854889589906
Trend,F1,0.5752808988764045
Trend,%bugs,0.9354838709677419
Trend,%effort,0.49236641221374045
Trend,F1,0.645166853496594
Trend,%bugs,0.7631578947368421
Trend,%effort,0.7254901960784313
Trend,F1,0.7438474870017331
Trend,%bugs,0.75
Trend,%effort,0.6677966101694915
Trend,F1,0.7065152420800958
Trend,%bugs,0.8620689655172413
Trend,%effort,0.634819532908705
Trend,F1,0.7311943656460922
Trend,%bugs,0.7708333333333334
Trend,%effort,0.6713286713286714
Trend,F1,0.7176482472977068
Trend,%bugs,0.7407407407407407
Trend,%effort,0.7268518518518519
Trend,F1,0.7337305760018694
Trend,%bugs,0.7192982456140351
Trend,%effort,0.7667386609071274
Trend,F1,0.7422612065888112
Trend,%bugs,1.0
Trend,%effort,0.3465346534653465
Trend,F1,0.5147058823529412
Trend,%bugs,1.0
Trend,%effort,0.32432432432432434
Trend,F1,0.489795918367347
Trend,%bugs,0.86
Trend,%effort,0.6584158415841583
Trend,F1,0.7458268127282212
Trend,%bugs,0.8627450980392157
Trend,%effort,0.625
Trend,F1,0.7248764415156508
Trend,%bugs,0.8809523809523809
Trend,%effort,0.6253687315634218
Trend,F1,0.7314775959341632
Trend,%bugs,0.8809523809523809
Trend,%effort,0.6253687315634218
Trend,F1,0.7314775959341632
Trend,%bugs,0.9411764705882353
Trend,%effort,0.45229681978798586
Trend,F1,0.6109785202863962
Trend,%bugs,0.9444444444444444
Trend,%effort,0.4444444444444444
Trend,F1,0.6044444444444445
Trend,%bugs,0.8571428571428571
Trend,%effort,0.5533980582524272
Trend,F1,0.672566371681416
Trend,%bugs,0.8571428571428571
Trend,%effort,0.5533980582524272
Trend,F1,0.672566371681416
Trend,%bugs,0.5151515151515151
Trend,%effort,0.8583959899749374
Trend,F1,0.6438859860108926
Trend,%bugs,0.4117647058823529
Trend,%effort,0.8585526315789473
Trend,F1,0.5565879664889566
Trend,%bugs,0.3333333333333333
Trend,%effort,0.8911392405063291
Trend,F1,0.4851826326671261
Trend,%bugs,0.6226415094339622
Trend,%effort,0.7582159624413145
Trend,F1,0.6837732944157551
Trend,%bugs,0.6226415094339622
Trend,%effort,0.7582159624413145
Trend,F1,0.6837732944157551
Trend,%bugs,0.8461538461538461
Trend,%effort,0.6276923076923078
Trend,F1,0.7207322948450298
Trend,%bugs,0.8461538461538461
Trend,%effort,0.6276923076923078
Trend,F1,0.7207322948450298
Trend,%bugs,0.8928571428571429
Trend,%effort,0.360655737704918
Trend,F1,0.5137786081270435
Trend,%bugs,0.8928571428571429
Trend,%effort,0.360655737704918
Trend,F1,0.5137786081270435
Trend,%bugs,0.8518518518518519
Trend,%effort,0.5668202764976958
Trend,F1,0.6807025986525505
Trend,%bugs,0.8518518518518519
Trend,%effort,0.5668202764976958
Trend,F1,0.6807025986525505
Trend,%bugs,0.8695652173913043
