project,bugsDetected,totalBugs,percentBugsDetected,reportsSubmit,totalReports,percentReportsSubmit,percentSavedEffort,F1,E1,optimalReportsSubmit,differenceWithOptimal
1-284-百度手机卫士功能体验_1463737109.csv,12.0,36.0,0.3333333333333333,33.0,284.0,0.11619718309859155,0.8838028169014085,0.4840887174541948,0.4840887174541948,178.0,-145.0,
101-120-今日时尚测试_1463737561.csv,12.0,17.0,0.7058823529411765,48.0,120.0,0.4,0.6,0.6486486486486486,0.6486486486486486,73.0,-25.0,
102-223-迪信通测试_1463737571.csv,6.0,27.0,0.2222222222222222,24.0,223.0,0.10762331838565023,0.8923766816143498,0.35583370585605717,0.35583370585605717,122.0,-98.0,
106-103-基金速览2.3测试_1463737575.csv,11.0,14.0,0.7857142857142857,36.0,103.0,0.34951456310679613,0.6504854368932038,0.7117334620956058,0.7117334620956058,67.0,-31.0,
107-174-硬件编码测试_1463737567.csv,19.0,24.0,0.7916666666666666,57.0,174.0,0.3275862068965517,0.6724137931034483,0.7271835132482827,0.7271835132482827,99.0,-42.0,
108-272-优优送药测试_1463737584.csv,34.0,34.0,1.0,270.0,272.0,0.9926470588235294,0.007352941176470562,0.01459854014598535,0.01459854014598535,213.0,57.0,
11-117-广告云推送调研测试_1463737325.csv,4.0,9.0,0.4444444444444444,33.0,117.0,0.28205128205128205,0.717948717948718,0.5490196078431373,0.5490196078431373,94.0,-61.0,
111-241-迪信通测试二_1463737590.csv,26.0,30.0,0.8666666666666667,141.0,241.0,0.5850622406639004,0.41493775933609955,0.5611914526224909,0.5611914526224909,158.0,-17.0,
112-119-思维简图测试_1463737602.csv,15.0,16.0,0.9375,72.0,119.0,0.6050420168067226,0.39495798319327735,0.5557745368545527,0.5557745368545527,75.0,-3.0,
113-177-Hark测试_1463737599.csv,12.0,24.0,0.5,54.0,177.0,0.3050847457627119,0.6949152542372881,0.5815602836879432,0.5815602836879432,132.0,-78.0,
114-119-京东微联测试_1463737617.csv,11.0,17.0,0.6470588235294118,54.0,119.0,0.453781512605042,0.546218487394958,0.5923777961888981,0.5923777961888981,94.0,-40.0,
115-157-天天红包测试_1463737606.csv,16.0,17.0,0.9411764705882353,96.0,157.0,0.6114649681528662,0.3885350318471338,0.550014088475627,0.550014088475627,122.0,-26.0,
119-337-急救快通测试_1463737643.csv,38.0,42.0,0.9047619047619048,177.0,337.0,0.5252225519287834,0.4747774480712166,0.6227593977261088,0.6227593977261088,288.0,-111.0,
