project,bugsDetected,totalBugs,percentBugsDetected,reportsSubmit,totalReports,percentReportsSubmit,percentSavedEffort,F1,E1,optimalReportsSubmit,differenceWithOptimal
1-284-百度手机卫士功能体验_1463737109.csv,32.0,36.0,0.8888888888888888,135.0,284.0,0.4753521126760563,0.5246478873239437,0.659839468585663,0.659839468585663,178.0,-43.0,
101-120-今日时尚测试_1463737561.csv,17.0,17.0,1.0,90.0,120.0,0.75,0.25,0.4,0.4,73.0,17.0,
102-223-迪信通测试_1463737571.csv,11.0,27.0,0.4074074074074074,63.0,223.0,0.2825112107623318,0.7174887892376682,0.5197106156799055,0.5197106156799055,122.0,-59.0,
106-103-基金速览2.3测试_1463737575.csv,13.0,14.0,0.9285714285714286,90.0,103.0,0.8737864077669902,0.12621359223300976,0.2222222222222223,0.2222222222222223,67.0,23.0,
107-174-硬件编码测试_1463737567.csv,24.0,24.0,1.0,135.0,174.0,0.7758620689655172,0.22413793103448276,0.36619718309859156,0.36619718309859156,99.0,36.0,
108-272-优优送药测试_1463737584.csv,28.0,34.0,0.8235294117647058,135.0,272.0,0.4963235294117647,0.5036764705882353,0.6250611047743196,0.6250611047743196,213.0,-78.0,
11-117-广告云推送调研测试_1463737325.csv,8.0,9.0,0.8888888888888888,108.0,117.0,0.9230769230769231,0.07692307692307687,0.14159292035398222,0.14159292035398222,94.0,14.0,
111-241-迪信通测试二_1463737590.csv,27.0,30.0,0.9,117.0,241.0,0.4854771784232365,0.5145228215767634,0.654737459665591,0.654737459665591,158.0,-41.0,
112-119-思维简图测试_1463737602.csv,13.0,16.0,0.8125,90.0,119.0,0.7563025210084033,0.24369747899159666,0.37493784186971657,0.37493784186971657,75.0,15.0,
113-177-Hark测试_1463737599.csv,10.0,24.0,0.4166666666666667,63.0,177.0,0.3559322033898305,0.6440677966101696,0.5059920106524634,0.5059920106524634,132.0,-69.0,
