project,bugsDetected,totalBugs,percentBugsDetected,reportsSubmit,totalReports,percentReportsSubmit,percentSavedEffort,F1,E1,optimalReportsSubmit,differenceWithOptimal
1-284-百度手机卫士功能体验_1463737109.csv,36.0,36.0,1.0,225.0,284.0,0.7922535211267606,0.20774647887323938,0.34402332361516025,0.34402332361516025,178.0,47.0,
101-120-今日时尚测试_1463737561.csv,17.0,17.0,1.0,90.0,120.0,0.75,0.25,0.4,0.4,73.0,17.0,
102-223-迪信通测试_1463737571.csv,25.0,27.0,0.9259259259259259,144.0,223.0,0.6457399103139013,0.3542600896860987,0.5124545926310328,0.5124545926310328,122.0,22.0,
106-103-基金速览2.3测试_1463737575.csv,14.0,14.0,1.0,75.0,103.0,0.7281553398058253,0.27184466019417475,0.4274809160305344,0.4274809160305344,67.0,8.0,
107-174-硬件编码测试_1463737567.csv,21.0,24.0,0.875,93.0,174.0,0.5344827586206896,0.4655172413793104,0.607717041800643,0.607717041800643,99.0,-6.0,
108-272-优优送药测试_1463737584.csv,34.0,34.0,1.0,270.0,272.0,0.9926470588235294,0.007352941176470562,0.01459854014598535,0.01459854014598535,213.0,57.0,
11-117-广告云推送调研测试_1463737325.csv,4.0,9.0,0.4444444444444444,39.0,117.0,0.3333333333333333,0.6666666666666667,0.5333333333333333,0.5333333333333333,94.0,-55.0,
111-241-迪信通测试二_1463737590.csv,26.0,30.0,0.8666666666666667,144.0,241.0,0.5975103734439834,0.4024896265560166,0.5496948561464692,0.5496948561464692,158.0,-14.0,
112-119-思维简图测试_1463737602.csv,16.0,16.0,1.0,111.0,119.0,0.9327731092436975,0.0672268907563025,0.1259842519685039,0.1259842519685039,75.0,36.0,
113-177-Hark测试_1463737599.csv,24.0,24.0,1.0,174.0,177.0,0.9830508474576272,0.016949152542372836,0.03333333333333324,0.03333333333333324,132.0,42.0,
114-119-京东微联测试_1463737617.csv,17.0,17.0,1.0,117.0,119.0,0.9831932773109243,0.01680672268907568,0.033057851239669526,0.033057851239669526,94.0,23.0,
115-157-天天红包测试_1463737606.csv,16.0,17.0,0.9411764705882353,99.0,157.0,0.6305732484076433,0.3694267515923567,0.5305889079473985,0.5305889079473985,122.0,-23.0,
119-337-急救快通测试_1463737643.csv,40.0,42.0,0.9523809523809523,258.0,337.0,0.7655786350148368,0.2344213649851632,0.3762352661031075,0.3762352661031075,288.0,-30.0,
122-138-购物狂测试_1463737645.csv,16.0,18.0,0.8888888888888888,93.0,138.0,0.6739130434782609,0.32608695652173914,0.47713717693836977,0.47713717693836977,100.0,-7.0,
123-115-移动发布系统Beta测试_1463737586.csv,2.0,5.0,0.4,54.0,115.0,0.46956521739130436,0.5304347826086957,0.4560747663551402,0.4560747663551402,84.0,-30.0,
124-326-衣批测试_1463737628.csv,40.0,40.0,1.0,276.0,326.0,0.8466257668711656,0.15337423312883436,0.26595744680851063,0.26595744680851063,238.0,38.0,
125-117-话费支付Demo测试_1463737673.csv,16.0,16.0,1.0,78.0,117.0,0.6666666666666666,0.33333333333333337,0.5,0.5,70.0,8.0,
127-271-365淘房测试_1463737634.csv,28.0,32.0,0.875,177.0,271.0,0.6531365313653137,0.3468634686346863,0.49679124197810487,0.49679124197810487,235.0,-58.0,
128-115-蛋蛋赚测试_1463737676.csv,13.0,14.0,0.9285714285714286,87.0,115.0,0.7565217391304347,0.24347826086956526,0.38579756226815054,0.38579756226815054,102.0,-15.0,
130-136-终极手电筒测试_1463737660.csv,18.0,19.0,0.9473684210526315,93.0,136.0,0.6838235294117647,0.3161764705882353,0.4741194486983154,0.4741194486983154,107.0,-14.0,
