rank,index,type,%bugs,%effort,F1,y=0.9,y=0.3,
1,21,3,0.5714285714285714,0.8122610722610724,0.5635853563237592,0.9,0.3,
2,27,4,0.8148148148148148,0.6640625,0.5765971316818774,0.9,0.3,
3,28,5,0.8994949494949496,0.5371428571428571,0.5765971316818774,0.9,0.3,
4,29,6,0.9718253968253968,0.35099722531837696,0.4604886711899237,0.9,0.3,
5,1,10,1.0,0.0,0.0,0.9,0.3,
6,2,11,1.0,0.0,0.0,0.9,0.3,
7,3,12,1.0,0.0,0.0,0.9,0.3,
8,4,13,1.0,0.0,0.0,0.9,0.3,
9,5,14,1.0,0.0,0.0,0.9,0.3,
10,6,15,1.0,0.0,0.0,0.9,0.3,
11,7,16,1.0,0.0,0.0,0.9,0.3,
12,8,17,1.0,0.0,0.0,0.9,0.3,
13,9,18,1.0,0.0,0.0,0.9,0.3,
14,10,19,1.0,0.0,0.0,0.9,0.3,
15,11,20,1.0,0.0,0.0,0.9,0.3,
16,12,21,1.0,0.0,0.0,0.9,0.3,
17,13,22,1.0,0.0,0.0,0.9,0.3,
18,14,23,1.0,0.0,0.0,0.9,0.3,
19,15,24,1.0,0.0,0.0,0.9,0.3,
20,16,25,1.0,0.0,0.0,0.9,0.3,
21,17,26,1.0,0.0,0.0,0.9,0.3,
22,18,27,1.0,0.0,0.0,0.9,0.3,
23,19,28,1.0,0.0,0.0,0.9,0.3,
24,20,29,1.0,0.0,0.0,0.9,0.3,
25,22,30,1.0,0.0,0.0,0.9,0.3,
26,23,31,1.0,0.0,0.0,0.9,0.3,
27,24,32,1.0,0.0,0.0,0.9,0.3,
28,25,33,1.0,0.0,0.0,0.9,0.3,
29,26,34,1.0,0.0,0.0,0.9,0.3,
30,30,7,1.0,0.20662501626968632,0.30634071810542396,0.9,0.3,
31,31,8,1.0,0.08418109808185137,0.1552589852008457,0.9,0.3,
32,32,9,1.0,0.0,0.0,0.9,0.3,
