rank,index,type,%bugs,%effort,F1,y=0.9,y=0.3,
1,5,3-1,0.4298029556650246,0.8608247422680413,0.53691450755338,0.9,0.3,
2,9,4-1,0.6666666666666666,0.7647058823529411,0.6468716682093393,0.9,0.3,
3,6,3-2,0.6923076923076923,0.7533130493576741,0.6418999008001585,0.9,0.3,
4,13,5-1,0.7647058823529411,0.6851274547228231,0.6472916208782744,0.9,0.3,
5,7,3-3,0.8060035842293907,0.6486089939024391,0.6439864581879101,0.9,0.3,
6,10,4-2,0.8148148148148148,0.6427942623375279,0.6507560072777463,0.9,0.3,
7,17,6-1,0.8198051948051948,0.625,0.6450920310445736,0.9,0.3,
8,8,3-4,0.8571428571428571,0.5852534562211982,0.6347438752783965,0.9,0.3,
9,21,7-1,0.8628526645768024,0.5716369004752988,0.6293191748478195,0.9,0.3,
10,14,5-2,0.8651515151515152,0.5501245330012453,0.6195282117306646,0.9,0.3,
11,11,4-3,0.875,0.5308451308451309,0.6222021561883779,0.9,0.3,
12,25,8-1,0.9,0.49469925231558975,0.6037607621973378,0.9,0.3,
13,18,6-2,0.9194594594594595,0.47322451317296677,0.5919583023082651,0.9,0.3,
14,12,4-4,0.9254629629629629,0.4528912922321469,0.5719098620561959,0.9,0.3,
15,15,5-3,0.9285714285714286,0.44978399371618083,0.5710595407288319,0.9,0.3,
16,29,9-1,0.9285714285714286,0.4586466165413534,0.5604220341062447,0.9,0.3,
17,1,10-1,0.9444444444444444,0.41299532365247354,0.5514709977167315,0.9,0.3,
18,22,7-2,0.9444444444444444,0.4077342047930283,0.5382020541192245,0.9,0.3,
19,19,6-3,0.9607692307692308,0.3535539215686274,0.5100201360795928,0.9,0.3,
20,16,5-4,0.967741935483871,0.34328376521397724,0.49149828684876234,0.9,0.3,
21,26,8-2,0.9705882352941176,0.3311827956989247,0.483578937909965,0.9,0.3,
22,2,10-2,1.0,0.21025960863802912,0.3426737831998983,0.9,0.3,
23,3,10-3,1.0,0.0886017535763729,0.162772585669782,0.9,0.3,
24,4,10-4,1.0,0.05660377358490565,0.10714285714285712,0.9,0.3,
25,20,6-4,1.0,0.22935520361990946,0.3709677419354838,0.9,0.3,
26,23,7-3,1.0,0.2584171826625387,0.3991311771795901,0.9,0.3,
27,24,7-4,1.0,0.17077258906993065,0.2911870375374902,0.9,0.3,
28,27,8-3,1.0,0.189873417721519,0.3191489361702127,0.9,0.3,
29,28,8-4,1.0,0.09196617336152224,0.16843971631205681,0.9,0.3,
30,30,9-2,1.0,0.28642149929278643,0.4289821736630247,0.9,0.3,
31,31,9-3,1.0,0.13853073463268367,0.24148003894839346,0.9,0.3,
32,32,9-4,1.0,0.06750162654521796,0.12646303168712533,0.9,0.3,
