rank,index,type,%bugs,%effort,F1,y=0.9,y=0.3,
1,5,3-1,0.13636363636363635,0.9228287841191067,0.23472799960935578,0.9,0.3,
2,9,4-1,0.16869918699186992,0.8971050454921423,0.2837846184235206,0.9,0.3,
3,13,5-1,0.21428571428571427,0.8734177215189873,0.34197262411283924,0.9,0.3,
4,17,6-1,0.25,0.8476175118922842,0.38358486143416093,0.9,0.3,
5,21,7-1,0.290994623655914,0.8222204305409981,0.4286620164870007,0.9,0.3,
6,25,8-1,0.3333333333333333,0.7974683544303798,0.4609746811345897,0.9,0.3,
7,29,9-1,0.3550420168067227,0.7749912105941639,0.4836102915654286,0.9,0.3,
8,1,10-1,0.39642857142857146,0.7560159184736117,0.5168878199659876,0.9,0.3,
9,7,3-3,0.4148550724637681,0.8095218898653551,0.5333333333333333,0.9,0.3,
10,6,3-2,0.42857142857142855,0.8155870445344129,0.5441954607700464,0.9,0.3,
11,10,4-2,0.5157715260017051,0.7661938061938063,0.5725366747194867,0.9,0.3,
12,11,4-3,0.5180645161290323,0.7378179762577727,0.5688748048872383,0.9,0.3,
13,15,5-3,0.6162029459901801,0.6747427812811151,0.5843671208465534,0.9,0.3,
14,14,5-2,0.6666666666666666,0.6885775862068966,0.6255802569166624,0.9,0.3,
15,18,6-2,0.6828571428571428,0.6389655172413793,0.5928250822642067,0.9,0.3,
16,19,6-3,0.6961538461538461,0.5835741811175337,0.5930211606955793,0.9,0.3,
17,23,7-3,0.7343137254901961,0.5402773630602834,0.5719555120417642,0.9,0.3,
18,22,7-2,0.7752525252525253,0.5701754385964912,0.593006231527319,0.9,0.3,
19,8,3-4,0.7795138888888888,0.5818369149249337,0.5872390425117107,0.9,0.3,
20,26,8-2,0.8,0.5034246575342466,0.5798259230996592,0.9,0.3,
21,27,8-3,0.8095238095238095,0.474315479250197,0.5363593661386583,0.9,0.3,
22,12,4-4,0.8110119047619048,0.5106029106029106,0.5758343119984342,0.9,0.3,
23,30,9-2,0.8125,0.4753640776699029,0.5684232583525008,0.9,0.3,
24,31,9-3,0.8248081841432224,0.3838299296953465,0.4760000000000001,0.9,0.3,
25,2,10-2,0.8333333333333334,0.4117647058823529,0.5153876464196587,0.9,0.3,
26,3,10-3,0.8461538461538461,0.3548387096774194,0.46807585719719613,0.9,0.3,
27,16,5-4,0.8888888888888888,0.3861713379164463,0.5216880974028162,0.9,0.3,
28,20,6-4,0.9076704545454546,0.2941176470588235,0.4126971791131623,0.9,0.3,
29,24,7-4,0.9375,0.17146162987053598,0.2656612012119051,0.9,0.3,
30,28,8-4,0.9411764705882353,0.11111111111111116,0.19877170348868467,0.9,0.3,
31,4,10-4,0.9444444444444444,0.05728739403882965,0.10799319727891159,0.9,0.3,
32,32,9-4,0.9444444444444444,0.07692307692307687,0.14103825136612014,0.9,0.3,
