rank,index,type,%bugs,%effort,F1,y=0.9,y=0.3,
1,5,3-1,0.8441295546558705,0.5384615384615384,0.43906004500641715,0.9,0.3,
2,9,4-1,0.8708333333333333,0.5155375410152481,0.49650409001260953,0.9,0.3,
3,13,5-1,0.8846153846153846,0.46153846153846156,0.5077410165189391,0.9,0.3,
4,17,6-1,0.9245014245014245,0.42352357320099254,0.4997661365762395,0.9,0.3,
5,21,7-1,0.9272486772486772,0.38795864880605707,0.45594621340008146,0.9,0.3,
6,6,3-2,0.9333333333333333,0.42330561330561334,0.4987492639265104,0.9,0.3,
7,25,8-1,0.9428104575163399,0.3619105939987753,0.4661197143544893,0.9,0.3,
8,29,9-1,0.9444444444444444,0.3038461538461539,0.42920553933272987,0.9,0.3,
9,7,3-3,0.9523809523809523,0.3459759292615032,0.44751157977947453,0.9,0.3,
10,10,4-2,0.9523809523809523,0.34811427515647014,0.4631578947368421,0.9,0.3,
11,1,10-1,0.9615384615384616,0.23076923076923073,0.3639122315592904,0.9,0.3,
12,11,4-3,0.967741935483871,0.2503224617652478,0.37715517241379304,0.9,0.3,
13,14,5-2,0.967741935483871,0.2547726483859771,0.38914987262592377,0.9,0.3,
14,15,5-3,0.96875,0.1979020979020979,0.3069152753517217,0.9,0.3,
15,4,10-4,0.9692234848484849,0.029126213592232997,0.05656899043849951,0.9,0.3,
16,32,9-4,0.9811320754716981,0.034022323274080224,0.06580575317043,0.9,0.3,
17,2,10-2,1.0,0.05820628646715603,0.11000924447432556,0.9,0.3,
18,3,10-3,1.0,0.04347826086956519,0.08321791320406273,0.9,0.3,
19,8,3-4,1.0,0.19599999999999995,0.3181818181818181,0.9,0.3,
20,12,4-4,1.0,0.11137852246763136,0.18907980259990365,0.9,0.3,
21,16,5-4,1.0,0.039230769230769236,0.0754985754985755,0.9,0.3,
22,18,6-2,1.0,0.22138773388773386,0.31924715909090906,0.9,0.3,
23,19,6-3,1.0,0.12850853054485417,0.21249999999999997,0.9,0.3,
24,20,6-4,1.0,0.03816793893129766,0.07352941176470579,0.9,0.3,
25,22,7-2,1.0,0.1717557251908397,0.2714316633177192,0.9,0.3,
26,23,7-3,1.0,0.06488549618320616,0.12186379928315422,0.9,0.3,
27,24,7-4,1.0,0.03076923076923077,0.05966441086493002,0.9,0.3,
28,26,8-2,1.0,0.11991199119911994,0.20289582549830767,0.9,0.3,
29,27,8-3,1.0,0.05882352941176472,0.11091887735486353,0.9,0.3,
30,28,8-4,1.0,0.03240810202550637,0.06278153153153151,0.9,0.3,
31,30,9-2,1.0,0.0758447160316319,0.14036167756829546,0.9,0.3,
32,31,9-3,1.0,0.047567873303167474,0.09081537985774671,0.9,0.3,
