project,bugsDetected,totalBugs,percentBugsDetected,reportsSubmit,totalReports,percentReportsSubmit,percentSavedEffort,F1,E1,optimalReportsSubmit,differenceWithOptimal,
1-284-百度手机卫士功能体验_1463737109.csv,34.0,36.0,0.9444444444444444,136.0,284.0,0.4788732394366197,0.5211267605633803,0.6716497597437265,0.6716497597437265,178.0,-42.0,
3-145-手机卫士短信功能_1463737156.csv,20.0,20.0,1.0,96.0,145.0,0.6620689655172414,0.33793103448275863,0.5051546391752577,0.5051546391752577,73.0,23.0,
4-399-百度浏览器T7尝鲜版第二轮测试来袭_1463737217.csv,9.0,47.0,0.19148936170212766,24.0,399.0,0.06015037593984962,0.9398496240601504,0.3181561085972851,0.3181561085972851,317.0,-293.0,
7-127-百度手机卫士安全短信功能测试_1463737282.csv,18.0,18.0,1.0,88.0,127.0,0.6929133858267716,0.30708661417322836,0.4698795180722892,0.4698795180722892,69.0,19.0,
65-111-夺宝猫测试_1463737499.csv,5.0,15.0,0.3333333333333333,24.0,111.0,0.21621621621621623,0.7837837837837838,0.467741935483871,0.467741935483871,69.0,-45.0,
72-213-花友测试_1463737504.csv,24.0,26.0,0.9230769230769231,88.0,213.0,0.4131455399061033,0.5868544600938967,0.7175316909830185,0.7175316909830185,104.0,-16.0,
74-230-通星粉测试_1463737520.csv,8.0,27.0,0.2962962962962963,24.0,230.0,0.10434782608695652,0.8956521739130435,0.4452850580924074,0.4452850580924074,157.0,-133.0,
76-113-查快递测试_1463737513.csv,16.0,16.0,1.0,64.0,113.0,0.5663716814159292,0.4336283185840708,0.6049382716049383,0.6049382716049383,42.0,22.0,
83-132-茄子医生测试_1463737528.csv,11.0,18.0,0.6111111111111112,64.0,132.0,0.48484848484848486,0.5151515151515151,0.5590433482810164,0.5590433482810164,108.0,-44.0,
87-123-听世界听书测试_1463737540.csv,17.0,17.0,1.0,96.0,123.0,0.7804878048780488,0.2195121951219512,0.36,0.36,76.0,20.0,
101-120-今日时尚测试_1463737561.csv,17.0,17.0,1.0,96.0,120.0,0.8,0.19999999999999996,0.33333333333333326,0.33333333333333326,73.0,23.0,
102-223-迪信通测试_1463737571.csv,23.0,27.0,0.8518518518518519,88.0,223.0,0.39461883408071746,0.6053811659192825,0.707772965580123,0.707772965580123,122.0,-34.0,
107-174-硬件编码测试_1463737567.csv,23.0,24.0,0.9583333333333334,88.0,174.0,0.5057471264367817,0.49425287356321834,0.6521595779756016,0.6521595779756016,99.0,-11.0,
108-272-优优送药测试_1463737584.csv,23.0,34.0,0.6764705882352942,104.0,272.0,0.38235294117647056,0.6176470588235294,0.6457219251336899,0.6457219251336899,213.0,-109.0,
112-119-思维简图测试_1463737602.csv,16.0,16.0,1.0,96.0,119.0,0.8067226890756303,0.19327731092436973,0.32394366197183094,0.32394366197183094,75.0,21.0,
125-117-话费支付Demo测试_1463737673.csv,15.0,16.0,0.9375,56.0,117.0,0.47863247863247865,0.5213675213675213,0.6700842182350787,0.6700842182350787,70.0,-14.0,
133-141-幻径测试_1463737686.csv,20.0,20.0,1.0,88.0,141.0,0.624113475177305,0.375886524822695,0.5463917525773195,0.5463917525773195,69.0,19.0,
135-243-星联app测试_1463737684.csv,25.0,30.0,0.8333333333333334,120.0,243.0,0.49382716049382713,0.5061728395061729,0.629800307219662,0.629800307219662,151.0,-31.0,
141-173-聚创测试_1463737689.csv,12.0,23.0,0.5217391304347826,40.0,173.0,0.23121387283236994,0.7687861271676301,0.6216163583252191,0.6216163583252191,140.0,-100.0,
142-130-hjdn测试_1463737703.csv,17.0,18.0,0.9444444444444444,72.0,130.0,0.5538461538461539,0.4461538461538461,0.6060233558696988,0.6060233558696988,75.0,-3.0,
145-155-手电筒测试_1463737698.csv,22.0,22.0,1.0,96.0,155.0,0.6193548387096774,0.38064516129032255,0.5514018691588785,0.5514018691588785,73.0,23.0,
149-121-喜马拉雅FM测试_1463737711.csv,9.0,17.0,0.5294117647058824,32.0,121.0,0.2644628099173554,0.7355371900826446,0.6156802459646427,0.6156802459646427,79.0,-47.0,
151-332-道道云驾校测试_1463737724.csv,38.0,41.0,0.926829268292683,192.0,332.0,0.5783132530120482,0.42168674698795183,0.5796469819132709,0.5796469819132709,224.0,-32.0,
159-158-基金曲线速览测试_1463737717.csv,16.0,21.0,0.7619047619047619,56.0,158.0,0.35443037974683544,0.6455696202531646,0.6989293361884369,0.6989293361884369,93.0,-37.0,
175-167-赛果不倒蛋测试_1463737842.csv,22.0,22.0,1.0,136.0,167.0,0.8143712574850299,0.18562874251497008,0.31313131313131315,0.31313131313131315,120.0,16.0,
