project,bugsDetected,totalBugs,percentBugsDetected,reportsSubmit,totalReports,percentReportsSubmit,percentSavedEffort,F1,E1,optimalReportsSubmit,differenceWithOptimal,
1-284-百度手机卫士功能体验_1463737109.csv,35.0,36.0,0.9722222222222222,230.0,284.0,0.8098591549295775,0.1901408450704225,0.31807472231571854,0.31807472231571854,178.0,52.0,
3-145-手机卫士短信功能_1463737156.csv,20.0,20.0,1.0,140.0,145.0,0.9655172413793104,0.03448275862068961,0.0666666666666666,0.0666666666666666,73.0,67.0,
4-399-百度浏览器T7尝鲜版第二轮测试来袭_1463737217.csv,40.0,47.0,0.851063829787234,260.0,399.0,0.6516290726817042,0.3483709273182958,0.49437602809763037,0.49437602809763037,317.0,-57.0,
7-127-百度手机卫士安全短信功能测试_1463737282.csv,17.0,18.0,0.9444444444444444,120.0,127.0,0.9448818897637795,0.055118110236220486,0.10415754923413569,0.10415754923413569,69.0,51.0,
65-111-夺宝猫测试_1463737499.csv,14.0,15.0,0.9333333333333333,110.0,111.0,0.990990990990991,0.009009009009009028,0.017845761631612528,0.017845761631612528,69.0,41.0,
72-213-花友测试_1463737504.csv,26.0,26.0,1.0,190.0,213.0,0.892018779342723,0.107981220657277,0.19491525423728814,0.19491525423728814,104.0,86.0,
74-230-通星粉测试_1463737520.csv,20.0,27.0,0.7407407407407407,130.0,230.0,0.5652173913043478,0.4347826086956522,0.5479452054794521,0.5479452054794521,157.0,-27.0,
76-113-查快递测试_1463737513.csv,16.0,16.0,1.0,110.0,113.0,0.9734513274336283,0.026548672566371723,0.05172413793103456,0.05172413793103456,42.0,68.0,
83-132-茄子医生测试_1463737528.csv,16.0,18.0,0.8888888888888888,130.0,132.0,0.9848484848484849,0.015151515151515138,0.029795158286778374,0.029795158286778374,108.0,22.0,
87-123-听世界听书测试_1463737540.csv,16.0,17.0,0.9411764705882353,120.0,123.0,0.975609756097561,0.024390243902439046,0.04754829123328384,0.04754829123328384,76.0,44.0,
101-120-今日时尚测试_1463737561.csv,17.0,17.0,1.0,110.0,120.0,0.9166666666666666,0.08333333333333337,0.15384615384615388,0.15384615384615388,73.0,37.0,
102-223-迪信通测试_1463737571.csv,27.0,27.0,1.0,210.0,223.0,0.9417040358744395,0.058295964125560484,0.11016949152542363,0.11016949152542363,122.0,88.0,
107-174-硬件编码测试_1463737567.csv,24.0,24.0,1.0,140.0,174.0,0.8045977011494253,0.1954022988505747,0.3269230769230769,0.3269230769230769,99.0,41.0,
108-272-优优送药测试_1463737584.csv,31.0,34.0,0.9117647058823529,210.0,272.0,0.7720588235294118,0.2279411764705882,0.36470588235294116,0.36470588235294116,213.0,-3.0,
112-119-思维简图测试_1463737602.csv,13.0,16.0,0.8125,110.0,119.0,0.9243697478991597,0.07563025210084029,0.13837965700768767,0.13837965700768767,75.0,35.0,
125-117-话费支付Demo测试_1463737673.csv,15.0,16.0,0.9375,110.0,117.0,0.9401709401709402,0.05982905982905984,0.1124799143010177,0.1124799143010177,70.0,40.0,
133-141-幻径测试_1463737686.csv,19.0,20.0,0.95,140.0,141.0,0.9929078014184397,0.007092198581560294,0.014079288625416842,0.014079288625416842,69.0,71.0,
135-243-星联app测试_1463737684.csv,29.0,30.0,0.9666666666666667,230.0,243.0,0.9465020576131687,0.053497942386831254,0.10138496705660881,0.10138496705660881,151.0,79.0,
141-173-聚创测试_1463737689.csv,23.0,23.0,1.0,170.0,173.0,0.9826589595375722,0.017341040462427793,0.034090909090909186,0.034090909090909186,140.0,30.0,
142-130-hjdn测试_1463737703.csv,17.0,18.0,0.9444444444444444,120.0,130.0,0.9230769230769231,0.07692307692307687,0.14225941422594132,0.14225941422594132,75.0,45.0,
145-155-手电筒测试_1463737698.csv,22.0,22.0,1.0,150.0,155.0,0.967741935483871,0.032258064516129004,0.062499999999999944,0.062499999999999944,73.0,77.0,
149-121-喜马拉雅FM测试_1463737711.csv,16.0,17.0,0.9411764705882353,120.0,121.0,0.9917355371900827,0.008264462809917328,0.016385048643113104,0.016385048643113104,79.0,41.0,
151-332-道道云驾校测试_1463737724.csv,41.0,41.0,1.0,300.0,332.0,0.9036144578313253,0.09638554216867468,0.1758241758241758,0.1758241758241758,224.0,76.0,
159-158-基金曲线速览测试_1463737717.csv,20.0,21.0,0.9523809523809523,150.0,158.0,0.9493670886075949,0.05063291139240511,0.09615384615384624,0.09615384615384624,93.0,57.0,
175-167-赛果不倒蛋测试_1463737842.csv,21.0,22.0,0.9545454545454546,160.0,167.0,0.9580838323353293,0.041916167664670656,0.08030592734225621,0.08030592734225621,120.0,40.0,
179-117-金蛋理财测试_1463737851.csv,14.0,16.0,0.875,110.0,117.0,0.9401709401709402,0.05982905982905984,0.11200000000000002,0.11200000000000002,56.0,54.0,
183-124-喜马拉雅FM测试_1463737863.csv,14.0,17.0,0.8235294117647058,120.0,124.0,0.967741935483871,0.032258064516129004,0.062084257206208374,0.062084257206208374,78.0,42.0,
184-158-叮叮搭车测试_1463737804.csv,21.0,22.0,0.9545454545454546,150.0,158.0,0.9493670886075949,0.05063291139240511,0.0961648540354895,0.0961648540354895,91.0,59.0,
187-289-鸟人测试_1463737869.csv,30.0,35.0,0.8571428571428571,260.0,289.0,0.8996539792387543,0.10034602076124566,0.17965926690758904,0.17965926690758904,220.0,40.0,
190-330-掌上PC板测试_1463737880.csv,40.0,41.0,0.975609756097561,260.0,330.0,0.7878787878787878,0.21212121212121215,0.34847542003733667,0.34847542003733667,234.0,26.0,
192-344-滔滔雅思口语测试_1463737898.csv,42.0,43.0,0.9767441860465116,320.0,344.0,0.9302325581395349,0.06976744186046513,0.13023255813953488,0.13023255813953488,265.0,55.0,
193-114-百度图片App4.1.3.1测试_1463737882.csv,2.0,3.0,0.6666666666666666,100.0,114.0,0.8771929824561403,0.1228070175438597,0.20740740740740746,0.20740740740740746,40.0,60.0,
194-317-竹兜育儿测试_1463737902.csv,36.0,37.0,0.972972972972973,260.0,317.0,0.8201892744479495,0.17981072555205047,0.3035278455735522,0.3035278455735522,170.0,90.0,
196-262-小Q科普测试_1463737916.csv,29.0,31.0,0.9354838709677419,160.0,262.0,0.6106870229007634,0.3893129770992366,0.549814126394052,0.549814126394052,144.0,16.0,
197-306-影视论坛Ai测试_1463737921.csv,36.0,38.0,0.9473684210526315,220.0,306.0,0.7189542483660131,0.28104575163398693,0.433492019042285,0.433492019042285,171.0,49.0,
202-432-无线襄阳测试_1463737927.csv,52.0,54.0,0.9629629629629629,300.0,432.0,0.6944444444444444,0.3055555555555556,0.4639091646390916,0.4639091646390916,270.0,30.0,
203-463-自由理财师测试_1463737936.csv,57.0,57.0,1.0,410.0,463.0,0.8855291576673866,0.1144708423326134,0.20542635658914732,0.20542635658914732,376.0,34.0,
204-101-文件管理测试_1463737945.csv,14.0,14.0,1.0,100.0,101.0,0.9900990099009901,0.00990099009900991,0.01960784313725492,0.01960784313725492,47.0,53.0,
205-111-bug文件管理测试_1470654534.csv,15.0,15.0,1.0,110.0,111.0,0.990990990990991,0.009009009009009028,0.017857142857142898,0.017857142857142898,56.0,54.0,
213-416-bug经常直播内测版测试_1470654528.csv,50.0,51.0,0.9803921568627451,230.0,416.0,0.5528846153846154,0.4471153846153846,0.6141451495740605,0.6141451495740605,204.0,26.0,
214-339-bug秀色测试_1470654525.csv,41.0,42.0,0.9761904761904762,270.0,339.0,0.7964601769911505,0.20353982300884954,0.3368458653330952,0.3368458653330952,226.0,44.0,
215-339-秀色测试_1463737968.csv,41.0,42.0,0.9761904761904762,270.0,339.0,0.7964601769911505,0.20353982300884954,0.3368458653330952,0.3368458653330952,226.0,44.0,
224-426-智慧教育测试_1463737994.csv,50.0,53.0,0.9433962264150944,350.0,426.0,0.8215962441314554,0.17840375586854462,0.3000631711939356,0.3000631711939356,339.0,11.0,
225-426-bug智慧教育测试_1470654514.csv,50.0,53.0,0.9433962264150944,350.0,426.0,0.8215962441314554,0.17840375586854462,0.3000631711939356,0.3000631711939356,339.0,11.0,
228-244-小饭桌测试_1463737976.csv,26.0,28.0,0.9285714285714286,210.0,244.0,0.860655737704918,0.139344262295082,0.2423245614035088,0.2423245614035088,189.0,21.0,
229-244-bug小饭桌测试_1470654522.csv,26.0,28.0,0.9285714285714286,210.0,244.0,0.860655737704918,0.139344262295082,0.2423245614035088,0.2423245614035088,189.0,21.0,
234-175-bugJiuJiu测试_1470654480.csv,22.0,23.0,0.9565217391304348,170.0,175.0,0.9714285714285714,0.02857142857142858,0.055485498108448945,0.055485498108448945,121.0,49.0,
235-175-JiuJiu测试_1463738027.csv,22.0,23.0,0.9565217391304348,170.0,175.0,0.9714285714285714,0.02857142857142858,0.055485498108448945,0.055485498108448945,121.0,49.0,
236-561-我们一家测试_1463738018.csv,67.0,69.0,0.9710144927536232,380.0,561.0,0.6773618538324421,0.3226381461675579,0.48434379742790956,0.48434379742790956,364.0,16.0,
251-205-aiqianbang测试_1463738035.csv,25.0,25.0,1.0,200.0,205.0,0.975609756097561,0.024390243902439046,0.04761904761904766,0.04761904761904766,131.0,69.0,
252-205-bugaiqianbang测试_1470654472.csv,25.0,25.0,1.0,200.0,205.0,0.975609756097561,0.024390243902439046,0.04761904761904766,0.04761904761904766,131.0,69.0,
253-372-bug叮叮导游测试_1470654471.csv,41.0,46.0,0.8913043478260869,250.0,372.0,0.6720430107526881,0.32795698924731187,0.47948619631901834,0.47948619631901834,253.0,-3.0,
254-372-叮叮导游测试_1463738040.csv,41.0,46.0,0.8913043478260869,250.0,372.0,0.6720430107526881,0.32795698924731187,0.47948619631901834,0.47948619631901834,253.0,-3.0,
274-149-bug黄瓜测试_1470654456.csv,17.0,21.0,0.8095238095238095,140.0,149.0,0.9395973154362416,0.06040268456375841,0.11241734019103604,0.11241734019103604,124.0,16.0,
277-262-3Dsousou测试_1463738072.csv,31.0,32.0,0.96875,240.0,262.0,0.916030534351145,0.08396946564885499,0.15454339451620216,0.15454339451620216,169.0,71.0,
278-262-bug3Dsousou测试_1470654452.csv,31.0,32.0,0.96875,240.0,262.0,0.916030534351145,0.08396946564885499,0.15454339451620216,0.15454339451620216,169.0,71.0,
283-184-海捣网测试_1463738074.csv,23.0,26.0,0.8846153846153846,180.0,184.0,0.9782608695652174,0.021739130434782594,0.042435424354243516,0.042435424354243516,123.0,57.0,
284-184-bug海捣网测试_1470654451.csv,23.0,26.0,0.8846153846153846,180.0,184.0,0.9782608695652174,0.021739130434782594,0.042435424354243516,0.042435424354243516,123.0,57.0,
285-116-bug蜘蛛网app测试_1470654446.csv,12.0,15.0,0.8,110.0,116.0,0.9482758620689655,0.051724137931034475,0.09716599190283401,0.09716599190283401,68.0,42.0,
286-116-蜘蛛网app测试_1463738077.csv,12.0,15.0,0.8,110.0,116.0,0.9482758620689655,0.051724137931034475,0.09716599190283401,0.09716599190283401,68.0,42.0,
294-143-一度蜜测试_1463738084.csv,18.0,20.0,0.9,120.0,143.0,0.8391608391608392,0.16083916083916083,0.2729070533948583,0.2729070533948583,85.0,35.0,
309-170-私人飞行测试_1463738093.csv,23.0,23.0,1.0,130.0,170.0,0.7647058823529411,0.23529411764705888,0.38095238095238104,0.38095238095238104,106.0,24.0,
310-170-bug私人飞行测试_1470654421.csv,23.0,23.0,1.0,130.0,170.0,0.7647058823529411,0.23529411764705888,0.38095238095238104,0.38095238095238104,106.0,24.0,
311-185-bug社区慧生活测试_1470654424.csv,25.0,25.0,1.0,180.0,185.0,0.972972972972973,0.027027027027026973,0.05263157894736832,0.05263157894736832,95.0,85.0,
312-185-社区慧生活测试_1463738091.csv,25.0,25.0,1.0,180.0,185.0,0.972972972972973,0.027027027027026973,0.05263157894736832,0.05263157894736832,95.0,85.0,
315-119-萌宠达人测试_1463738095.csv,15.0,17.0,0.8823529411764706,110.0,119.0,0.9243697478991597,0.07563025210084029,0.13931888544891635,0.13931888544891635,102.0,8.0,
316-119-bug萌宠达人测试_1470654419.csv,15.0,17.0,0.8823529411764706,110.0,119.0,0.9243697478991597,0.07563025210084029,0.13931888544891635,0.13931888544891635,102.0,8.0,
317-131-华企帮测试_1463738098.csv,17.0,18.0,0.9444444444444444,130.0,131.0,0.9923664122137404,0.007633587786259555,0.015144766146993343,0.015144766146993343,39.0,91.0,
318-131-bug华企帮测试_1470654417.csv,17.0,18.0,0.9444444444444444,130.0,131.0,0.9923664122137404,0.007633587786259555,0.015144766146993343,0.015144766146993343,39.0,91.0,
319-197-百叶小成测试_1463738097.csv,28.0,28.0,1.0,190.0,197.0,0.9644670050761421,0.035532994923857864,0.06862745098039215,0.06862745098039215,138.0,52.0,
320-197-bug百叶小成测试_1470654418.csv,28.0,28.0,1.0,190.0,197.0,0.9644670050761421,0.035532994923857864,0.06862745098039215,0.06862745098039215,138.0,52.0,
321-129-有薪快访测试_1463738103.csv,6.0,10.0,0.6,110.0,129.0,0.8527131782945736,0.1472868217054264,0.23651452282157684,0.23651452282157684,36.0,74.0,
322-129-bug有薪快访测试_1470654415.csv,6.0,10.0,0.6,110.0,129.0,0.8527131782945736,0.1472868217054264,0.23651452282157684,0.23651452282157684,36.0,74.0,
325-231-数英测试_1463738102.csv,27.0,27.0,1.0,230.0,231.0,0.9956709956709957,0.0043290043290042934,0.008620689655172343,0.008620689655172343,114.0,116.0,
