rank,index,type,%bugs,%effort,F1,y=0.9,y=0.3,
1,21,3,0.5789473684210527,0.7950819672131147,0.5467639715767236,0.9,0.3,
2,27,4,0.9,0.5687022900763359,0.5322128851540616,0.9,0.3,
3,28,5,0.9545454545454546,0.4453781512605042,0.4689655172413793,0.9,0.3,
4,1,10,1.0,0.0,0.0,0.9,0.3,
5,2,11,1.0,0.0,0.0,0.9,0.3,
6,3,12,1.0,0.0,0.0,0.9,0.3,
7,4,13,1.0,0.0,0.0,0.9,0.3,
8,5,14,1.0,0.0,0.0,0.9,0.3,
9,6,15,1.0,0.0,0.0,0.9,0.3,
10,7,16,1.0,0.0,0.0,0.9,0.3,
11,8,17,1.0,0.0,0.0,0.9,0.3,
12,9,18,1.0,0.0,0.0,0.9,0.3,
13,10,19,1.0,0.0,0.0,0.9,0.3,
14,11,20,1.0,0.0,0.0,0.9,0.3,
15,12,21,1.0,0.0,0.0,0.9,0.3,
16,13,22,1.0,0.0,0.0,0.9,0.3,
17,14,23,1.0,0.0,0.0,0.9,0.3,
18,15,24,1.0,0.0,0.0,0.9,0.3,
19,16,25,1.0,0.0,0.0,0.9,0.3,
20,17,26,1.0,0.0,0.0,0.9,0.3,
21,18,27,1.0,0.0,0.0,0.9,0.3,
22,19,28,1.0,0.0,0.0,0.9,0.3,
23,20,29,1.0,0.0,0.0,0.9,0.3,
24,22,30,1.0,0.0,0.0,0.9,0.3,
25,23,31,1.0,0.0,0.0,0.9,0.3,
26,24,32,1.0,0.0,0.0,0.9,0.3,
27,25,33,1.0,0.0,0.0,0.9,0.3,
28,26,34,1.0,0.0,0.0,0.9,0.3,
29,29,6,1.0,0.27297297297297296,0.39351351351351355,0.9,0.3,
30,30,7,1.0,0.16030534351145043,0.27631578947368424,0.9,0.3,
31,31,8,1.0,0.08860759493670889,0.16279069767441864,0.9,0.3,
32,32,9,1.0,0.017241379310344862,0.03389830508474583,0.9,0.3,
