rank,index,type,%bugs,%effort,F1,y=0.9,y=0.3,
1,5,3-1,0.5357142857142857,0.8189655172413793,0.572354211663067,0.9,0.3,
2,9,4-1,0.7192982456140351,0.7404580152671756,0.6410256410256411,0.9,0.3,
3,6,3-2,0.7222222222222222,0.7384615384615385,0.6087516087516088,0.9,0.3,
4,13,5-1,0.8148148148148148,0.6456692913385826,0.6182795698924732,0.9,0.3,
5,7,3-3,0.8666666666666667,0.6194029850746269,0.6026812512505837,0.9,0.3,
6,17,6-1,0.8695652173913043,0.5609756097560976,0.6122448979591837,0.9,0.3,
7,10,4-2,0.875,0.6,0.6164383561643835,0.9,0.3,
8,8,3-4,0.9,0.49557522123893805,0.5878423513694054,0.9,0.3,
9,14,5-2,0.9,0.4696969696969697,0.5829145728643216,0.9,0.3,
10,21,7-1,0.9130434782608695,0.4832214765100671,0.5786452353616534,0.9,0.3,
11,11,4-3,0.9285714285714286,0.4645669291338582,0.5779816513761469,0.9,0.3,
12,25,8-1,0.9375,0.4336283185840708,0.5555555555555555,0.9,0.3,
13,1,10-1,1.0,0.3203883495145631,0.4852941176470588,0.9,0.3,
14,2,10-2,1.0,0.1707317073170732,0.2916666666666667,0.9,0.3,
15,3,10-3,1.0,0.09774436090225569,0.178082191780822,0.9,0.3,
16,4,10-4,1.0,0.05982905982905984,0.11290322580645162,0.9,0.3,
17,12,4-4,1.0,0.37254901960784315,0.5339195979899497,0.9,0.3,
18,15,5-3,1.0,0.3689320388349514,0.5142857142857142,0.9,0.3,
19,16,5-4,1.0,0.240506329113924,0.38775510204081626,0.9,0.3,
20,18,6-2,1.0,0.3943217665615142,0.5464388428353916,0.9,0.3,
21,19,6-3,1.0,0.2592592592592593,0.411764705882353,0.9,0.3,
22,20,6-4,1.0,0.18823529411764706,0.31683168316831684,0.9,0.3,
23,22,7-2,1.0,0.3418803418803419,0.5083612040133779,0.9,0.3,
24,23,7-3,1.0,0.17826086956521736,0.30258302583025826,0.9,0.3,
25,24,7-4,1.0,0.1352941176470588,0.23834196891191703,0.9,0.3,
26,26,8-2,1.0,0.27572016460905346,0.43225806451612897,0.9,0.3,
27,27,8-3,1.0,0.15294117647058825,0.2653061224489796,0.9,0.3,
28,28,8-4,1.0,0.09302325581395354,0.1702127659574469,0.9,0.3,
29,29,9-1,1.0,0.36170212765957444,0.5199999999999999,0.9,0.3,
30,30,9-2,1.0,0.20253164556962022,0.33684210526315783,0.9,0.3,
31,31,9-3,1.0,0.11046511627906974,0.1989528795811518,0.9,0.3,
32,32,9-4,1.0,0.07065217391304346,0.13197969543147206,0.9,0.3,
