rank,index,type,%bugs,%effort,F1,y=0.9,y=0.3,
1,21,3,0.3333333333333333,0.9177489177489178,0.4897025171624714,0.9,0.3,
2,27,4,0.4166666666666667,0.8833333333333333,0.5407180385288965,0.9,0.3,
3,28,5,0.47058823529411764,0.854054054054054,0.5579399141630901,0.9,0.3,
4,29,6,0.5625,0.8195121951219513,0.5952873088052915,0.9,0.3,
5,30,7,0.5909090909090909,0.7745098039215687,0.6130629568497996,0.9,0.3,
6,31,8,0.7083333333333334,0.7530120481927711,0.6428571428571428,0.9,0.3,
7,32,9,0.7192982456140351,0.7219730941704036,0.6402903811252268,0.9,0.3,
8,1,10,0.7647058823529411,0.6666666666666667,0.6442953020134228,0.9,0.3,
9,2,11,0.8064516129032258,0.6470588235294117,0.6351351351351351,0.9,0.3,
10,3,12,0.8571428571428571,0.5916030534351144,0.6258503401360543,0.9,0.3,
11,4,13,0.875,0.5609756097560976,0.6182795698924732,0.9,0.3,
12,5,14,0.88,0.5329341317365269,0.6160714285714286,0.9,0.3,
13,6,15,0.9,0.504424778761062,0.6110655737704918,0.9,0.3,
14,7,16,0.9,0.49242424242424243,0.5921787709497207,0.9,0.3,
15,8,17,0.9285714285714286,0.4807692307692307,0.5949367088607594,0.9,0.3,
16,9,18,0.9444444444444444,0.4368932038834952,0.5767949767949767,0.9,0.3,
17,10,19,0.95,0.41290322580645167,0.5678466076696165,0.9,0.3,
18,11,20,0.9615384615384616,0.3941176470588236,0.5507291343468819,0.9,0.3,
19,12,21,1.0,0.36879432624113473,0.5279187817258884,0.9,0.3,
20,13,22,1.0,0.3564356435643564,0.5095541401273885,0.9,0.3,
21,14,23,1.0,0.33333333333333337,0.48120300751879697,0.9,0.3,
22,15,24,1.0,0.32478632478632474,0.49032258064516127,0.9,0.3,
23,16,25,1.0,0.279835390946502,0.4372990353697748,0.9,0.3,
24,17,26,1.0,0.25984251968503935,0.4125,0.9,0.3,
25,18,27,1.0,0.25196850393700787,0.4025157232704403,0.9,0.3,
26,19,28,1.0,0.2440944881889764,0.3924050632911393,0.9,0.3,
27,20,29,1.0,0.21176470588235297,0.34951456310679613,0.9,0.3,
28,22,30,1.0,0.20588235294117652,0.34146341463414637,0.9,0.3,
29,23,31,1.0,0.19999999999999996,0.33333333333333326,0.9,0.3,
30,24,32,1.0,0.1941176470588235,0.3251231527093596,0.9,0.3,
31,25,33,1.0,0.18181818181818177,0.30769230769230765,0.9,0.3,
32,26,34,1.0,0.1748251748251748,0.29761904761904756,0.9,0.3,
