project,bugsDetected,totalBugs,percentBugsDetected,reportsSubmit,totalReports,percentReportsSubmit,percentSavedEffort,F1,E1,optimalReportsSubmit,differenceWithOptimal,
2-471-百度浏览器T7尝鲜体验_1463737142.csv,28.0,58.0,0.4827586206896552,63.0,471.0,0.1337579617834395,0.8662420382165605,0.619993487463367,0.619993487463367,397.0,-334.0,28.0,
29-150-小白用车_1463737383.csv,15.0,21.0,0.7142857142857143,57.0,150.0,0.38,0.62,0.6638115631691649,0.6638115631691649,123.0,-66.0,15.0,
48-118-百度糯米6.0.2测试_1463737445.csv,13.0,13.0,1.0,118.0,118.0,1.0,0.0,0.0,0.0,76.0,42.0,20.0,
89-120-一起飞测试_1463737536.csv,17.0,17.0,1.0,120.0,120.0,1.0,0.0,0.0,0.0,84.0,36.0,18.0,
92-133-喵哆啦测试_1463737548.csv,18.0,19.0,0.9473684210526315,79.0,133.0,0.5939849624060151,0.40601503759398494,0.5684210526315789,0.5684210526315789,113.0,-34.0,18.0,
95-106-爱陪护测试_1463737556.csv,14.0,14.0,1.0,106.0,106.0,1.0,0.0,0.0,0.0,70.0,36.0,18.0,
97-107-淘特惠测试_1463737552.csv,13.0,15.0,0.8666666666666667,45.0,107.0,0.4205607476635514,0.5794392523364487,0.6945282205945714,0.6945282205945714,65.0,-20.0,13.0,
98-117-快乐满意拍测试_1463737558.csv,15.0,16.0,0.9375,46.0,117.0,0.39316239316239315,0.6068376068376069,0.7367692839847805,0.7367692839847805,59.0,-13.0,15.0,
99-156-雅思君测试_1463737564.csv,22.0,22.0,1.0,156.0,156.0,1.0,0.0,0.0,0.0,88.0,68.0,30.0,
122-138-购物狂测试_1463737645.csv,15.0,18.0,0.8333333333333334,38.0,138.0,0.2753623188405797,0.7246376811594203,0.7751937984496124,0.7751937984496124,100.0,-62.0,15.0,
128-115-蛋蛋赚测试_1463737676.csv,12.0,14.0,0.8571428571428571,50.0,115.0,0.43478260869565216,0.5652173913043479,0.6812227074235808,0.6812227074235808,102.0,-52.0,12.0,
130-136-终极手电筒测试_1463737660.csv,18.0,19.0,0.9473684210526315,52.0,136.0,0.38235294117647056,0.6176470588235294,0.7477744807121662,0.7477744807121662,107.0,-55.0,18.0,
134-221-买车达人测试_1463737670.csv,21.0,24.0,0.875,69.0,221.0,0.31221719457013575,0.6877828054298643,0.7701773434672458,0.7701773434672458,191.0,-122.0,21.0,
143-127-荔枝FM测试_1463737709.csv,16.0,18.0,0.8888888888888888,96.0,127.0,0.7559055118110236,0.2440944881889764,0.383011583011583,0.383011583011583,103.0,-7.0,16.0,
157-161-任意球测试_1463737744.csv,16.0,23.0,0.6956521739130435,36.0,161.0,0.2236024844720497,0.7763975155279503,0.733810310034856,0.733810310034856,125.0,-89.0,16.0,
164-326-茄子医生测试_1463737777.csv,23.0,40.0,0.575,48.0,326.0,0.147239263803681,0.852760736196319,0.6868621763884413,0.6868621763884413,263.0,-215.0,23.0,
167-284-杏林题库测试_1463737790.csv,31.0,35.0,0.8857142857142857,110.0,284.0,0.3873239436619718,0.6126760563380282,0.724318517523835,0.724318517523835,243.0,-133.0,31.0,
168-124-电台测试_1463737792.csv,13.0,16.0,0.8125,44.0,124.0,0.3548387096774194,0.6451612903225806,0.719225449515906,0.719225449515906,102.0,-58.0,13.0,
170-149-Domino测试_1463737794.csv,18.0,21.0,0.8571428571428571,58.0,149.0,0.38926174496644295,0.610738255033557,0.713259307642064,0.713259307642064,131.0,-73.0,18.0,
171-290-百问百答测试_1463737762.csv,34.0,34.0,1.0,290.0,290.0,1.0,0.0,0.0,0.0,244.0,46.0,0.0,40.0,
181-271-网乐惠测试_1463737849.csv,18.0,33.0,0.5454545454545454,47.0,271.0,0.17343173431734318,0.8265682656826568,0.6572127139364303,0.6572127139364303,240.0,-193.0,18.0,
189-216-跑跑测试_1463737615.csv,23.0,25.0,0.92,84.0,216.0,0.3888888888888889,0.6111111111111112,0.7343976777939043,0.7343976777939043,178.0,-94.0,23.0,
216-283-大帮汇测试_1463737957.csv,25.0,34.0,0.7352941176470589,56.0,283.0,0.1978798586572438,0.8021201413427562,0.7672547826674779,0.7672547826674779,228.0,-172.0,25.0,
217-288-bug大帮汇测试_1470654530.csv,21.0,36.0,0.5833333333333334,52.0,288.0,0.18055555555555555,0.8194444444444444,0.6815181518151816,0.6815181518151816,233.0,-181.0,21.0,
218-103-bug恶龙公主—逆塔防测试_1470654523.csv,14.0,14.0,1.0,103.0,103.0,1.0,0.0,0.0,0.0,78.0,25.0,20.0,
219-103-恶龙公主—逆塔防测试_1463737972.csv,14.0,14.0,1.0,103.0,103.0,1.0,0.0,0.0,0.0,78.0,25.0,20.0,
220-798-农科助手测试_1463737988.csv,38.0,99.0,0.3838383838383838,66.0,798.0,0.08270676691729323,0.9172932330827068,0.5412094326406723,0.5412094326406723,683.0,-617.0,38.0,
239-132-海捣网测试_1463738033.csv,18.0,18.0,1.0,132.0,132.0,1.0,0.0,0.0,0.0,76.0,56.0,26.0,
240-132-bug海捣网测试_1470654473.csv,18.0,18.0,1.0,132.0,132.0,1.0,0.0,0.0,0.0,76.0,56.0,26.0,
243-250-bugmalimalihome测试_1470654477.csv,28.0,31.0,0.9032258064516129,74.0,250.0,0.296,0.704,0.7912652536929994,0.7912652536929994,167.0,-93.0,28.0,
244-250-malimalihome测试_1463738030.csv,28.0,31.0,0.9032258064516129,74.0,250.0,0.296,0.704,0.7912652536929994,0.7912652536929994,167.0,-93.0,28.0,
249-222-玖信贷测试_1463738047.csv,26.0,27.0,0.9629629629629629,87.0,222.0,0.3918918918918919,0.6081081081081081,0.7454603376871615,0.7454603376871615,148.0,-61.0,26.0,
250-222-bug玖信贷测试_1470654468.csv,26.0,27.0,0.9629629629629629,87.0,222.0,0.3918918918918919,0.6081081081081081,0.7454603376871615,0.7454603376871615,148.0,-61.0,26.0,
257-133-bug口袋故事测试_1470654466.csv,18.0,19.0,0.9473684210526315,85.0,133.0,0.6390977443609023,0.3609022556390977,0.5226860254083485,0.5226860254083485,96.0,-11.0,18.0,
258-133-口袋故事测试_1463738051.csv,18.0,19.0,0.9473684210526315,85.0,133.0,0.6390977443609023,0.3609022556390977,0.5226860254083485,0.5226860254083485,96.0,-11.0,18.0,
261-195-小刀汇测试_1463738056.csv,25.0,27.0,0.9259259259259259,101.0,195.0,0.517948717948718,0.482051282051282,0.6340213139079994,0.6340213139079994,155.0,-54.0,25.0,
261-195-小刀汇测试_1463738056.csv,25.0,27.0,0.9259259259259259,101.0,195.0,0.517948717948718,0.482051282051282,0.6340213139079994,0.6340213139079994,155.0,-54.0,25.0,
263-212-bug芈糕测试_1470654464.csv,23.0,26.0,0.8846153846153846,63.0,212.0,0.2971698113207547,0.7028301886792453,0.7833142857142859,0.7833142857142859,161.0,-98.0,23.0,
263-212-bug芈糕测试_1470654464.csv,23.0,26.0,0.8846153846153846,63.0,212.0,0.2971698113207547,0.7028301886792453,0.7833142857142859,0.7833142857142859,161.0,-98.0,23.0,
267-194-bug车阿哥（用户端）测试_1470654466.csv,26.0,27.0,0.9629629629629629,81.0,194.0,0.4175257731958763,0.5824742268041236,0.7258801729462631,0.7258801729462631,143.0,-62.0,26.0,
