project,bugsDetected,totalBugs,percentBugsDetected,reportsSubmit,totalReports,percentReportsSubmit,percentSavedEffort,F1,E1,optimalReportsSubmit,differenceWithOptimal,
2-471-百度浏览器T7尝鲜体验_1463737142.csv,58.0,58.0,1.0,435.0,471.0,0.9235668789808917,0.07643312101910826,0.1420118343195266,0.1420118343195266,397.0,38.0,
29-150-小白用车_1463737383.csv,4.0,21.0,0.19047619047619047,21.0,150.0,0.14,0.86,0.31187669990933814,0.31187669990933814,123.0,-102.0,
48-118-百度糯米6.0.2测试_1463737445.csv,10.0,13.0,0.7692307692307693,48.0,118.0,0.4067796610169492,0.5932203389830508,0.6698564593301435,0.6698564593301435,76.0,-28.0,
89-120-一起飞测试_1463737536.csv,16.0,17.0,0.9411764705882353,66.0,120.0,0.55,0.44999999999999996,0.6088794926004227,0.6088794926004227,84.0,-18.0,
92-133-喵哆啦测试_1463737548.csv,18.0,19.0,0.9473684210526315,111.0,133.0,0.8345864661654135,0.16541353383458646,0.2816500711237553,0.2816500711237553,113.0,-2.0,
95-106-爱陪护测试_1463737556.csv,13.0,14.0,0.9285714285714286,63.0,106.0,0.5943396226415094,0.4056603773584906,0.5646464646464647,0.5646464646464647,70.0,-7.0,
97-107-淘特惠测试_1463737552.csv,3.0,15.0,0.2,21.0,107.0,0.19626168224299065,0.8037383177570093,0.3202979515828678,0.3202979515828678,65.0,-44.0,
98-117-快乐满意拍测试_1463737558.csv,15.0,16.0,0.9375,87.0,117.0,0.7435897435897436,0.2564102564102564,0.40268456375838924,0.40268456375838924,59.0,28.0,
99-156-雅思君测试_1463737564.csv,21.0,22.0,0.9545454545454546,78.0,156.0,0.5,0.5,0.65625,0.65625,88.0,-10.0,
122-138-购物狂测试_1463737645.csv,18.0,18.0,1.0,123.0,138.0,0.8913043478260869,0.10869565217391308,0.19607843137254907,0.19607843137254907,100.0,23.0,
128-115-蛋蛋赚测试_1463737676.csv,5.0,14.0,0.35714285714285715,36.0,115.0,0.3130434782608696,0.6869565217391305,0.46995835812016656,0.46995835812016656,102.0,-66.0,
130-136-终极手电筒测试_1463737660.csv,18.0,19.0,0.9473684210526315,87.0,136.0,0.6397058823529411,0.3602941176470589,0.5220479431784553,0.5220479431784553,107.0,-20.0,
134-221-买车达人测试_1463737670.csv,22.0,24.0,0.9166666666666666,120.0,221.0,0.5429864253393665,0.4570135746606335,0.6099368652209718,0.6099368652209718,191.0,-71.0,
143-127-荔枝FM测试_1463737709.csv,5.0,18.0,0.2777777777777778,21.0,127.0,0.16535433070866143,0.8346456692913385,0.4168305151395989,0.4168305151395989,103.0,-82.0,
157-161-任意球测试_1463737744.csv,19.0,23.0,0.8260869565217391,84.0,161.0,0.5217391304347826,0.4782608695652174,0.6057971014492753,0.6057971014492753,125.0,-41.0,
164-326-茄子医生测试_1463737777.csv,40.0,40.0,1.0,285.0,326.0,0.8742331288343558,0.12576687116564422,0.2234332425068121,0.2234332425068121,263.0,22.0,
167-284-杏林题库测试_1463737790.csv,34.0,35.0,0.9714285714285714,216.0,284.0,0.7605633802816901,0.23943661971830987,0.384180790960452,0.384180790960452,243.0,-27.0,
168-124-电台测试_1463737792.csv,4.0,16.0,0.25,27.0,124.0,0.21774193548387097,0.782258064516129,0.37890625,0.37890625,102.0,-75.0,
170-149-Domino测试_1463737794.csv,4.0,21.0,0.19047619047619047,21.0,149.0,0.14093959731543623,0.8590604026845637,0.31181485992691843,0.31181485992691843,131.0,-110.0,
171-290-百问百答测试_1463737762.csv,34.0,34.0,1.0,288.0,290.0,0.993103448275862,0.006896551724137945,0.013698630136986328,0.013698630136986328,244.0,44.0,
181-271-网乐惠测试_1463737849.csv,31.0,33.0,0.9393939393939394,174.0,271.0,0.6420664206642066,0.3579335793357934,0.518358903637304,0.518358903637304,240.0,-66.0,
189-216-跑跑测试_1463737615.csv,24.0,25.0,0.96,168.0,216.0,0.7777777777777778,0.2222222222222222,0.3609022556390977,0.3609022556390977,178.0,-10.0,
216-283-大帮汇测试_1463737957.csv,32.0,34.0,0.9411764705882353,183.0,283.0,0.6466431095406361,0.3533568904593639,0.5138086062941554,0.5138086062941554,228.0,-45.0,
217-288-bug大帮汇测试_1470654530.csv,34.0,36.0,0.9444444444444444,270.0,288.0,0.9375,0.0625,0.11724137931034483,0.11724137931034483,233.0,37.0,
218-103-bug恶龙公主—逆塔防测试_1470654523.csv,13.0,14.0,0.9285714285714286,57.0,103.0,0.5533980582524272,0.44660194174757284,0.6031265758951084,0.6031265758951084,78.0,-21.0,
219-103-恶龙公主—逆塔防测试_1463737972.csv,13.0,14.0,0.9285714285714286,57.0,103.0,0.5533980582524272,0.44660194174757284,0.6031265758951084,0.6031265758951084,78.0,-21.0,
