project,bugsDetected,totalBugs,percentBugsDetected,reportsSubmit,totalReports,percentReportsSubmit,percentSavedEffort,F1,E1,optimalReportsSubmit,differenceWithOptimal,
2-471-百度浏览器T7尝鲜体验_1463737142.csv,31.0,58.0,0.5344827586206896,70.0,471.0,0.14861995753715498,0.851380042462845,0.6566998600068676,0.6566998600068676,397.0,-327.0,31.0,
29-150-小白用车_1463737383.csv,18.0,21.0,0.8571428571428571,88.0,150.0,0.5866666666666667,0.41333333333333333,0.5577211394302849,0.5577211394302849,123.0,-35.0,18.0,
48-118-百度糯米6.0.2测试_1463737445.csv,13.0,13.0,1.0,118.0,118.0,1.0,0.0,0.0,0.0,76.0,42.0,20.0,
89-120-一起飞测试_1463737536.csv,17.0,17.0,1.0,120.0,120.0,1.0,0.0,0.0,0.0,84.0,36.0,20.0,
92-133-喵哆啦测试_1463737548.csv,18.0,19.0,0.9473684210526315,79.0,133.0,0.5939849624060151,0.40601503759398494,0.5684210526315789,0.5684210526315789,113.0,-34.0,18.0,
95-106-爱陪护测试_1463737556.csv,14.0,14.0,1.0,106.0,106.0,1.0,0.0,0.0,0.0,70.0,36.0,20.0,
97-107-淘特惠测试_1463737552.csv,15.0,15.0,1.0,65.0,107.0,0.6074766355140186,0.39252336448598135,0.563758389261745,0.563758389261745,65.0,0.0,15.0,
98-117-快乐满意拍测试_1463737558.csv,16.0,16.0,1.0,117.0,117.0,1.0,0.0,0.0,0.0,59.0,58.0,18.0,
99-156-雅思君测试_1463737564.csv,22.0,22.0,1.0,156.0,156.0,1.0,0.0,0.0,0.0,88.0,68.0,30.0,
122-138-购物狂测试_1463737645.csv,18.0,18.0,1.0,138.0,138.0,1.0,0.0,0.0,0.0,100.0,38.0,20.0,
128-115-蛋蛋赚测试_1463737676.csv,12.0,14.0,0.8571428571428571,50.0,115.0,0.43478260869565216,0.5652173913043479,0.6812227074235808,0.6812227074235808,102.0,-52.0,12.0,
130-136-终极手电筒测试_1463737660.csv,19.0,19.0,1.0,136.0,136.0,1.0,0.0,0.0,0.0,107.0,29.0,25.0,
134-221-买车达人测试_1463737670.csv,23.0,24.0,0.9583333333333334,172.0,221.0,0.7782805429864253,0.22171945701357465,0.36012142514778717,0.36012142514778717,191.0,-19.0,23.0,
143-127-荔枝FM测试_1463737709.csv,16.0,18.0,0.8888888888888888,96.0,127.0,0.7559055118110236,0.2440944881889764,0.383011583011583,0.383011583011583,103.0,-7.0,16.0,
157-161-任意球测试_1463737744.csv,23.0,23.0,1.0,125.0,161.0,0.7763975155279503,0.22360248447204967,0.36548223350253806,0.36548223350253806,125.0,0.0,23.0,
164-326-茄子医生测试_1463737777.csv,25.0,40.0,0.625,59.0,326.0,0.18098159509202455,0.8190184049079754,0.7089750398300584,0.7089750398300584,263.0,-204.0,25.0,
167-284-杏林题库测试_1463737790.csv,31.0,35.0,0.8857142857142857,110.0,284.0,0.3873239436619718,0.6126760563380282,0.724318517523835,0.724318517523835,243.0,-133.0,31.0,
168-124-电台测试_1463737792.csv,15.0,16.0,0.9375,93.0,124.0,0.75,0.25,0.39473684210526316,0.39473684210526316,102.0,-9.0,15.0,
170-149-Domino测试_1463737794.csv,21.0,21.0,1.0,149.0,149.0,1.0,0.0,0.0,0.0,131.0,18.0,23.0,
171-290-百问百答测试_1463737762.csv,27.0,34.0,0.7941176470588235,142.0,290.0,0.4896551724137931,0.5103448275862069,0.6213652620121287,0.6213652620121287,244.0,-102.0,14.0,40.0,
181-271-网乐惠测试_1463737849.csv,20.0,33.0,0.6060606060606061,60.0,271.0,0.22140221402214022,0.7785977859778598,0.6815795849148025,0.6815795849148025,240.0,-180.0,20.0,
189-216-跑跑测试_1463737615.csv,25.0,25.0,1.0,178.0,216.0,0.8240740740740741,0.17592592592592593,0.2992125984251968,0.2992125984251968,178.0,0.0,25.0,
216-283-大帮汇测试_1463737957.csv,25.0,34.0,0.7352941176470589,56.0,283.0,0.1978798586572438,0.8021201413427562,0.7672547826674779,0.7672547826674779,228.0,-172.0,25.0,
217-288-bug大帮汇测试_1470654530.csv,25.0,36.0,0.6944444444444444,64.0,288.0,0.2222222222222222,0.7777777777777778,0.7337526205450733,0.7337526205450733,233.0,-169.0,25.0,
218-103-bug恶龙公主—逆塔防测试_1470654523.csv,14.0,14.0,1.0,103.0,103.0,1.0,0.0,0.0,0.0,78.0,25.0,20.0,
219-103-恶龙公主—逆塔防测试_1463737972.csv,14.0,14.0,1.0,103.0,103.0,1.0,0.0,0.0,0.0,78.0,25.0,20.0,
220-798-农科助手测试_1463737988.csv,43.0,99.0,0.43434343434343436,75.0,798.0,0.09398496240601503,0.9060150375939849,0.5871887129217781,0.5871887129217781,683.0,-608.0,43.0,
239-132-海捣网测试_1463738033.csv,18.0,18.0,1.0,132.0,132.0,1.0,0.0,0.0,0.0,76.0,56.0,28.0,
240-132-bug海捣网测试_1470654473.csv,18.0,18.0,1.0,132.0,132.0,1.0,0.0,0.0,0.0,76.0,56.0,28.0,
243-250-bugmalimalihome测试_1470654477.csv,31.0,31.0,1.0,167.0,250.0,0.668,0.33199999999999996,0.4984984984984985,0.4984984984984985,167.0,0.0,31.0,
244-250-malimalihome测试_1463738030.csv,31.0,31.0,1.0,167.0,250.0,0.668,0.33199999999999996,0.4984984984984985,0.4984984984984985,167.0,0.0,31.0,
249-222-玖信贷测试_1463738047.csv,27.0,27.0,1.0,222.0,222.0,1.0,0.0,0.0,0.0,148.0,74.0,31.0,
250-222-bug玖信贷测试_1470654468.csv,27.0,27.0,1.0,222.0,222.0,1.0,0.0,0.0,0.0,148.0,74.0,31.0,
257-133-bug口袋故事测试_1470654466.csv,18.0,19.0,0.9473684210526315,85.0,133.0,0.6390977443609023,0.3609022556390977,0.5226860254083485,0.5226860254083485,96.0,-11.0,18.0,
258-133-口袋故事测试_1463738051.csv,18.0,19.0,0.9473684210526315,85.0,133.0,0.6390977443609023,0.3609022556390977,0.5226860254083485,0.5226860254083485,96.0,-11.0,18.0,
