project,bugsDetected,totalBugs,percentBugsDetected,reportsSubmit,totalReports,percentReportsSubmit,percentSavedEffort,F1,E1,optimalReportsSubmit,differenceWithOptimal,
2-471-∞Ÿ∂»‰Ø¿¿∆˜T7≥¢œ ÃÂ—È_1463737142.csv,8.0,58.0,0.13793103448275862,12.0,471.0,0.025477707006369428,0.9745222929936306,0.24165844027640668,0.24165844027640668,397.0,-385.0,8.0,
29-150-–°∞◊”√≥µ_1463737383.csv,13.0,21.0,0.6190476190476191,37.0,150.0,0.24666666666666667,0.7533333333333333,0.6796206338191071,0.6796206338191071,123.0,-86.0,14.0,13.0,
48-118-∞Ÿ∂»≈¥√◊6.0.2≤‚ ‘_1463737445.csv,13.0,13.0,1.0,118.0,118.0,1.0,0.0,0.0,0.0,76.0,42.0,18.0,13.0,
89-120-“ª∆∑…≤‚ ‘_1463737536.csv,10.0,17.0,0.5882352941176471,18.0,120.0,0.15,0.85,0.6952965235173825,0.6952965235173825,84.0,-66.0,10.0,
92-133-ﬂ˜∂ﬂ¿≤≤‚ ‘_1463737548.csv,12.0,19.0,0.631578947368421,36.0,133.0,0.2706766917293233,0.7293233082706767,0.6769409712125618,0.6769409712125618,113.0,-77.0,12.0,
95-106-∞Æ≈„ª§≤‚ ‘_1463737556.csv,7.0,14.0,0.5,15.0,106.0,0.14150943396226415,0.8584905660377359,0.6319444444444444,0.6319444444444444,70.0,-55.0,7.0,
97-107-Ã‘Ãÿª›≤‚ ‘_1463737552.csv,5.0,15.0,0.3333333333333333,10.0,107.0,0.09345794392523364,0.9065420560747663,0.48743718592964824,0.48743718592964824,65.0,-55.0,5.0,
98-117-øÏ¿÷¬˙“‚≈ƒ≤‚ ‘_1463737558.csv,12.0,16.0,0.75,34.0,117.0,0.2905982905982906,0.7094017094017093,0.7291361639824303,0.7291361639824303,59.0,-25.0,14.0,10.0,
99-156-—≈Àºæ˝≤‚ ‘_1463737564.csv,12.0,22.0,0.5454545454545454,15.0,156.0,0.09615384615384616,0.9038461538461539,0.6803377563329313,0.6803377563329313,88.0,-73.0,12.0,
122-138-π∫ŒÔøÒ≤‚ ‘_1463737645.csv,9.0,18.0,0.5,25.0,138.0,0.18115942028985507,0.8188405797101449,0.6208791208791208,0.6208791208791208,100.0,-75.0,9.0,10.0,
128-115-µ∞µ∞◊¨≤‚ ‘_1463737676.csv,3.0,14.0,0.21428571428571427,15.0,115.0,0.13043478260869565,0.8695652173913043,0.3438395415472779,0.3438395415472779,102.0,-87.0,3.0,
130-136-÷’º´ ÷µÁÕ≤≤‚ ‘_1463737660.csv,19.0,19.0,1.0,136.0,136.0,1.0,0.0,0.0,0.0,107.0,29.0,26.0,41.0,30.0,34.0,33.0,
134-221-¬Ú≥µ¥Ô»À≤‚ ‘_1463737670.csv,12.0,24.0,0.5,25.0,221.0,0.11312217194570136,0.8868778280542986,0.6394779771615008,0.6394779771615008,191.0,-166.0,5.0,20.0,
143-127-¿Û÷¶FM≤‚ ‘_1463737709.csv,15.0,18.0,0.8333333333333334,64.0,127.0,0.5039370078740157,0.49606299212598426,0.6219151036525172,0.6219151036525172,103.0,-39.0,18.0,13.0,
157-161-»Œ“‚«Ú≤‚ ‘_1463737744.csv,23.0,23.0,1.0,161.0,161.0,1.0,0.0,0.0,0.0,125.0,36.0,0.0,0.0,40.0,43.0,49.0,
164-326-«—◊”“Ω…˙≤‚ ‘_1463737777.csv,17.0,40.0,0.425,36.0,326.0,0.11042944785276074,0.8895705521472392,0.5751954264379885,0.5751954264379885,263.0,-227.0,18.0,16.0,
167-284-–”¡÷Ã‚ø‚≤‚ ‘_1463737790.csv,29.0,35.0,0.8285714285714286,94.0,284.0,0.33098591549295775,0.6690140845070423,0.7402928926508129,0.7402928926508129,243.0,-149.0,19.0,34.0,35.0,
168-124-µÁÃ®≤‚ ‘_1463737792.csv,11.0,16.0,0.6875,41.0,124.0,0.33064516129032256,0.6693548387096775,0.6783060921248143,0.6783060921248143,102.0,-61.0,9.0,13.0,
170-149-Domino≤‚ ‘_1463737794.csv,5.0,21.0,0.23809523809523808,14.0,149.0,0.09395973154362416,0.9060402684563759,0.37709497206703907,0.37709497206703907,131.0,-117.0,5.0,
171-290-∞ŸŒ ∞Ÿ¥≤‚ ‘_1463737762.csv,34.0,34.0,1.0,290.0,290.0,1.0,0.0,0.0,0.0,244.0,46.0,0.0,0.0,0.0,0.0,31.0,40.0,
181-271-Õ¯¿÷ª›≤‚ ‘_1463737849.csv,20.0,33.0,0.6060606060606061,60.0,271.0,0.22140221402214022,0.7785977859778598,0.6815795849148025,0.6815795849148025,240.0,-180.0,19.0,22.0,20.0,
189-216-≈‹≈‹≤‚ ‘_1463737615.csv,8.0,25.0,0.32,11.0,216.0,0.05092592592592592,0.9490740740740741,0.47862250109441123,0.47862250109441123,178.0,-167.0,8.0,
216-283-¥Û∞Ôª„≤‚ ‘_1463737957.csv,8.0,34.0,0.23529411764705882,16.0,283.0,0.05653710247349823,0.9434628975265018,0.3766531475930171,0.3766531475930171,228.0,-212.0,8.0,
217-288-bug¥Û∞Ôª„≤‚ ‘_1470654530.csv,28.0,36.0,0.7777777777777778,82.0,288.0,0.2847222222222222,0.7152777777777778,0.7452196382428941,0.7452196382428941,233.0,-151.0,33.0,27.0,21.0,33.0,
218-103-bug∂Ò¡˙π´÷˜°™ƒÊÀ˛∑¿≤‚ ‘_1470654523.csv,8.0,14.0,0.5714285714285714,13.0,103.0,0.1262135922330097,0.8737864077669903,0.690978886756238,0.690978886756238,78.0,-65.0,8.0,
219-103-∂Ò¡˙π´÷˜°™ƒÊÀ˛∑¿≤‚ ‘_1463737972.csv,8.0,14.0,0.5714285714285714,13.0,103.0,0.1262135922330097,0.8737864077669903,0.690978886756238,0.690978886756238,78.0,-65.0,8.0,
220-798-≈©ø∆÷˙ ÷≤‚ ‘_1463737988.csv,10.0,99.0,0.10101010101010101,12.0,798.0,0.015037593984962405,0.9849624060150376,0.18322959647527798,0.18322959647527798,683.0,-671.0,10.0,
239-132-∫£µ∑Õ¯≤‚ ‘_1463738033.csv,10.0,18.0,0.5555555555555556,11.0,132.0,0.08333333333333333,0.9166666666666666,0.6918238993710691,0.6918238993710691,76.0,-65.0,10.0,
240-132-bug∫£µ∑Õ¯≤‚ ‘_1470654473.csv,10.0,18.0,0.5555555555555556,11.0,132.0,0.08333333333333333,0.9166666666666666,0.6918238993710691,0.6918238993710691,76.0,-65.0,10.0,
