project,bugsDetected,totalBugs,percentBugsDetected,reportsSubmit,totalReports,percentReportsSubmit,percentSavedEffort,F1,E1,optimalReportsSubmit,differenceWithOptimal,
2-471-∞Ÿ∂»‰Ø¿¿∆˜T7≥¢œ ÃÂ—È_1463737142.csv,57.0,58.0,0.9827586206896551,432.0,471.0,0.9171974522292994,0.08280254777070062,0.15273626713387609,0.15273626713387609,397.0,35.0,
29-150-–°∞◊”√≥µ_1463737383.csv,17.0,21.0,0.8095238095238095,90.0,150.0,0.6,0.4,0.5354330708661417,0.5354330708661417,123.0,-33.0,
48-118-∞Ÿ∂»≈¥√◊6.0.2≤‚ ‘_1463737445.csv,7.0,13.0,0.5384615384615384,36.0,118.0,0.3050847457627119,0.6949152542372881,0.6067653276955602,0.6067653276955602,76.0,-40.0,
89-120-“ª∆∑…≤‚ ‘_1463737536.csv,16.0,17.0,0.9411764705882353,72.0,120.0,0.6,0.4,0.5614035087719298,0.5614035087719298,84.0,-12.0,
92-133-ﬂ˜∂ﬂ¿≤≤‚ ‘_1463737548.csv,13.0,19.0,0.6842105263157895,72.0,133.0,0.5413533834586466,0.4586466165413534,0.5491689750692522,0.5491689750692522,113.0,-41.0,
95-106-∞Æ≈„ª§≤‚ ‘_1463737556.csv,14.0,14.0,1.0,99.0,106.0,0.9339622641509434,0.06603773584905659,0.1238938053097345,0.1238938053097345,70.0,29.0,
97-107-Ã‘Ãÿª›≤‚ ‘_1463737552.csv,15.0,15.0,1.0,90.0,107.0,0.8411214953271028,0.15887850467289721,0.27419354838709675,0.27419354838709675,65.0,25.0,
98-117-øÏ¿÷¬˙“‚≈ƒ≤‚ ‘_1463737558.csv,16.0,16.0,1.0,108.0,117.0,0.9230769230769231,0.07692307692307687,0.14285714285714277,0.14285714285714277,59.0,49.0,
99-156-—≈Àºæ˝≤‚ ‘_1463737564.csv,19.0,22.0,0.8636363636363636,72.0,156.0,0.46153846153846156,0.5384615384615384,0.6633416458852868,0.6633416458852868,88.0,-16.0,
122-138-π∫ŒÔøÒ≤‚ ‘_1463737645.csv,18.0,18.0,1.0,126.0,138.0,0.9130434782608695,0.08695652173913049,0.16000000000000011,0.16000000000000011,100.0,26.0,
128-115-µ∞µ∞◊¨≤‚ ‘_1463737676.csv,13.0,14.0,0.9285714285714286,81.0,115.0,0.7043478260869566,0.29565217391304344,0.44850329781836634,0.44850329781836634,102.0,-21.0,
130-136-÷’º´ ÷µÁÕ≤≤‚ ‘_1463737660.csv,17.0,19.0,0.8947368421052632,90.0,136.0,0.6617647058823529,0.3382352941176471,0.49089767733835526,0.49089767733835526,107.0,-17.0,
134-221-¬Ú≥µ¥Ô»À≤‚ ‘_1463737670.csv,21.0,24.0,0.875,171.0,221.0,0.7737556561085973,0.2262443438914027,0.3595274781715459,0.3595274781715459,191.0,-20.0,
143-127-¿Û÷¶FM≤‚ ‘_1463737709.csv,18.0,18.0,1.0,108.0,127.0,0.8503937007874016,0.14960629921259838,0.26027397260273966,0.26027397260273966,103.0,5.0,
157-161-»Œ“‚«Ú≤‚ ‘_1463737744.csv,17.0,23.0,0.7391304347826086,81.0,161.0,0.5031055900621118,0.49689440993788825,0.5942757264583789,0.5942757264583789,125.0,-44.0,
164-326-«—◊”“Ω…˙≤‚ ‘_1463737777.csv,39.0,40.0,0.975,261.0,326.0,0.8006134969325154,0.19938650306748462,0.33106960950764,0.33106960950764,263.0,-2.0,
167-284-–”¡÷Ã‚ø‚≤‚ ‘_1463737790.csv,30.0,35.0,0.8571428571428571,135.0,284.0,0.4753521126760563,0.5246478873239437,0.650891882053149,0.650891882053149,243.0,-108.0,
168-124-µÁÃ®≤‚ ‘_1463737792.csv,10.0,16.0,0.625,63.0,124.0,0.5080645161290323,0.49193548387096775,0.5505415162454874,0.5505415162454874,102.0,-39.0,
170-149-Domino≤‚ ‘_1463737794.csv,19.0,21.0,0.9047619047619048,99.0,149.0,0.6644295302013423,0.3355704697986577,0.48956454522030396,0.48956454522030396,131.0,-32.0,
171-290-∞ŸŒ ∞Ÿ¥≤‚ ‘_1463737762.csv,34.0,34.0,1.0,288.0,290.0,0.993103448275862,0.006896551724137945,0.013698630136986328,0.013698630136986328,244.0,44.0,
181-271-Õ¯¿÷ª›≤‚ ‘_1463737849.csv,32.0,33.0,0.9696969696969697,189.0,271.0,0.6974169741697417,0.3025830258302583,0.461240991386887,0.461240991386887,240.0,-51.0,
189-216-≈‹≈‹≤‚ ‘_1463737615.csv,23.0,25.0,0.92,117.0,216.0,0.5416666666666666,0.45833333333333337,0.6118500604594922,0.6118500604594922,178.0,-61.0,
216-283-¥Û∞Ôª„≤‚ ‘_1463737957.csv,34.0,34.0,1.0,270.0,283.0,0.9540636042402827,0.04593639575971731,0.08783783783783783,0.08783783783783783,228.0,42.0,
217-288-bug¥Û∞Ôª„≤‚ ‘_1470654530.csv,11.0,36.0,0.3055555555555556,45.0,288.0,0.15625,0.84375,0.4486404833836858,0.4486404833836858,233.0,-188.0,
218-103-bug∂Ò¡˙π´÷˜°™ƒÊÀ˛∑¿≤‚ ‘_1470654523.csv,14.0,14.0,1.0,90.0,103.0,0.8737864077669902,0.12621359223300976,0.22413793103448287,0.22413793103448287,78.0,12.0,
219-103-∂Ò¡˙π´÷˜°™ƒÊÀ˛∑¿≤‚ ‘_1463737972.csv,14.0,14.0,1.0,90.0,103.0,0.8737864077669902,0.12621359223300976,0.22413793103448287,0.22413793103448287,78.0,12.0,
220-798-≈©ø∆÷˙ ÷≤‚ ‘_1463737988.csv,98.0,99.0,0.98989898989899,747.0,798.0,0.9360902255639098,0.06390977443609025,0.12006774530647547,0.12006774530647547,683.0,64.0,
239-132-∫£µ∑Õ¯≤‚ ‘_1463738033.csv,15.0,18.0,0.8333333333333334,54.0,132.0,0.4090909090909091,0.5909090909090908,0.6914893617021276,0.6914893617021276,76.0,-22.0,
240-132-bug∫£µ∑Õ¯≤‚ ‘_1470654473.csv,15.0,18.0,0.8333333333333334,54.0,132.0,0.4090909090909091,0.5909090909090908,0.6914893617021276,0.6914893617021276,76.0,-22.0,
243-250-bugmalimalihome≤‚ ‘_1470654477.csv,30.0,31.0,0.967741935483871,135.0,250.0,0.54,0.45999999999999996,0.6235878897424311,0.6235878897424311,167.0,-32.0,
244-250-malimalihome≤‚ ‘_1463738030.csv,30.0,31.0,0.967741935483871,135.0,250.0,0.54,0.45999999999999996,0.6235878897424311,0.6235878897424311,167.0,-32.0,
249-222-æ¡–≈¥˚≤‚ ‘_1463738047.csv,22.0,27.0,0.8148148148148148,99.0,222.0,0.44594594594594594,0.5540540540540541,0.6595978062157222,0.6595978062157222,148.0,-49.0,
250-222-bugæ¡–≈¥˚≤‚ ‘_1470654468.csv,22.0,27.0,0.8148148148148148,99.0,222.0,0.44594594594594594,0.5540540540540541,0.6595978062157222,0.6595978062157222,148.0,-49.0,
257-133-bugø⁄¥¸π  ¬≤‚ ‘_1470654466.csv,6.0,19.0,0.3157894736842105,36.0,133.0,0.2706766917293233,0.7293233082706767,0.4407421431276032,0.4407421431276032,96.0,-60.0,
258-133-ø⁄¥¸π  ¬≤‚ ‘_1463738051.csv,6.0,19.0,0.3157894736842105,36.0,133.0,0.2706766917293233,0.7293233082706767,0.4407421431276032,0.4407421431276032,96.0,-60.0,
261-195-–°µ∂ª„≤‚ ‘_1463738056.csv,25.0,27.0,0.9259259259259259,117.0,195.0,0.6,0.4,0.558659217877095,0.558659217877095,155.0,-38.0,
261-195-–°µ∂ª„≤‚ ‘_1463738056.csv,25.0,27.0,0.9259259259259259,117.0,195.0,0.6,0.4,0.558659217877095,0.558659217877095,155.0,-38.0,
263-212-bugÿ¬∏‚≤‚ ‘_1470654464.csv,22.0,26.0,0.8461538461538461,81.0,212.0,0.38207547169811323,0.6179245283018868,0.7142503097893433,0.7142503097893433,161.0,-80.0,
263-212-bugÿ¬∏‚≤‚ ‘_1470654464.csv,22.0,26.0,0.8461538461538461,81.0,212.0,0.38207547169811323,0.6179245283018868,0.7142503097893433,0.7142503097893433,161.0,-80.0,
267-194-bug≥µ∞¢∏Á£®”√ªß∂À£©≤‚ ‘_1470654466.csv,26.0,27.0,0.9629629629629629,144.0,194.0,0.7422680412371134,0.25773195876288657,0.40663121676571784,0.40663121676571784,143.0,1.0,
268-194-≥µ∞¢∏Á£®”√ªß∂À£©≤‚ ‘_1463738053.csv,26.0,27.0,0.9629629629629629,144.0,194.0,0.7422680412371134,0.25773195876288657,0.40663121676571784,0.40663121676571784,143.0,1.0,
