project,bugsDetected,totalBugs,percentBugsDetected,reportsSubmit,totalReports,percentReportsSubmit,percentSavedEffort,F1,E1,optimalReportsSubmit,differenceWithOptimal,
2-471-∞Ÿ∂»‰Ø¿¿∆˜T7≥¢œ ÃÂ—È_1463737142.csv,50.0,58.0,0.8620689655172413,175.0,471.0,0.37154989384288745,0.6284501061571126,0.7269512255022349,0.7269512255022349,397.0,-222.0,
29-150-–°∞◊”√≥µ_1463737383.csv,21.0,21.0,1.0,145.0,150.0,0.9666666666666667,0.033333333333333326,0.06451612903225806,0.06451612903225806,123.0,22.0,
48-118-∞Ÿ∂»≈¥√◊6.0.2≤‚ ‘_1463737445.csv,12.0,13.0,0.9230769230769231,50.0,118.0,0.423728813559322,0.576271186440678,0.7095652173913043,0.7095652173913043,76.0,-26.0,
89-120-“ª∆∑…≤‚ ‘_1463737536.csv,16.0,17.0,0.9411764705882353,71.0,120.0,0.5916666666666667,0.4083333333333333,0.5695604794769341,0.5695604794769341,84.0,-13.0,
92-133-ﬂ˜∂ﬂ¿≤≤‚ ‘_1463737548.csv,18.0,19.0,0.9473684210526315,101.0,133.0,0.7593984962406015,0.24060150375939848,0.3837441705529647,0.3837441705529647,113.0,-12.0,
95-106-∞Æ≈„ª§≤‚ ‘_1463737556.csv,14.0,14.0,1.0,92.0,106.0,0.8679245283018868,0.13207547169811318,0.23333333333333328,0.23333333333333328,70.0,22.0,
97-107-Ã‘Ãÿª›≤‚ ‘_1463737552.csv,15.0,15.0,1.0,87.0,107.0,0.8130841121495327,0.1869158878504673,0.3149606299212599,0.3149606299212599,65.0,22.0,
98-117-øÏ¿÷¬˙“‚≈ƒ≤‚ ‘_1463737558.csv,16.0,16.0,1.0,81.0,117.0,0.6923076923076923,0.3076923076923077,0.47058823529411764,0.47058823529411764,59.0,22.0,
99-156-—≈Àºæ˝≤‚ ‘_1463737564.csv,21.0,22.0,0.9545454545454546,80.0,156.0,0.5128205128205128,0.4871794871794872,0.6451091350040421,0.6451091350040421,88.0,-8.0,
122-138-π∫ŒÔøÒ≤‚ ‘_1463737645.csv,16.0,18.0,0.8888888888888888,65.0,138.0,0.47101449275362317,0.5289855072463768,0.663259511641113,0.663259511641113,100.0,-35.0,
128-115-µ∞µ∞◊¨≤‚ ‘_1463737676.csv,13.0,14.0,0.9285714285714286,85.0,115.0,0.7391304347826086,0.26086956521739135,0.40731070496083555,0.40731070496083555,102.0,-17.0,
130-136-÷’º´ ÷µÁÕ≤≤‚ ‘_1463737660.csv,18.0,19.0,0.9473684210526315,74.0,136.0,0.5441176470588235,0.4558823529411765,0.6155543298400442,0.6155543298400442,107.0,-33.0,
134-221-¬Ú≥µ¥Ô»À≤‚ ‘_1463737670.csv,21.0,24.0,0.875,91.0,221.0,0.4117647058823529,0.5882352941176471,0.7035175879396985,0.7035175879396985,191.0,-100.0,
143-127-¿Û÷¶FM≤‚ ‘_1463737709.csv,15.0,18.0,0.8333333333333334,86.0,127.0,0.6771653543307087,0.3228346456692913,0.46538024971623154,0.46538024971623154,103.0,-17.0,
157-161-»Œ“‚«Ú≤‚ ‘_1463737744.csv,19.0,23.0,0.8260869565217391,69.0,161.0,0.42857142857142855,0.5714285714285714,0.6755555555555556,0.6755555555555556,125.0,-56.0,
164-326-«—◊”“Ω…˙≤‚ ‘_1463737777.csv,36.0,40.0,0.9,164.0,326.0,0.5030674846625767,0.49693251533742333,0.6403162055335968,0.6403162055335968,263.0,-99.0,
167-284-–”¡÷Ã‚ø‚≤‚ ‘_1463737790.csv,32.0,35.0,0.9142857142857143,134.0,284.0,0.47183098591549294,0.528169014084507,0.6695494490165993,0.6695494490165993,243.0,-109.0,
168-124-µÁÃ®≤‚ ‘_1463737792.csv,13.0,16.0,0.8125,66.0,124.0,0.532258064516129,0.467741935483871,0.5937007874015748,0.5937007874015748,102.0,-36.0,
170-149-Domino≤‚ ‘_1463737794.csv,19.0,21.0,0.9047619047619048,101.0,149.0,0.6778523489932886,0.3221476510067114,0.47512373013805675,0.47512373013805675,131.0,-30.0,
171-290-∞ŸŒ ∞Ÿ¥≤‚ ‘_1463737762.csv,33.0,34.0,0.9705882352941176,214.0,290.0,0.7379310344827587,0.26206896551724135,0.41270363666282706,0.41270363666282706,244.0,-30.0,
181-271-Õ¯¿÷ª›≤‚ ‘_1463737849.csv,29.0,33.0,0.8787878787878788,139.0,271.0,0.5129151291512916,0.48708487084870844,0.6267703643061809,0.6267703643061809,240.0,-101.0,
189-216-≈‹≈‹≤‚ ‘_1463737615.csv,24.0,25.0,0.96,117.0,216.0,0.5416666666666666,0.45833333333333337,0.6204465334900117,0.6204465334900117,178.0,-61.0,
216-283-¥Û∞Ôª„≤‚ ‘_1463737957.csv,33.0,34.0,0.9705882352941176,179.0,283.0,0.6325088339222615,0.36749116607773846,0.5331262135922329,0.5331262135922329,228.0,-49.0,
217-288-bug¥Û∞Ôª„≤‚ ‘_1470654530.csv,35.0,36.0,0.9722222222222222,184.0,288.0,0.6388888888888888,0.36111111111111116,0.5266203703703703,0.5266203703703703,233.0,-49.0,
218-103-bug∂Ò¡˙π´÷˜°™ƒÊÀ˛∑¿≤‚ ‘_1470654523.csv,13.0,14.0,0.9285714285714286,70.0,103.0,0.6796116504854369,0.3203883495145631,0.47640199888950574,0.47640199888950574,78.0,-8.0,
219-103-∂Ò¡˙π´÷˜°™ƒÊÀ˛∑¿≤‚ ‘_1463737972.csv,13.0,14.0,0.9285714285714286,70.0,103.0,0.6796116504854369,0.3203883495145631,0.47640199888950574,0.47640199888950574,78.0,-8.0,
220-798-≈©ø∆÷˙ ÷≤‚ ‘_1463737988.csv,87.0,99.0,0.8787878787878788,367.0,798.0,0.4598997493734336,0.5401002506265664,0.669021811856015,0.669021811856015,683.0,-316.0,
239-132-∫£µ∑Õ¯≤‚ ‘_1463738033.csv,17.0,18.0,0.9444444444444444,54.0,132.0,0.4090909090909091,0.5909090909090908,0.7269736842105262,0.7269736842105262,76.0,-22.0,
240-132-bug∫£µ∑Õ¯≤‚ ‘_1470654473.csv,17.0,18.0,0.9444444444444444,54.0,132.0,0.4090909090909091,0.5909090909090908,0.7269736842105262,0.7269736842105262,76.0,-22.0,
243-250-bugmalimalihome≤‚ ‘_1470654477.csv,30.0,31.0,0.967741935483871,122.0,250.0,0.488,0.512,0.6696895709801186,0.6696895709801186,167.0,-45.0,
244-250-malimalihome≤‚ ‘_1463738030.csv,30.0,31.0,0.967741935483871,122.0,250.0,0.488,0.512,0.6696895709801186,0.6696895709801186,167.0,-45.0,
249-222-æ¡–≈¥˚≤‚ ‘_1463738047.csv,26.0,27.0,0.9629629629629629,109.0,222.0,0.49099099099099097,0.509009009009009,0.6659866258642185,0.6659866258642185,148.0,-39.0,
250-222-bugæ¡–≈¥˚≤‚ ‘_1470654468.csv,26.0,27.0,0.9629629629629629,109.0,222.0,0.49099099099099097,0.509009009009009,0.6659866258642185,0.6659866258642185,148.0,-39.0,
257-133-bugø⁄¥¸π  ¬≤‚ ‘_1470654466.csv,17.0,19.0,0.8947368421052632,71.0,133.0,0.5338345864661654,0.46616541353383456,0.6129688863041581,0.6129688863041581,96.0,-25.0,
258-133-ø⁄¥¸π  ¬≤‚ ‘_1463738051.csv,17.0,19.0,0.8947368421052632,71.0,133.0,0.5338345864661654,0.46616541353383456,0.6129688863041581,0.6129688863041581,96.0,-25.0,
261-195-–°µ∂ª„≤‚ ‘_1463738056.csv,26.0,27.0,0.9629629629629629,144.0,195.0,0.7384615384615385,0.2615384615384615,0.411354118194509,0.411354118194509,155.0,-11.0,
261-195-–°µ∂ª„≤‚ ‘_1463738056.csv,26.0,27.0,0.9629629629629629,144.0,195.0,0.7384615384615385,0.2615384615384615,0.411354118194509,0.411354118194509,155.0,-11.0,
