rank,index,type,%bugs,%effort,F1,y=0.9,y=0.3,
1,5,3-1,0.1396103896103896,0.9363611823457957,0.24244986488337378,0.9,0.3,
2,9,4-1,0.19292803970223327,0.9157521339097661,0.3195781065386539,0.9,0.3,
3,13,5-1,0.21825396825396826,0.8946901673872076,0.34539767288220147,0.9,0.3,
4,17,6-1,0.2788888888888889,0.8760753643796658,0.416829667607832,0.9,0.3,
5,21,7-1,0.2916666666666667,0.85604017975152,0.4374348578830548,0.9,0.3,
6,25,8-1,0.36038961038961037,0.8354744911445943,0.48238590610031795,0.9,0.3,
7,29,9-1,0.3798076923076923,0.8149088025376685,0.5163966471726943,0.9,0.3,
8,1,10-1,0.42105263157894735,0.7943431139307429,0.5369244960525246,0.9,0.3,
9,6,3-2,0.8846153846153846,0.4733887240356083,0.5106946561366741,0.9,0.3,
10,10,4-2,0.9107142857142857,0.4195486990559521,0.4699038021756612,0.9,0.3,
11,7,3-3,0.9285714285714286,0.41846153846153844,0.48045030003712075,0.9,0.3,
12,11,4-3,0.9285714285714286,0.36447500838644753,0.42643781491748534,0.9,0.3,
13,2,10-2,0.9320276497695852,0.22680412371134018,0.3648655380686009,0.9,0.3,
14,14,5-2,0.9348739495798319,0.36193834900731453,0.47036957970459203,0.9,0.3,
15,18,6-2,0.9348739495798319,0.33009089835910754,0.4769468455042226,0.9,0.3,
16,15,5-3,0.9354838709677419,0.3272202278757609,0.45903524168382637,0.9,0.3,
17,22,7-2,0.9411764705882353,0.30299054204134274,0.4392740305169338,0.9,0.3,
18,8,3-4,0.9444444444444444,0.3369028819581524,0.4747584044416205,0.9,0.3,
19,27,8-3,0.9444444444444444,0.1979900262667022,0.32658676435454326,0.9,0.3,
20,19,6-3,0.9451951951951951,0.2840677966101695,0.42834290062016206,0.9,0.3,
21,12,4-4,0.9473684210526315,0.2396278121215984,0.38381971878849663,0.9,0.3,
22,26,8-2,0.9505494505494505,0.267359946326736,0.4112837419164692,0.9,0.3,
23,23,7-3,0.9511904761904761,0.25757575757575757,0.4045444565483579,0.9,0.3,
24,31,9-3,0.9511904761904761,0.18918918918918914,0.3181818181818181,0.9,0.3,
25,30,9-2,0.9553571428571428,0.23877083598422194,0.37798822524024145,0.9,0.3,
26,3,10-3,0.957427536231884,0.09090909090909094,0.16666666666666674,0.9,0.3,
27,32,9-4,0.957427536231884,0.056451612903225756,0.10668055060929338,0.9,0.3,
28,4,10-4,0.9629629629629629,0.052098932418723765,0.09848229633660721,0.9,0.3,
29,16,5-4,0.9629629629629629,0.21737143660585612,0.351310330871193,0.9,0.3,
30,20,6-4,0.9682459677419355,0.17806505421184315,0.2975897519668234,0.9,0.3,
31,28,8-4,0.9714052287581699,0.05119692468984799,0.09712013277044951,0.9,0.3,
32,24,7-4,0.9718253968253968,0.0981443783275916,0.17874302038696274,0.9,0.3,
