rank,index,type,%bug,%reducedCost,F1,y=0.9,y=0.3,x1,x2,y
1,3,3,0.84,0.542009401,0.476643808,0.9,0.3,5,8,0
2,4,4,0.875,0.506269776,0.502808371,0.9,0.3,5,8,0.05
3,5,5,0.878676471,0.491981074,0.527907476,0.9,0.3,5,8,0.1
4,6,6,0.882352941,0.450913925,0.529021056,0.9,0.3,5,8,0.15
5,7,7,0.890873016,0.435483871,0.495628936,0.9,0.3,5,8,0.2
6,8,8,0.928571429,0.389312977,0.499621785,0.9,0.3,5,8,0.25
7,9,9,0.918333333,0.4,0.50684043,0.9,0.3,5,8,0.3
8,10,10,0.90625,0.415384615,0.498312951,0.9,0.3,5,8,0.35
9,11,11,0.9375,0.304132134,0.41748366,0.9,0.3,5,8,0.4
10,12,12,0.939338235,0.285034288,0.423956585,0.9,0.3,5,8,0.45
11,13,13,0.944444444,0.253146111,0.395964339,0.9,0.3,5,8,0.5
12,14,14,0.933333333,0.271819646,0.41344554,0.9,0.3,5,8,0.55
13,15,15,0.944444444,0.22737265,0.364347504,0.9,0.3,5,8,0.6
14,16,16,0.951190476,0.197765363,0.325387986,0.9,0.3,5,8,0.65
15,17,17,0.951190476,0.174757282,0.293921621,0.9,0.3,5,8,0.7
16,18,18,0.947222222,0.150692937,0.260706938,0.9,0.3,5,8,0.75
17,19,19,0.941176471,0.144144144,0.249721293,0.9,0.3,5,8,0.8
18,20,20,0.941176471,0.145299145,0.252667349,0.9,0.3,5,8,0.85
19,21,21,0.928571429,0.168316832,0.281040532,0.9,0.3,5,8,0.9
20,22,22,0.934408602,0.137254902,0.23670818,0.9,0.3,5,8,0.95
21,23,23,0.925824176,0.151279956,0.259550492,0.9,0.3,5,8,1
22,24,24,0.928571429,0.145032632,0.251629423,0.9,0.3,5,8,1.05
23,25,25,0.928571429,0.117647059,0.208966862,0.9,0.3,5,8,1.1
24,26,26,0.911067194,0.12605042,0.192311614,0.9,0.3,5,8,1.15
25,27,27,0.907375643,0.129032258,0.192075239,0.9,0.3,5,8,1.2
26,28,28,0.923076923,0.127717391,0.175585407,0.9,0.3,5,8,1.25
27,29,29,0.913043478,0.121212121,0.156947716,0.9,0.3,5,8,1.3
28,30,30,0.888888889,0.134375223,0.14153601,0.9,0.3,5,8,1.35
29,31,31,0.8775,0.164040722,0.132068494,0.9,0.3,5,8,1.4
30,32,32,0.875,0.163094695,0.114486382,0.9,0.3,5,8,1.45
