rank,index,type,%bug,%reducedCost,F1,y=0.9,y=0.3,x1,x2,y
1,13,13,0.826086957,0.624196725,0.650445055,0.9,0.3,5,15,0
2,14,14,0.851851852,0.60473789,0.645092031,0.9,0.3,5,15,0.05
3,15,15,0.857142857,0.593348155,0.640740128,0.9,0.3,5,15,0.1
4,16,16,0.862407032,0.579732373,0.638885058,0.9,0.3,5,15,0.15
5,17,17,0.88,0.55102916,0.635116368,0.9,0.3,5,15,0.2
6,18,18,0.902080745,0.512298907,0.626055113,0.9,0.3,5,15,0.25
7,19,19,0.907368421,0.500626566,0.613008762,0.9,0.3,5,15,0.3
8,20,20,0.91547619,0.484536082,0.600803274,0.9,0.3,5,15,0.35
9,21,21,0.926377597,0.453835227,0.575464895,0.9,0.3,5,15,0.4
10,22,22,0.934057971,0.420168067,0.56000655,0.9,0.3,5,15,0.45
11,23,23,0.945906433,0.398968112,0.536216564,0.9,0.3,5,15,0.5
12,24,24,0.952272727,0.366648511,0.526054957,0.9,0.3,5,15,0.55
13,25,25,0.958333333,0.35955984,0.517118364,0.9,0.3,5,15,0.6
14,26,26,0.962250712,0.35230611,0.506475273,0.9,0.3,5,15,0.65
15,27,27,0.970588235,0.346404707,0.5,0.9,0.3,5,15,0.7
16,28,28,0.9775,0.340173183,0.487003222,0.9,0.3,5,15,0.75
17,29,29,1,0.294416244,0.447079751,0.9,0.3,5,15,0.8
18,30,30,1,0.270610404,0.420647454,0.9,0.3,5,15,0.85
19,31,31,1,0.257159101,0.404114138,0.9,0.3,5,15,0.9
20,32,32,1,0.237108262,0.382110479,0.9,0.3,5,15,0.95
21,33,33,1,0.221870605,0.363165332,0.9,0.3,5,15,1
22,34,34,1,0.210798003,0.348187486,0.9,0.3,5,15,1.05
23,35,35,1,0.195662241,0.32728647,0.9,0.3,5,15,1.1
24,36,36,1,0.184610587,0.311592118,0.9,0.3,5,15,1.15
25,37,37,1,0.175723084,0.298911511,0.9,0.3,5,15,1.2
26,38,38,1,0.158823529,0.274111675,0.9,0.3,5,15,1.25
27,39,39,1,0.152358143,0.263929804,0.9,0.3,5,15,1.3
28,40,40,1,0.144869007,0.25255565,0.9,0.3,5,15,1.35
29,41,41,1,0.136874498,0.240786749,0.9,0.3,5,15,1.4
30,42,42,1,0.118881119,0.2125,0.9,0.3,5,15,1.45
