capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,15,35,50,0,87,127,30,
28,18,35,58,131,64,146,41,
35,19,35,49,105,67,147,47,
42,21,35,39,72,54,102,51,
49,23,35,45,93,90,1138,61,
56,24,35,37,58,50,78,56,
63,26,35,36,47,39,45,51,
70,26,35,32,34,32,33,39,
77,27,35,32,34,32,33,39,
84,27,35,30,35,33,36,42,
91,27,35,29,31,31,32,37,
98,29,35,32,34,34,36,41,
105,29,35,31,35,36,41,47,
112,32,35,35,40,41,45,52,
119,32,35,34,36,36,37,43,
126,32,35,33,35,35,36,41,
133,32,35,33,34,33,33,33,
140,32,35,32,32,33,33,30,
147,32,35,32,32,33,33,33,
154,33,35,33,35,36,39,45,
161,33,35,33,35,36,39,45,
168,33,35,33,35,36,38,44,
175,33,35,33,33,34,33,32,
182,33,35,33,33,33,33,32,
189,34,35,34,34,34,34,30,
196,34,35,34,34,34,34,32,
203,34,35,34,34,34,34,36,
210,34,35,34,34,34,34,36,
217,34,35,34,34,34,35,39,
224,34,35,34,34,34,34,38,
231,34,35,34,34,34,34,37,
238,34,35,34,34,34,34,37,
245,35,35,35,35,36,37,40,
252,35,35,35,35,35,35,38,
259,35,35,35,34,35,35,36,
266,35,35,35,34,35,35,34,
273,35,35,35,34,35,35,34,
280,35,35,35,34,35,35,34,
