capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,10,22,16,150,25,34,17,
28,12,22,16,41,33,44,24,
35,15,22,20,32,25,61,30,
42,18,22,23,27,24,31,32,
49,18,22,20,21,20,21,25,
56,19,22,20,20,20,21,22,
63,20,22,21,23,24,29,30,
70,20,22,20,21,21,24,26,
77,21,22,22,23,23,26,29,
84,21,22,21,21,22,23,25,
91,22,22,22,24,24,34,31,
98,22,22,22,22,22,22,21,
105,22,22,22,22,22,22,22,
112,22,22,22,22,22,22,24,
119,22,22,22,22,22,22,23,
126,22,22,22,22,22,22,22,
133,22,22,22,21,22,22,19,
140,22,22,22,21,22,22,19,
147,22,22,22,21,22,22,22,
154,22,22,22,21,22,22,21,
