capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,6,37,8,485,10,14,10,
28,7,37,9,17,10,15,12,
35,7,37,10,14,10,15,14,
42,11,37,16,15,14,18,20,
49,15,37,25,29,25,36,33,
56,18,37,29,28,26,30,35,
63,18,37,26,24,22,23,28,
70,22,37,34,33,32,37,43,
77,24,37,34,32,31,33,40,
84,24,37,34,32,31,33,40,
91,25,37,34,34,33,35,43,
98,26,37,36,36,35,38,47,
105,28,37,35,38,36,38,46,
112,29,37,34,37,37,40,48,
119,30,37,35,37,35,36,42,
126,30,37,34,38,36,37,44,
133,31,37,37,41,38,40,48,
140,32,37,37,42,39,41,49,
147,33,37,36,39,37,37,35,
154,34,37,38,39,38,39,40,
161,35,37,38,40,38,38,34,
168,36,37,40,42,39,40,36,
175,37,37,40,43,41,42,45,
182,37,37,40,43,40,41,43,
189,37,37,40,42,40,41,45,
196,37,37,39,41,40,41,46,
203,37,37,39,41,40,41,46,
210,37,37,39,41,39,39,40,
217,37,37,38,39,38,38,27,
224,37,37,38,38,38,37,28,
231,37,37,38,38,38,37,28,
238,37,37,38,37,37,37,29,
245,37,37,37,37,37,37,28,
252,37,37,37,38,37,37,30,
259,37,37,37,37,37,37,30,
266,37,37,37,37,37,37,24,
273,37,37,37,37,37,37,34,
280,37,37,37,37,37,37,41,
287,37,37,37,37,37,38,48,
294,37,37,37,37,37,37,41,
301,37,37,37,37,37,37,45,
308,37,37,37,37,37,37,44,
315,37,37,37,37,37,37,44,
