capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,14,58,31,73,26,67,25,
28,17,58,35,54,37,59,35,
35,20,58,33,49,38,57,42,
42,22,58,38,63,55,144,52,
49,23,58,34,40,36,44,46,
56,26,58,38,46,44,56,55,
63,28,58,40,44,42,47,54,
70,31,58,43,44,42,45,54,
77,31,58,41,41,40,44,53,
84,32,58,40,41,40,43,52,
91,34,58,43,44,44,47,56,
98,37,58,46,49,49,51,61,
105,39,58,48,53,53,57,69,
112,43,58,54,58,59,64,77,
119,45,58,56,60,60,64,77,
126,47,58,56,62,67,75,88,
133,48,58,58,68,76,92,98,
140,48,58,57,64,70,79,91,
147,49,58,57,64,65,70,84,
154,50,58,57,62,65,69,83,
161,50,58,56,62,62,64,76,
168,50,58,57,62,62,64,76,
175,50,58,56,59,59,60,68,
182,50,58,55,57,56,57,61,
189,51,58,55,57,56,57,57,
196,51,58,55,57,55,56,54,
203,52,58,56,58,58,59,64,
210,52,58,55,57,56,56,56,
217,53,58,56,58,57,57,55,
224,53,58,56,58,57,57,56,
231,53,58,56,59,57,57,55,
238,53,58,56,59,57,58,59,
245,53,58,55,57,56,56,50,
252,54,58,56,58,57,57,53,
259,55,58,57,59,58,58,54,
266,56,58,58,62,60,61,61,
273,56,58,58,61,60,61,64,
280,56,58,58,61,59,60,57,
287,57,58,59,62,61,61,63,
294,57,58,59,62,61,61,62,
301,57,58,59,62,61,61,61,
308,57,58,59,62,61,62,64,
315,57,58,58,62,61,61,65,
322,57,58,58,62,61,62,68,
329,57,58,58,62,61,62,68,
336,57,58,58,61,62,64,74,
343,57,58,58,61,61,62,72,
350,57,58,58,61,62,64,76,
357,57,58,58,60,60,61,69,
364,57,58,57,60,60,61,69,
371,57,58,57,60,59,60,66,
378,57,58,57,60,59,60,66,
385,57,58,57,60,60,60,68,
392,57,58,57,60,60,61,71,
399,58,58,58,61,62,64,74,
406,58,58,58,61,62,64,74,
413,58,58,58,61,62,64,73,
420,58,58,58,61,60,61,67,
427,58,58,58,59,59,60,60,
434,58,58,58,59,58,58,49,
441,58,58,58,59,58,58,49,
448,58,58,58,59,58,58,49,
455,58,58,58,59,58,58,52,
462,58,58,58,59,58,58,52,
469,58,58,58,59,58,58,55,
