capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,15,46,41,30,26,39,26,
28,16,46,28,45,30,126,31,
35,16,46,21,30,26,62,31,
42,20,46,27,40,38,156,42,
49,23,46,31,39,36,47,46,
56,26,46,35,45,49,97,56,
63,29,46,37,44,42,49,55,
70,32,46,42,50,50,59,63,
77,34,46,42,48,46,50,60,
84,35,46,43,49,49,56,64,
91,35,46,40,44,42,45,53,
98,35,46,39,43,43,48,56,
105,37,46,42,45,45,48,57,
112,38,46,43,48,48,51,60,
119,39,46,44,48,46,47,54,
126,40,46,44,50,50,53,63,
133,41,46,45,49,48,49,56,
140,41,46,44,47,45,46,48,
147,41,46,44,47,45,46,50,
154,42,46,44,48,47,48,57,
161,42,46,44,47,46,47,53,
168,42,46,43,44,43,43,37,
175,43,46,44,46,44,44,39,
182,43,46,44,46,44,45,44,
189,43,46,44,46,44,45,43,
196,44,46,45,47,46,47,53,
203,44,46,45,47,45,45,42,
210,44,46,45,46,45,45,44,
217,44,46,44,45,45,45,41,
224,44,46,44,45,45,45,40,
231,45,46,45,46,46,46,47,
238,45,46,45,46,46,46,50,
245,45,46,45,46,46,47,53,
252,45,46,45,46,46,47,52,
259,46,46,46,47,47,48,53,
266,46,46,46,46,46,46,46,
273,46,46,46,46,46,46,45,
280,46,46,46,46,46,46,42,
287,46,46,46,46,46,46,46,
294,46,46,46,46,46,46,48,
301,46,46,46,46,46,46,47,
308,46,46,46,46,46,46,47,
315,46,46,46,46,46,46,44,
322,46,46,46,46,46,46,42,
329,46,46,46,46,46,46,42,
336,46,46,46,46,46,46,41,
343,46,46,46,45,46,46,39,
350,46,46,46,45,46,46,39,
357,46,46,46,45,46,46,39,
364,46,46,46,45,46,46,39,
371,46,46,46,45,46,46,39,
