capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,16,27,36,26,25,34,27,
28,16,27,26,36,25,44,29,
35,17,27,24,26,22,25,29,
42,20,27,28,34,27,30,35,
49,20,27,25,32,26,28,33,
56,21,27,24,31,26,30,35,
63,23,27,27,33,30,34,39,
70,23,27,25,26,25,25,27,
77,24,27,26,29,27,30,34,
84,26,27,28,34,33,41,44,
91,26,27,28,33,34,44,45,
98,26,27,27,32,30,33,38,
105,26,27,27,30,30,36,39,
112,26,27,27,29,28,29,33,
119,26,27,26,29,28,29,33,
126,26,27,26,28,27,27,27,
133,26,27,26,27,26,26,23,
140,26,27,26,27,26,26,28,
147,27,27,27,28,28,30,34,
154,27,27,27,28,27,28,31,
161,27,27,27,27,27,27,25,
168,27,27,27,27,27,27,28,
175,27,27,27,27,27,27,27,
182,27,27,27,27,27,27,26,
189,27,27,27,27,27,27,30,
