capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,0,25,0,0,0,0,0,
28,0,25,0,0,0,0,0,
35,1,25,0,0,1,1,3,
42,3,25,3,3,3,3,3,
49,4,25,4,5,4,5,5,
56,6,25,8,7,7,7,8,
63,11,25,18,15,13,14,16,
70,11,25,16,16,14,17,20,
77,11,25,14,14,13,14,16,
84,14,25,20,24,20,26,29,
91,16,25,24,31,30,53,39,
98,16,25,20,21,19,21,25,
105,19,25,24,25,25,27,34,
112,19,25,23,25,23,24,28,
119,21,25,24,25,24,25,27,
126,22,25,26,26,25,26,28,
133,24,25,28,30,28,29,30,
140,24,25,27,30,28,29,34,
147,24,25,27,28,28,29,34,
154,25,25,27,30,30,31,38,
161,25,25,27,28,28,29,32,
168,25,25,26,26,26,26,22,
175,25,25,26,26,26,26,21,
182,25,25,26,26,26,26,21,
189,25,25,25,25,25,25,18,
