capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,13,34,40,210,32,73,24,
28,17,34,35,64,37,173,35,
35,18,34,26,28,24,30,32,
42,19,34,28,33,28,40,37,
49,20,34,25,26,24,26,31,
56,22,34,27,26,26,27,30,
63,24,34,30,30,28,30,35,
70,26,34,31,33,30,31,32,
77,26,34,30,30,28,28,25,
84,28,34,32,32,31,31,27,
91,29,34,33,34,32,32,28,
98,30,34,34,35,33,33,32,
105,30,34,33,33,31,31,21,
112,30,34,32,32,31,31,25,
119,30,34,32,32,31,31,23,
126,30,34,31,32,31,31,21,
133,31,34,33,33,32,32,19,
140,31,34,32,32,32,31,20,
147,31,34,32,31,31,31,17,
154,32,34,33,33,33,32,23,
161,32,34,32,32,32,32,23,
168,32,34,32,32,32,32,21,
175,32,34,32,32,32,32,20,
182,32,34,32,32,32,32,21,
189,32,34,32,32,32,32,20,
196,32,34,32,32,32,32,26,
203,33,34,33,33,33,33,27,
210,33,34,33,33,33,33,30,
217,33,34,33,33,33,33,30,
224,34,34,34,35,35,35,37,
231,34,34,34,34,34,34,34,
238,34,34,34,34,34,34,29,
245,34,34,34,34,34,34,28,
252,34,34,34,34,34,34,34,
259,34,34,34,34,34,34,37,
266,34,34,34,34,34,34,37,
273,34,34,34,34,34,34,37,
