capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,0,24,0,0,0,0,0,
28,0,24,0,0,0,0,0,
35,0,24,0,0,0,0,0,
42,0,24,0,0,0,0,0,
49,0,24,0,0,0,0,0,
56,0,24,0,0,0,0,0,
63,3,24,2,0,6,7,10,
70,8,24,15,18,13,17,19,
77,12,24,20,21,18,22,26,
84,14,24,20,22,20,26,29,
91,15,24,18,19,17,18,20,
98,19,24,24,26,25,27,32,
105,21,24,26,32,34,41,44,
112,22,24,26,33,35,42,45,
119,22,24,24,25,25,26,27,
126,24,24,26,29,28,30,35,
133,24,24,26,28,27,28,29,
140,24,24,25,27,26,27,26,
147,24,24,25,25,25,25,22,
154,24,24,24,25,25,26,27,
161,24,24,24,24,24,24,20,
168,24,24,24,24,24,25,28,
175,24,24,24,24,24,24,25,
