capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,0,23,0,0,0,0,0,
28,0,23,0,0,0,0,0,
35,0,23,0,0,0,0,0,
42,0,23,0,0,0,0,0,
49,0,23,0,0,0,0,0,
56,0,23,0,0,0,0,0,
63,5,23,6,0,14,17,17,
70,9,23,18,28,18,43,24,
77,13,23,21,28,24,39,32,
84,15,23,19,19,18,20,24,
91,16,23,19,21,21,28,30,
98,18,23,21,24,24,30,34,
105,18,23,20,20,19,20,18,
112,19,23,21,23,21,22,23,
119,20,23,21,22,21,22,20,
126,22,23,24,25,24,25,25,
133,22,23,23,25,25,26,30,
140,23,23,24,26,24,25,23,
147,23,23,24,25,25,26,28,
154,23,23,23,24,24,25,29,
161,23,23,23,23,23,23,23,
