capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,15,22,26,31,21,27,24,
28,18,22,30,37,26,46,32,
35,18,22,23,23,21,23,27,
42,19,22,21,22,21,21,23,
49,19,22,20,19,19,19,15,
56,20,22,21,22,21,21,21,
63,21,22,21,21,21,21,17,
70,21,22,21,21,21,21,15,
77,21,22,21,21,21,21,17,
84,21,22,21,21,21,21,20,
91,22,22,22,22,22,22,22,
98,22,22,22,22,22,23,24,
105,22,22,22,22,22,25,26,
112,22,22,22,21,22,22,16,
119,22,22,22,21,22,22,16,
126,22,22,22,21,22,22,22,
133,22,22,22,21,22,22,22,
140,22,22,22,21,22,22,20,
147,22,22,22,21,22,22,20,
154,22,22,22,22,22,22,23,
