capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,11,27,13,13,13,17,17,
28,12,27,14,14,14,15,18,
35,13,27,14,14,14,14,15,
42,19,27,33,28,24,30,34,
49,20,27,31,27,25,30,33,
56,22,27,42,28,27,29,34,
63,22,27,36,25,24,25,27,
70,22,27,25,25,26,31,34,
77,23,27,25,26,27,32,35,
84,23,27,25,26,26,36,36,
91,24,27,26,28,29,40,39,
98,25,27,27,27,28,38,39,
105,25,27,26,27,30,68,41,
112,25,27,27,27,28,48,39,
119,26,27,28,28,28,31,36,
126,27,27,31,29,30,33,38,
133,27,27,30,29,30,32,37,
140,27,27,29,28,28,29,32,
147,27,27,28,27,28,28,29,
154,27,27,28,27,28,28,28,
161,27,27,28,27,28,28,28,
168,27,27,28,27,28,28,27,
175,27,27,27,27,28,28,29,
182,27,27,27,27,27,28,29,
189,27,27,27,27,27,27,27,
196,27,27,27,27,27,27,27,
203,27,27,27,27,27,27,26,
210,27,27,27,27,27,27,26,
217,27,27,27,27,27,27,26,
