capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,10,31,24,14,13,18,16,
28,12,31,20,22,18,25,24,
35,14,31,50,25,21,26,28,
42,15,31,24,24,21,26,29,
49,16,31,24,23,21,24,29,
56,17,31,22,26,25,32,34,
63,18,31,23,26,25,29,34,
70,20,31,33,32,29,33,38,
77,21,31,30,26,26,28,33,
84,23,31,32,26,26,27,29,
91,25,31,36,30,29,31,36,
98,25,31,30,29,28,29,34,
105,25,31,29,27,28,28,32,
112,26,31,30,30,30,34,41,
119,26,31,30,31,30,34,41,
126,26,31,28,29,29,32,39,
133,26,31,28,29,29,32,39,
140,27,31,30,30,30,31,38,
147,28,31,31,33,32,36,45,
154,28,31,31,33,35,46,50,
161,28,31,30,32,32,36,45,
168,28,31,29,31,31,33,41,
175,30,31,31,34,33,35,43,
182,30,31,31,33,32,33,38,
189,30,31,31,33,32,33,37,
196,30,31,31,34,32,33,36,
203,30,31,31,34,32,33,39,
210,30,31,32,34,32,33,39,
217,30,31,32,34,32,33,39,
224,31,31,33,35,33,34,38,
231,31,31,33,34,32,33,35,
238,31,31,33,34,32,33,35,
245,31,31,33,35,32,33,35,
252,31,31,33,35,32,33,35,
259,31,31,33,35,32,33,35,
266,31,31,33,36,32,33,35,
