capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,13,54,25,321,28,63,23,
28,16,54,32,38,27,50,31,
35,16,54,32,35,27,45,33,
42,19,54,64,41,36,71,42,
49,20,54,80,42,37,56,44,
56,21,54,56,49,35,45,44,
63,23,54,38,40,31,33,40,
70,26,54,41,52,40,45,52,
77,29,54,50,52,45,53,59,
84,34,54,66,74,62,76,76,
91,38,54,71,84,74,95,89,
98,39,54,68,67,58,65,77,
105,40,54,65,58,51,53,64,
112,40,54,62,49,45,46,44,
119,40,54,55,45,43,43,28,
126,42,54,53,47,45,45,30,
133,43,54,52,46,45,45,18,
140,44,54,54,49,47,47,34,
147,45,54,56,50,48,48,41,
154,46,54,54,49,48,48,40,
161,46,54,54,48,47,48,39,
168,48,54,53,50,49,49,39,
175,48,54,53,50,49,49,38,
182,48,54,53,50,49,49,43,
189,48,54,53,50,49,49,41,
196,48,54,52,49,49,49,33,
203,48,54,51,49,49,49,37,
210,48,54,50,48,48,48,24,
217,50,54,52,50,50,50,20,
224,51,54,53,51,51,51,29,
231,51,54,53,51,51,51,38,
238,51,54,52,51,51,51,44,
245,51,54,52,51,51,51,43,
252,52,54,53,52,52,52,41,
259,53,54,54,54,54,53,48,
266,53,54,54,54,54,53,47,
273,54,54,55,54,54,54,38,
280,54,54,54,54,54,54,46,
287,54,54,54,54,54,54,49,
294,54,54,54,54,54,54,52,
301,54,54,54,54,54,54,52,
308,54,54,54,54,54,54,55,
315,54,54,54,54,54,54,58,
322,54,54,54,54,54,54,62,
329,54,54,54,54,54,54,65,
336,54,54,54,54,54,54,64,
343,54,54,54,54,54,54,62,
350,54,54,54,54,54,54,56,
357,54,54,54,54,54,54,55,
364,54,54,54,54,54,54,57,
371,54,54,54,54,54,55,65,
378,54,54,54,54,54,55,65,
385,54,54,54,54,54,55,64,
392,54,54,54,53,54,54,62,
399,54,54,54,53,54,54,61,
406,54,54,54,53,54,54,61,
413,54,54,54,53,54,54,61,
420,54,54,54,53,54,54,61,
427,54,54,54,53,54,54,61,
