capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,6,51,0,1296,10,18,11,
28,13,51,42,423,52,85,31,
35,19,51,78,156,69,371,49,
42,25,51,169,138,87,181,67,
49,26,51,69,63,54,88,62,
56,29,51,57,62,56,77,67,
63,29,51,46,67,53,68,65,
70,30,51,37,52,43,48,57,
77,30,51,35,43,37,39,46,
84,33,51,41,47,40,42,47,
91,36,51,43,52,44,45,51,
98,37,51,44,48,43,44,48,
105,37,51,41,44,40,41,39,
112,38,51,42,43,40,40,30,
119,40,51,43,45,42,42,32,
126,41,51,45,44,43,43,31,
133,42,51,47,47,45,45,39,
140,44,51,50,51,49,49,49,
147,44,51,49,52,49,50,51,
154,44,51,48,50,50,51,56,
161,44,51,48,50,48,48,48,
168,45,51,48,51,50,51,56,
175,46,51,50,51,50,51,53,
182,46,51,49,50,48,48,41,
189,46,51,49,50,48,49,47,
196,47,51,50,51,51,53,60,
203,50,51,53,54,55,56,63,
210,51,51,54,56,55,56,60,
217,51,51,54,56,56,57,61,
224,51,51,53,56,56,57,61,
231,51,51,53,56,56,58,64,
238,51,51,53,56,55,56,62,
245,51,51,53,54,54,55,59,
252,51,51,52,53,53,53,50,
259,51,51,52,52,52,52,44,
266,51,51,52,52,52,52,47,
273,51,51,52,52,52,52,47,
280,51,51,52,52,52,52,49,
287,51,51,52,52,51,51,49,
294,51,51,52,52,52,51,52,
301,51,51,52,52,52,51,52,
308,51,51,52,51,51,51,53,
315,51,51,52,51,51,51,51,
322,51,51,52,51,51,51,51,
329,51,51,51,51,51,51,54,
336,51,51,51,51,51,51,52,
343,51,51,51,51,51,51,50,
350,51,51,52,51,51,51,50,
357,51,51,52,51,51,51,50,
364,51,51,52,51,51,51,54,
371,51,51,52,51,51,51,54,
378,51,51,51,51,51,51,53,
385,51,51,51,51,51,51,53,
392,51,51,51,51,51,51,51,
399,51,51,51,50,51,51,49,
406,51,51,51,50,51,51,48,
413,51,51,51,50,51,51,48,
