capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,12,28,36,15,14,15,17,
28,15,28,24,17,17,17,20,
35,17,28,24,21,20,21,24,
42,18,28,22,22,21,22,25,
49,19,28,23,22,22,23,26,
56,19,28,21,23,21,22,24,
63,21,28,23,26,25,27,31,
70,24,28,30,33,31,34,39,
77,24,28,27,28,26,27,28,
84,24,28,27,26,26,27,28,
91,24,28,27,26,26,27,29,
98,24,28,28,24,25,25,22,
105,26,28,31,28,30,33,37,
112,27,28,30,27,28,28,29,
119,27,28,30,27,28,27,25,
126,27,28,28,27,27,27,21,
133,27,28,28,27,27,27,23,
140,27,28,28,27,27,27,25,
147,27,28,27,27,27,27,28,
154,27,28,27,27,27,27,28,
161,28,28,28,28,28,28,29,
168,28,28,28,28,28,28,31,
175,28,28,28,28,28,28,30,
182,28,28,28,28,28,28,28,
189,28,28,28,27,28,28,26,
196,28,28,28,27,28,28,26,
