capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,10,32,17,49,14,19,16,
28,11,32,20,18,14,20,18,
35,14,32,23,20,17,20,23,
42,19,32,28,32,27,40,37,
49,21,32,33,30,28,31,36,
56,22,32,36,32,26,28,32,
63,22,32,28,28,25,26,30,
70,23,32,25,27,25,25,24,
77,24,32,25,26,25,25,16,
84,25,32,26,27,27,27,29,
91,26,32,27,28,28,29,33,
98,27,32,28,30,30,34,39,
105,28,32,29,30,31,34,39,
112,28,32,29,30,32,37,41,
119,28,32,28,30,30,31,35,
126,28,32,29,28,29,30,32,
133,28,32,29,28,29,30,30,
140,29,32,30,29,29,29,23,
147,29,32,29,29,29,29,21,
154,29,32,29,29,29,29,23,
161,29,32,29,29,29,29,21,
168,29,32,29,29,29,29,21,
175,30,32,30,30,30,30,27,
182,30,32,30,30,30,30,27,
189,31,32,31,31,31,31,25,
196,31,32,31,31,31,31,22,
203,31,32,31,31,31,31,27,
210,31,32,31,31,31,31,26,
217,31,32,31,31,31,31,29,
224,31,32,31,31,31,31,32,
231,32,32,32,32,32,32,30,
238,32,32,32,32,32,32,33,
245,32,32,32,32,32,32,33,
252,32,32,32,32,32,32,33,
259,32,32,32,31,32,32,31,
