capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,9,47,8,9,10,12,13,
28,12,47,36,15,15,16,20,
35,14,47,24,16,16,17,20,
42,18,47,30,22,21,22,25,
49,20,47,31,26,24,25,29,
56,22,47,51,29,26,28,31,
63,22,47,32,26,24,25,24,
70,23,47,33,28,26,28,30,
77,24,47,36,30,28,30,32,
84,28,47,46,38,35,36,42,
91,31,47,51,46,43,47,57,
98,31,47,44,44,43,47,57,
105,31,47,44,45,44,51,60,
112,32,47,46,50,49,58,66,
119,32,47,46,49,49,56,64,
126,33,47,48,47,47,51,61,
133,34,47,51,51,50,55,65,
140,35,47,50,53,55,64,72,
147,35,47,48,49,47,51,62,
154,35,47,42,46,45,47,57,
161,36,47,42,47,48,53,64,
168,37,47,41,48,48,51,62,
175,37,47,41,44,44,46,54,
182,39,47,44,48,47,48,55,
189,39,47,43,44,44,45,48,
196,39,47,42,44,43,44,43,
203,40,47,44,45,44,44,41,
210,41,47,47,46,45,46,46,
217,41,47,45,45,43,43,35,
224,41,47,45,43,43,43,44,
231,41,47,44,43,44,44,47,
238,43,47,48,47,47,49,58,
245,43,47,48,47,47,48,56,
252,43,47,47,47,47,48,55,
259,43,47,46,47,48,50,62,
266,44,47,46,49,50,51,64,
273,44,47,46,49,50,51,61,
280,44,47,46,49,51,55,68,
287,44,47,46,47,49,51,60,
294,44,47,46,47,51,56,67,
301,45,47,47,49,56,67,75,
308,45,47,47,49,54,62,72,
315,46,47,48,50,57,67,75,
322,47,47,49,53,60,71,77,
329,47,47,49,53,65,89,81,
336,47,47,50,53,65,88,81,
343,47,47,49,52,58,67,75,
350,47,47,49,52,58,66,75,
357,47,47,49,52,58,66,75,
364,47,47,48,51,54,57,67,
371,47,47,48,51,54,57,67,
378,47,47,48,51,54,57,65,
385,47,47,48,50,52,53,60,
392,47,47,48,50,54,58,66,
