method,performance
M0,1.854723699
Mth,2.154065923
MtCH,2.607680962
MhCH,2.561249695
MhJK,7.626270386
M0,1.496662955
Mth,1.166190379
MtCH,1.496662955
MhCH,1.6
MhJK,3.666060556
M0,0.979795897
Mth,1.166190379
MtCH,1.095445115
MhCH,3.006659276
MhJK,1.854723699
M0,0.8
Mth,1.095445115
MtCH,1.2
MhCH,1.496662955
MhJK,3.286335345
M0,0.4
Mth,0.8
MtCH,0.632455532
MhCH,0.979795897
MhJK,2.315167381
M0,1.624807681
Mth,1.939071943
MtCH,2
MhCH,2.497999199
MhJK,5.16139516
M0,0
Mth,1.469693846
MtCH,2.939387691
MhCH,3.42928564
MhJK,2.449489743
M0,1.095445115
Mth,0.979795897
MtCH,0.979795897
MhCH,1.019803903
MhJK,2.712931993
M0,0.8
Mth,1.356465997
MtCH,1.2
MhCH,4.270831301
MhJK,3.487119155
M0,1.264911064
Mth,1.019803903
MtCH,1.624807681
MhCH,1.624807681
MhJK,2.576819745
M0,0.894427191
Mth,1.356465997
MtCH,1.356465997
MhCH,1.788854382
MhJK,4.06939799
M0,0
Mth,1.959591794
MtCH,0.748331477
MhCH,1.2
MhJK,7.155417528
M0,2.154065923
Mth,2.154065923
MtCH,1.720465053
MhCH,2.315167381
MhJK,6.086049622
M0,0.748331477
Mth,3.12409987
MtCH,1.673320053
MhCH,3.611094017
MhJK,3.919183588
M0,1.2
Mth,5.2
MtCH,0.4
MhCH,0.4
MhJK,0
M0,2
Mth,2.416609195
MtCH,2.039607805
MhCH,1.743559577
MhJK,4.955804677
M0,0.748331477
Mth,1.469693846
MtCH,0.748331477
MhCH,1.095445115
MhJK,1.356465997
M0,1.356465997
Mth,1.469693846
MtCH,2.416609195
MhCH,2.416609195
MhJK,9.221713507
M0,2.4
Mth,2.332380758
MtCH,1.496662955
MhCH,2.227105745
MhJK,3.136877428
M0,2.785677655
Mth,3.666060556
MtCH,1.166190379
MhCH,1.743559577
MhJK,2.529822128
M0,0.489897949
Mth,2.039607805
MtCH,0.8
MhCH,1.854723699
MhJK,2
M0,1.2
Mth,2.097617696
MtCH,1.166190379
MhCH,1.939071943
MhJK,4.049691346
M0,1.897366596
Mth,2.497999199
MtCH,2.576819745
MhCH,6.248199741
MhJK,8.921883209
M0,1.095445115
Mth,1.2
MtCH,1.166190379
MhCH,1.166190379
MhJK,4.118252056
M0,1.414213562
Mth,1.414213562
MtCH,1.414213562
MhCH,1.720465053
MhJK,2.75680975
M0,1.469693846
Mth,0.979795897
MtCH,0.489897949
MhCH,1.356465997
MhJK,3.6
M0,1.264911064
Mth,1.743559577
MtCH,1.6
MhCH,1.6
MhJK,1.959591794
M0,0.979795897
Mth,1.743559577
MtCH,1.095445115
MhCH,0.979795897
MhJK,1.673320053
M0,2.561249695
Mth,3.655133376
MtCH,3.655133376
MhCH,4.816637832
MhJK,6.590902821
M0,1.496662955
Mth,1.897366596
MtCH,1.469693846
MhCH,1.496662955
MhJK,1.496662955
M0,2.13541565
Mth,2.059126028
MtCH,2.870540019
MhCH,3.136877428
MhJK,8.508818954
M0,1.720465053
Mth,2.576819745
MtCH,1.788854382
MhCH,3.072458299
MhJK,9.338094024
M0,0.979795897
Mth,1.6
MtCH,1.2
MhCH,1.469693846
MhJK,3.794733192
M0,4.049691346
Mth,2.097617696
MtCH,1.019803903
MhCH,1.6
MhJK,3.42928564
M0,1.496662955
Mth,1.496662955
MtCH,1.166190379
MhCH,0.632455532
MhJK,3.2
M0,0.894427191
Mth,2.039607805
MtCH,1.743559577
MhCH,1.897366596
MhJK,4.578209257
M0,1.264911064
Mth,2.227105745
MtCH,1.673320053
MhCH,1.743559577
MhJK,2.332380758
M0,2.712931993
Mth,1.673320053
MtCH,2.039607805
MhCH,1.469693846
MhJK,4.882622246
M0,0.748331477
Mth,0.489897949
MtCH,1.356465997
MhCH,1.854723699
MhJK,2.925747768
M0,1.6
Mth,1.356465997
MtCH,1.854723699
MhCH,1.788854382
MhJK,3.544009029
M0,1.166190379
Mth,2.8
MtCH,3.18747549
MhCH,4.673328578
MhJK,8.294576541
M0,2.039607805
Mth,1.959591794
MtCH,1.264911064
MhCH,2.332380758
MhJK,6.209669879
M0,0.4
Mth,1.166190379
MtCH,0.8
MhCH,2.244994432
MhJK,1.743559577
M0,0.8
Mth,1.166190379
MtCH,3.666060556
MhCH,5.844655678
MhJK,8.064738061
M0,1.720465053
Mth,2.332380758
MtCH,1.854723699
MhCH,3.6
MhJK,6.811754546
M0,0.894427191
Mth,0.4
MtCH,1.019803903
MhCH,1.897366596
MhJK,2.653299832
M0,0.489897949
Mth,0
MtCH,0.489897949
MhCH,0.4
MhJK,2.244994432
M0,1.720465053
Mth,1.326649916
MtCH,1.326649916
MhCH,2.529822128
MhJK,7.745966692
M0,1.019803903
Mth,0.979795897
MtCH,1.019803903
MhCH,1.095445115
MhJK,3.033150178
M0,1.019803903
Mth,2.244994432
MtCH,1.549193338
MhCH,4.445222154
MhJK,3.544009029
M0,2.19089023
Mth,2.966479395
MtCH,3.310589071
MhCH,3.709447398
MhJK,9.516301803
M0,1.2
Mth,2.244994432
MtCH,1.6
MhCH,3.249615362
MhJK,5.878775383
M0,2.315167381
Mth,1.673320053
MtCH,1.939071943
MhCH,1.743559577
MhJK,3.12409987
M0,1.469693846
Mth,1.496662955
MtCH,1.939071943
MhCH,3.655133376
MhJK,8.231646251
M0,0.4
Mth,0
MtCH,0
MhCH,0
MhJK,0
M0,1.897366596
Mth,2.154065923
MtCH,1.939071943
MhCH,1.959591794
MhJK,4.118252056
M0,1.469693846
Mth,1.264911064
MtCH,1.469693846
MhCH,1.469693846
MhJK,3.867815921
M0,1.166190379
Mth,1.019803903
MtCH,0.748331477
MhCH,0.748331477
MhJK,5.535341001
M0,2.449489743
Mth,2.19089023
MtCH,3.033150178
MhCH,8.236504113
MhJK,8.4
M0,0.748331477
Mth,1.624807681
MtCH,3.867815921
MhCH,6.770524352
MhJK,14.04848746
M0,1.356465997
Mth,2.416609195
MtCH,2.638181192
MhCH,2.727636339
MhJK,10.13114011
M0,1.469693846
Mth,1.939071943
MtCH,2.561249695
MhCH,2.561249695
MhJK,7.683749085
M0,2.8
Mth,1.496662955
MtCH,1.019803903
MhCH,1.833030278
MhJK,12.28657804
M0,0
Mth,0.489897949
MtCH,0
MhCH,0.489897949
MhJK,1.469693846
M0,0.979795897
Mth,2.227105745
MtCH,1.264911064
MhCH,1.264911064
MhJK,1.6
M0,1.095445115
Mth,2.856571371
MtCH,5.9126982
MhCH,22.89454083
MhJK,13.5735036
M0,2.993325909
Mth,3.655133376
MtCH,4.53431362
MhCH,4.857983121
MhJK,11.77115118
M0,1.166190379
Mth,5.099019514
MtCH,3.261901286
MhCH,5.268775949
MhJK,7.626270386
M0,1.414213562
Mth,5.099019514
MtCH,3.261901286
MhCH,5.268775949
MhJK,7.626270386
M0,0.894427191
Mth,1.624807681
MtCH,1.356465997
MhCH,1.356465997
MhJK,1.854723699
M0,0.4
Mth,2.154065923
MtCH,3.405877273
MhCH,7.499333304
MhJK,8.694826048
M0,0.489897949
Mth,2.315167381
MtCH,0.894427191
MhCH,9.152048951
MhJK,2.966479395
M0,0.4
Mth,2.315167381
MtCH,0.894427191
MhCH,9.152048951
MhJK,2.966479395
