method,para,performance
M0,Order,0.64084507
Mth,Order,0.887323944
MtCH,Order,0.64084507
MhCH,Order,0.64084507
MhJK,Order,1
M0,Order,0.641666667
Mth,Order,0.991666667
MtCH,Order,0.641666667
MhCH,Order,0.641666667
MhJK,Order,1
M0,Order,0.596412556
Mth,Order,0.659192825
MtCH,Order,0.816143498
MhCH,Order,0.847533632
MhJK,Order,1
M0,Order,0.67961165
Mth,Order,0.951456311
MtCH,Order,0.747572816
MhCH,Order,0.747572816
MhJK,Order,1
M0,Order,0.603448276
Mth,Order,0.965517241
MtCH,Order,0.603448276
MhCH,Order,0.643678161
MhJK,Order,1
M0,Order,0.797794118
Mth,Order,1
MtCH,Order,0.900735294
MhCH,Order,0.900735294
MhJK,Order,1
M0,Order,1
Mth,Order,1
MtCH,Order,1
MhCH,Order,1
MhJK,Order,1
M0,Order,0.668049793
Mth,Order,1
MtCH,Order,0.755186722
MhCH,Order,0.755186722
MhJK,Order,1
M0,Order,0.647058824
Mth,Order,0.647058824
MtCH,Order,0.764705882
MhCH,Order,0.764705882
MhJK,Order,1
M0,Order,0.830508475
Mth,Order,0.988700565
MtCH,Order,0.988700565
MhCH,Order,0.988700565
MhJK,Order,1
M0,Order,0.823529412
Mth,Order,0.882352941
MtCH,Order,0.882352941
MhCH,Order,0.882352941
MhJK,Order,0.941176471
M0,Order,0.802547771
Mth,Order,0.802547771
MtCH,Order,0.802547771
MhCH,Order,0.802547771
MhJK,Order,1
M0,Order,0.872403561
Mth,Order,1
MtCH,Order,0.997032641
MhCH,Order,0.997032641
MhJK,Order,1
M0,Order,0.760869565
Mth,Order,0.760869565
MtCH,Order,0.760869565
MhCH,Order,0.913043478
MhJK,Order,0.913043478
M0,Order,1
Mth,Order,1
MtCH,Order,1
MhCH,Order,1
MhJK,Order,1
M0,Order,0.73006135
Mth,Order,1
MtCH,Order,0.751533742
MhCH,Order,0.73006135
MhJK,Order,1
M0,Order,0.598290598
Mth,Order,0.717948718
MtCH,Order,0.897435897
MhCH,Order,0.897435897
MhJK,Order,1
M0,Order,0.878228782
Mth,Order,1
MtCH,Order,1
MhCH,Order,1
MhJK,Order,1
M0,Order,0.913043478
Mth,Order,0.913043478
MtCH,Order,0.913043478
MhCH,Order,0.973913043
MhJK,Order,1
M0,Order,0.823529412
Mth,Order,0.823529412
MtCH,Order,0.875
MhCH,Order,0.875
MhJK,Order,1
M0,Order,0.496453901
Mth,Order,0.546099291
MtCH,Order,0.794326241
MhCH,Order,0.843971631
MhJK,Order,1
M0,Order,0.886877828
Mth,Order,0.886877828
MtCH,Order,0.886877828
MhCH,Order,0.886877828
MhJK,Order,1
M0,Order,0.633744856
Mth,Order,0.835390947
MtCH,Order,0.835390947
MhCH,Order,0.835390947
MhJK,Order,1
M0,Order,0.71627907
Mth,Order,0.71627907
MtCH,Order,0.71627907
MhCH,Order,0.71627907
MhJK,Order,1
M0,Order,0.809248555
Mth,Order,1
MtCH,Order,0.849710983
MhCH,Order,0.930635838
MhJK,Order,1
M0,Order,0.592307692
Mth,Order,0.592307692
MtCH,Order,0.592307692
MhCH,Order,0.915384615
MhJK,Order,1
M0,Order,0.826771654
Mth,Order,1
MtCH,Order,0.826771654
MhCH,Order,0.826771654
MhJK,Order,1
M0,Order,0.541935484
Mth,Order,1
MtCH,Order,0.406451613
MhCH,Order,0.451612903
MhJK,Order,0.993548387
M0,Order,0.777777778
Mth,Order,1
MtCH,Order,0.861111111
MhCH,Order,0.861111111
