type,thres,value
duration,0.6,1
duration,0.7,2
duration,0.8,3
duration,0.9,4
duration,1,15
duration,0.6,15
duration,0.7,17
duration,0.8,19
duration,0.9,19
duration,1,23
duration,0.6,3
duration,0.7,3
duration,0.8,3
duration,0.9,15
duration,1,24
duration,0.6,2
duration,0.7,2
duration,0.8,5
duration,0.9,21
duration,1,26
duration,0.6,2
duration,0.7,2
duration,0.8,12
duration,0.9,14
duration,1,23
duration,0.6,6
duration,0.7,7
duration,0.8,9
duration,0.9,19
duration,1,66
duration,0.6,10
duration,0.7,23
duration,0.8,29
duration,0.9,45
duration,1,45
duration,0.6,3
duration,0.7,5
duration,0.8,5
duration,0.9,6
duration,1,16
duration,0.6,4
duration,0.7,4
duration,0.8,4
duration,0.9,14
duration,1,15
duration,0.6,3
duration,0.7,4
duration,0.8,5
duration,0.9,6
duration,1,28
duration,0.6,0
duration,0.7,12
duration,0.8,12
duration,0.9,17
duration,1,56
duration,0.6,0
duration,0.7,0
duration,0.8,5
duration,0.9,5
duration,1,13
duration,0.6,1
duration,0.7,10
duration,0.8,17
duration,0.9,17
duration,1,58
duration,0.6,16
duration,0.7,16
duration,0.8,16
duration,0.9,60
duration,1,61
duration,0.6,7
duration,0.7,7
duration,0.8,7
duration,0.9,7
duration,1,7
duration,0.6,29
duration,0.7,29
duration,0.8,29
duration,0.9,29
duration,1,81
duration,0.6,0
duration,0.7,0
duration,0.8,0
duration,0.9,0
duration,1,0
duration,0.6,13
duration,0.7,13
duration,0.8,38
duration,0.9,38
duration,1,107
duration,0.6,14
duration,0.7,14
duration,0.8,15
duration,0.9,15
duration,1,41
duration,0.6,0
duration,0.7,0
duration,0.8,0
duration,0.9,0
duration,1,36
duration,0.6,0
duration,0.7,0
duration,0.8,0
duration,0.9,0
duration,1,0
duration,0.6,0
duration,0.7,0
duration,0.8,1
duration,0.9,14
duration,1,62
duration,0.6,2
duration,0.7,2
duration,0.8,2
duration,0.9,2
duration,1,2
duration,0.6,4
duration,0.7,4
duration,0.8,5
duration,0.9,5
duration,1,12
duration,0.6,10
duration,0.7,10
duration,0.8,11
duration,0.9,55
duration,1,79
duration,0.6,1
duration,0.7,1
duration,0.8,1
duration,0.9,1
duration,1,3
duration,0.6,72
duration,0.7,72
duration,0.8,73
duration,0.9,73
duration,1,73
duration,0.6,0
duration,0.7,0
duration,0.8,11
duration,0.9,11
duration,1,44
duration,0.6,67
duration,0.7,67
duration,0.8,67
duration,0.9,67
duration,1,68
duration,0.6,3
duration,0.7,19
duration,0.8,20
duration,0.9,47
duration,1,47
duration,0.6,4
duration,0.7,4
duration,0.8,4
duration,0.9,4
duration,1,4
duration,0.6,0
duration,0.7,0
duration,0.8,9
duration,0.9,49
duration,1,49
duration,0.6,0
duration,0.7,0
duration,0.8,0
duration,0.9,15
duration,1,16
duration,0.6,0
duration,0.7,0
duration,0.8,0
duration,0.9,0
duration,1,19
duration,0.6,124
duration,0.7,125
duration,0.8,125
duration,0.9,125
duration,1,125
duration,0.6,0
duration,0.7,0
duration,0.8,0
duration,0.9,1
duration,1,10
duration,0.6,29
duration,0.7,30
duration,0.8,31
duration,0.9,47
duration,1,48
duration,0.6,5
duration,0.7,5
duration,0.8,5
duration,0.9,5
duration,1,22
duration,0.6,7
duration,0.7,7
duration,0.8,7
duration,0.9,7
duration,1,8
duration,0.6,53
duration,0.7,54
duration,0.8,55
duration,0.9,55
duration,1,71
duration,0.6,72
duration,0.7,73
duration,0.8,73
duration,0.9,73
duration,1,89
duration,0.6,86
duration,0.7,87
duration,0.8,87
duration,0.9,90
duration,1,90
duration,0.6,0
duration,0.7,0
duration,0.8,0
duration,0.9,0
duration,1,39
duration,0.6,74
duration,0.7,74
duration,0.8,74
duration,0.9,74
duration,1,75
duration,0.6,50
duration,0.7,50
duration,0.8,50
duration,0.9,74
duration,1,75
duration,0.6,0
duration,0.7,0
duration,0.8,0
duration,0.9,0
duration,1,0
duration,0.6,142
duration,0.7,142
duration,0.8,144
duration,0.9,145
duration,1,146
duration,0.6,10
duration,0.7,10
duration,0.8,10
duration,0.9,10
duration,1,10
duration,0.6,5
duration,0.7,5
duration,0.8,5
duration,0.9,5
duration,1,5
duration,0.6,102
duration,0.7,102
duration,0.8,103
duration,0.9,123
duration,1,124
duration,0.6,88
duration,0.7,88
duration,0.8,89
duration,0.9,89
duration,1,89
duration,0.6,10
duration,0.7,10
duration,0.8,34
duration,0.9,34
duration,1,124
duration,0.6,0
duration,0.7,1
duration,0.8,1
duration,0.9,1
duration,1,265
duration,0.6,80
duration,0.7,80
duration,0.8,80
duration,0.9,80
duration,1,80
duration,0.6,11
duration,0.7,33
duration,0.8,33
duration,0.9,34
duration,1,59
duration,0.6,91
duration,0.7,91
duration,0.8,91
duration,0.9,91
duration,1,91
duration,0.6,51
duration,0.7,51
duration,0.8,52
duration,0.9,56
duration,1,57
duration,0.6,3
duration,0.7,4
duration,0.8,11
duration,0.9,17
duration,1,49
duration,0.6,95
duration,0.7,95
duration,0.8,95
duration,0.9,96
duration,1,96
duration,0.6,14
duration,0.7,14
duration,0.8,14
duration,0.9,19
duration,1,38
duration,0.6,0
duration,0.7,0
duration,0.8,14
duration,0.9,21
duration,1,45
duration,0.6,79
duration,0.7,80
duration,0.8,80
duration,0.9,80
duration,1,80
duration,0.6,79
duration,0.7,79
duration,0.8,80
duration,0.9,80
duration,1,80
duration,0.6,23
duration,0.7,23
duration,0.8,23
duration,0.9,24
duration,1,24
duration,0.6,23
duration,0.7,23
duration,0.8,23
duration,0.9,24
duration,1,24
duration,0.6,48
duration,0.7,48
duration,0.8,48
duration,0.9,50
duration,1,51
duration,0.6,48
duration,0.7,48
duration,0.8,48
duration,0.9,50
duration,1,51
duration,0.6,42
duration,0.7,42
duration,0.8,42
duration,0.9,42
duration,1,167
duration,0.6,42
duration,0.7,42
duration,0.8,42
duration,0.9,42
duration,1,167
duration,0.6,16
duration,0.7,22
duration,0.8,25
duration,0.9,25
duration,1,26
duration,0.6,94
duration,0.7,95
duration,0.8,95
duration,0.9,95
duration,1,117
duration,0.6,95
duration,0.7,95
duration,0.8,95
duration,0.9,95
duration,1,117
duration,0.6,130
duration,0.7,130
duration,0.8,130
duration,0.9,130
duration,1,131
duration,0.6,130
duration,0.7,130
duration,0.8,130
duration,0.9,130
duration,1,131
duration,0.6,0
duration,0.7,0
duration,0.8,0
duration,0.9,0
duration,1,0
duration,0.6,0
duration,0.7,0
duration,0.8,0
duration,0.9,0
duration,1,0
duration,0.6,0
duration,0.7,0
duration,0.8,0
duration,0.9,0
duration,1,0
duration,0.6,0
duration,0.7,0
duration,0.8,0
duration,0.9,0
duration,1,0
duration,0.6,25
duration,0.7,25
duration,0.8,26
duration,0.9,26
duration,1,27
duration,0.6,25
duration,0.7,25
duration,0.8,26
duration,0.9,26
duration,1,27
duration,0.6,24
duration,0.7,24
duration,0.8,24
duration,0.9,25
duration,1,26
duration,0.6,24
duration,0.7,24
duration,0.8,24
duration,0.9,25
duration,1,26
duration,0.6,69
duration,0.7,69
duration,0.8,94
duration,0.9,95
duration,1,112
duration,0.6,69
duration,0.7,69
duration,0.8,94
duration,0.9,94
duration,1,112
duration,0.6,0
duration,0.7,0
duration,0.8,0
duration,0.9,0
duration,1,1
duration,0.6,0
duration,0.7,0
duration,0.8,0
duration,0.9,0
duration,1,1
duration,0.6,0
duration,0.7,0
duration,0.8,116
duration,0.9,116
duration,1,117
duration,0.6,0
duration,0.7,0
duration,0.8,116
duration,0.9,116
duration,1,117
duration,0.6,0
duration,0.7,0
duration,0.8,0
duration,0.9,0
duration,1,0
duration,0.6,0
duration,0.7,0
duration,0.8,0
duration,0.9,0
duration,1,0
duration,0.6,2
duration,0.7,2
duration,0.8,2
