reportNum,bugNum
1,1
2,2
3,3
4,3
5,4
6,4
7,5
8,6
9,6
10,6
11,7
12,8
13,9
14,9
15,9
16,10
17,10
18,11
19,12
20,13
21,14
22,14
23,15
24,15
25,16
26,16
27,16
28,17
29,17
30,18
31,18
32,19
33,19
34,19
35,20
36,21
37,21
38,21
39,21
40,22
41,22
42,22
43,22
44,22
45,22
46,22
47,22
48,23
49,23
50,23
51,24
52,24
53,25
54,25
55,26
56,26
57,26
58,26
59,26
60,26
61,27
62,27
63,28
64,28
65,28
66,29
67,29
68,30
69,30
70,31
71,31
72,31
73,31
74,31
75,31
76,31
77,31
78,31
79,31
80,31
81,32
82,32
83,32
84,32
85,32
86,33
87,33
88,33
89,33
90,34
91,34
92,35
93,35
94,35
95,36
96,37
97,37
98,37
99,37
100,37
101,38
102,38
103,38
104,38
105,39
106,40
107,41
108,41
109,41
110,41
111,42
112,43
113,43
114,44
115,45
116,45
117,45
118,45
119,45
120,45
121,45
122,45
123,46
124,46
125,47
126,47
127,47
128,47
129,47
130,47
131,48
132,48
133,48
134,48
135,48
136,48
137,48
138,48
139,48
140,48
141,49
142,49
143,49
144,49
145,49
146,49
147,49
148,49
149,49
150,49
151,49
152,49
153,50
154,50
155,50
156,50
157,50
158,50
159,50
160,50
161,50
162,50
163,50
164,50
165,50
166,50
167,50
168,50
169,50
170,50
171,50
172,50
173,50
174,50
175,50
176,50
177,50
178,50
179,50
180,50
181,50
182,50
183,51
184,51
185,51
186,51
187,51
188,51
189,51
190,51
191,51
192,51
193,51
194,51
195,51
196,51
197,51
198,51
199,51
200,51
201,51
202,51
203,52
204,52
205,52
206,52
207,52
208,52
209,52
210,52
211,52
212,52
213,52
214,52
215,53
216,53
217,53
218,53
219,53
220,53
221,53
222,53
223,53
224,53
225,53
226,53
227,53
228,53
229,53
230,53
231,53
232,53
233,53
234,53
235,53
236,53
237,53
238,53
239,53
240,53
241,53
242,53
243,53
244,53
245,53
246,53
247,53
248,53
249,53
250,54
251,54
252,54
253,54
254,55
255,55
256,55
257,55
258,55
259,55
260,56
261,56
262,56
263,56
264,56
265,56
266,56
267,56
268,56
269,56
270,56
271,56
272,56
273,56
274,56
275,56
276,56
277,56
278,56
279,56
280,56
281,56
282,56
283,57
284,57
285,57
286,57
287,57
288,57
289,57
290,57
291,57
292,57
293,57
294,57
295,57
296,57
297,57
298,57
299,57
300,57
301,57
302,57
303,57
304,57
305,57
306,57
307,57
308,57
309,57
310,57
311,57
312,57
313,57
314,57
315,57
316,57
317,57
318,57
319,57
320,57
321,57
322,57
323,57
324,57
325,57
326,57
327,57
328,57
329,57
330,57
331,57
332,57
333,57
334,57
335,57
336,57
337,57
338,57
339,57
340,57
341,57
342,57
343,57
344,57
345,57
346,57
347,57
348,57
349,57
350,57
351,57
352,57
353,57
354,57
355,57
356,57
357,57
358,57
359,57
360,57
361,57
362,57
363,57
364,57
365,57
366,57
367,57
368,57
369,57
370,57
371,57
372,57
373,57
374,57
375,57
376,57
377,57
378,57
379,57
380,57
381,57
382,57
383,57
384,57
385,57
386,57
387,57
388,57
389,57
390,57
391,57
392,57
393,57
394,57
395,57
396,57
397,58
398,58
399,58
400,58
401,58
402,58
403,58
404,58
405,58
406,58
407,58
408,58
409,58
410,58
411,58
412,58
413,58
414,58
415,58
416,58
417,58
418,58
419,58
420,58
421,58
422,58
423,58
424,58
425,58
426,58
427,58
428,58
429,58
430,58
431,58
432,58
433,58
434,58
435,58
436,58
437,58
438,58
439,58
440,58
441,58
442,58
443,58
444,58
445,58
446,58
447,58
448,58
449,58
450,58
451,58
452,58
453,58
454,58
455,58
456,58
457,58
458,58
459,58
460,58
461,58
462,58
463,58
464,58
465,58
466,58
467,58
468,58
469,58
470,58
471,58
